Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 19.6458 North,78.5208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,30.8,15.6,17,0.4
1958,2,3,33.2,18.2,12,0.1
1958,3,17,37.7,20.9,22,-0.1
1958,4,24,40.3,25.7,27,0.4
1958,5,9,42.7,29.1,12,-0.1
1958,6,105,39.5,28.7,102,-1.3
1958,7,429,30.2,23.4,137,0.8
1958,8,431,30.5,23.9,115,2.5
1958,9,168,30,22.9,121,1.7
1958,10,45,31,20.6,90,1.7
1958,11,18,30.4,16.5,61,2
1958,12,0,28.8,14,34,1.8
1959,1,1,29.7,16.3,18,1.6
1959,2,6,33.3,18.3,15,1.4
1959,3,0,37.9,21.4,6,0.7
1959,4,15,39.9,25.2,19,0.8
1959,5,6,42.7,29,9,-0.3
1959,6,250,37.3,26.3,173,1.2
1959,7,429,30.3,22.7,135,2.7
1959,8,316,29.6,23.2,118,2.9
1959,9,407,30.2,22.8,122,4.3
1959,10,58,31,21.4,92,4.3
1959,11,3,29.6,15.7,54,4.1
1959,12,0,29.2,13.6,34,3.7
1960,1,5,29.6,14.8,23,3.6
1960,2,0,34.6,16.6,10,3
1960,3,68,35.7,20.7,71,4.1
1960,4,7,39.9,24.4,11,3.5
1960,5,9,42.4,28.3,12,3
1960,6,205,36.9,26.1,196,3
1960,7,337,31,23.8,123,2.8
1960,8,143,30.2,23.4,135,1.1
1960,9,197,31,23.3,113,0.8
1960,10,55,31,20.1,91,1.1
1960,11,3,29.6,14.9,54,1.2
1960,12,1,29.8,14.7,37,1.2
1961,1,0,30.8,15.7,16,1
1961,2,0,32,16.3,9,0.6
1961,3,9,38.3,22.1,14,-0.3
1961,4,13,40.5,25.1,16,0
1961,5,27,42,28,29,0.6
1961,6,149,36.9,25.4,144,-0.2
1961,7,409,30,23.1,116,1.1
1961,8,344,30.4,23.4,125,1.7
1961,9,272,29.8,22.1,117,2
1961,10,114,30.1,19.8,110,3.4
1961,11,1,29.1,15.1,56,3.5
1961,12,1,28.2,12.4,42,3.7
1962,1,1,29.2,12.4,33,4.1
1962,2,8,33.5,15.9,21,3.9
1962,3,20,36.6,20.2,27,3.6
1962,4,42,38.9,24.2,45,4.4
1962,5,17,42,27.3,20,4.2
1962,6,76,37.5,26.6,75,2.3
1962,7,338,30.8,23.4,139,1.8
1962,8,262,30.4,23.4,119,1.6
