Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 14.4792 North,78.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.2,19.7,10,-1.4
1958,2,2,33.9,22,7,-1.3
1958,3,2,37.6,24.7,5,-1.4
1958,4,22,39.4,27.8,23,-1
1958,5,27,39.4,29,27,-1.3
1958,6,42,38.3,28.6,41,-2
1958,7,73,34,25.5,70,-2.8
1958,8,184,33.2,25.6,156,-1.2
1958,9,107,33.4,24.8,109,-1.6
1958,10,208,31.8,24.2,119,1.8
1958,11,58,30.8,21.9,84,2.4
1958,12,19,30,19.2,52,2.4
1959,1,0,31.6,19.6,10,2.3
1959,2,2,34.9,21.7,7,2.2
1959,3,0,38.3,23.2,3,1.8
1959,4,26,39.7,27.4,27,2.1
1959,5,58,40.3,29,57,2.1
1959,6,137,35.9,26.9,131,3.8
1959,7,103,33.4,25.3,99,3
1959,8,101,33.9,25.1,97,2.4
1959,9,111,33.2,25.2,106,1.6
1959,10,77,32.2,24.4,74,-2.1
1959,11,32,30.2,21.3,31,-2.7
1959,12,11,29.6,19.1,11,-3.1
1960,1,0,31.2,19.7,0,-3
1960,2,0,33.3,20.9,0,-2.8
1960,3,4,37.4,23.6,4,-2.6
1960,4,3,39.4,27.4,3,-2.9
1960,5,28,39.8,28.2,27,-3.1
1960,6,49,37,27,47,-3.2
1960,7,126,34.2,26.1,120,-2.7
1960,8,21,34.8,26.2,20,-4.3
1960,9,322,32.6,25.2,133,-0.9
1960,10,55,32.4,24,106,-1.1
1960,11,128,30,20.9,100,3.6
1960,12,2,30,19.1,34,3.5
1961,1,0,30.6,20.3,10,3.3
1961,2,2,33.4,21.5,7,3.1
1961,3,1,38.5,24.6,4,2.7
1961,4,1,40.2,27.6,4,1.9
1961,5,47,39.2,28.7,46,1.8
1961,6,117,35.8,26.5,113,2.9
1961,7,122,33.3,25,117,2.7
1961,8,138,33.3,25.5,132,2.7
1961,9,90,33,24.4,86,1.4
1961,10,125,32.2,23.4,119,1.2
1961,11,40,30,20.7,38,0.6
1961,12,0,29,18.8,1,-2.2
1962,1,0,29.8,18.7,0,-2.1
1962,2,2,33,21,2,-1.9
1962,3,2,37.2,23.4,2,-1.9
1962,4,23,38.8,26.9,22,-1.4
1962,5,95,39.1,28.1,90,1.7
1962,6,51,37.1,26.4,49,1.3
1962,7,56,34.2,25.5,54,-1.3
1962,8,118,33.2,25.4,112,-1
1962,9,137,32.6,24.8,130,-0.9
1962,10,218,31.2,24.3,112,1.7
1962,11,31,30.3,20.3,76,2
1962,12,102,29.6,18.8,101,3.9
1963,1,0,29.3,19.1,17,4.5
1963,2,0,33,19.7,7,4.3
1963,3,3,37.1,23.7,7,3.9
1963,4,45,38.5,26.2,46,4.7
1963,5,25,40,28.2,25,3.6
1963,6,58,36.5,26.8,56,2.9
1963,7,120,34.8,25.7,116,2.4
1963,8,173,33.6,25.1,165,3.2
1963,9,92,33.8,25.1,88,2.1
1963,10,130,32.4,23.8,124,1.8
1963,11,7,30.3,21.7,8,-2
1963,12,29,29.7,19.3,28,-2.1
1964,1,0,31.7,18.5,1,-2.1
1964,2,0,34.8,20.9,0,-2
1964,3,0,38.3,24.4,0,-2.2
1964,4,2,40.6,27.6,2,-2.5
1964,5,10,41.2,29.3,10,-3.4
1964,6,71,37.4,26.6,67,-3
1964,7,235,34.5,25.6,147,-0.7
1964,8,70,33.3,24.8,112,2
1964,9,255,32.5,24.1,145,3.5
1964,10,69,33,23.6,111,3
1964,11,75,29.7,20.2,88,3.2
1964,12,12,29.5,17.9,21,2.5
1965,1,0,31,18.6,5,2.4
1965,2,0,33.2,21.1,3,2.1
1965,3,0,37.2,23.5,2,1.7
1965,4,29,38.7,26.5,29,2
1965,5,12,39.9,28.4,12,0.8
1965,6,56,37.8,26.8,54,-1.4
1965,7,76,35.1,24.8,73,-2.3
1965,8,149,33.7,25.3,141,-1.1
1965,9,122,33.7,24.9,116,-1.3
1965,10,18,33.4,24.5,18,-3.6
1965,11,29,30.9,21.9,28,-4.2
1965,12,53,29.8,20.4,51,-3.5
