Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 16.3125 North,80.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,30,19.3,55,-0.2
1958,2,1,32.1,20.8,36,-0.2
1958,3,0,34.6,23,16,-0.6
1958,4,33,36.6,25.9,41,0.4
1958,5,15,39.2,28.4,21,-0.7
1958,6,75,39.6,30,76,-1.2
1958,7,265,32.8,25.7,150,1
1958,8,165,32.7,25.9,131,1.4
1958,9,136,33.1,25.3,131,1.3
1958,10,207,31.4,24.4,102,1.9
1958,11,76,30.7,21.6,86,2.5
1958,12,0,29.5,18.9,60,2.6
1959,1,0,30.2,19.2,53,3.1
1959,2,8,32.7,20.7,43,3.4
1959,3,0,35,22.2,16,3
1959,4,57,36.7,25.6,63,3.8
1959,5,18,39.5,28.2,23,2.8
1959,6,133,36.9,27.7,130,3
1959,7,263,32.5,25.5,147,3.7
1959,8,172,32.7,25.3,138,3.8
1959,9,130,32.9,25.5,129,3.4
1959,10,155,31.7,24.5,106,3.3
1959,11,2,29.8,20.6,57,2.6
1959,12,0,29.1,18.5,44,2.2
1960,1,0,29.7,19,32,2.1
1960,2,0,31.2,19.7,15,1.8
1960,3,4,33.9,21.9,13,1.6
1960,4,0,36.3,25.4,6,1
1960,5,22,38.8,27.3,26,-1.2
1960,6,142,37.6,27.8,138,0.5
1960,7,157,33.2,26.2,128,0
1960,8,57,33.9,26.6,63,-1.3
1960,9,280,32.7,25.7,108,1.3
1960,10,60,31.6,24.2,88,0.8
1960,11,36,30.2,20.9,65,-0.2
1960,12,19,29.8,19.1,53,0.6
1961,1,2,29.6,19.6,37,0.6
1961,2,9,31.2,19.9,24,0.7
1961,3,0,35.3,23,9,-0.2
1961,4,0,37.2,25.9,6,-0.6
1961,5,15,38.7,27.8,19,-1
1961,6,213,36.7,27.4,177,1.6
1961,7,161,32.4,25.3,127,1.7
1961,8,215,32.7,25.8,139,2.4
1961,9,158,32.4,24.7,131,2.4
1961,10,200,31.2,23.5,94,3
1961,11,28,29.6,20.2,68,2.7
1961,12,2,28.3,18,53,2.7
1962,1,0,28.1,17.6,46,2.9
1962,2,13,30.8,19.5,40,3.1
1962,3,0,33.9,21.8,14,2.8
1962,4,27,35.7,24.9,34,2.8
1962,5,52,38.4,27.3,55,2.7
1962,6,114,37.5,27.4,113,2.6
1962,7,204,33,25.7,144,2.7
1962,8,152,32.5,25.7,123,2.7
1962,9,290,32.3,25,119,4
1962,10,277,30.8,24.1,100,5.2
1962,11,54,29.7,20,78,5.1
1962,12,31,29.1,18.4,68,5.6
1963,1,0,28,18,56,5.8
1963,2,0,30.8,18.7,39,5.8
1963,3,1,34,22.2,18,5.3
1963,4,67,35.1,24,74,6.2
1963,5,21,38.9,27.4,26,5
1963,6,129,37,27.4,127,4.8
1963,7,138,33.4,26,132,4
1963,8,182,32.6,25.4,128,4
1963,9,82,33.4,25.6,93,2.8
1963,10,268,31.8,24.2,113,3.2
1963,11,0,30.2,21.2,60,2.3
1963,12,1,29.4,18.9,47,1.9
1964,1,0,30.2,18.6,32,1.6
1964,2,0,32.6,20.2,15,1.2
1964,3,0,35.1,23,9,0.8
1964,4,2,37.3,25.8,8,-1.4
1964,5,13,40.2,28.6,17,-2.1
1964,6,119,37.7,27.5,116,-1.7
1964,7,163,33.3,25.9,135,-1.5
1964,8,143,32.3,25.1,138,-1.5
1964,9,359,32.2,24.6,123,2.1
1964,10,68,32.1,24.1,96,1.7
1964,11,40,29.5,20,75,1.5
1964,12,0,29,17.8,53,1.4
1965,1,0,29.7,18.5,39,1.3
1965,2,1,31.4,20,18,1
1965,3,1,33.9,21.9,11,0.8
1965,4,32,35.5,24.5,37,1.1
1965,5,34,39,27.6,37,0.6
1965,6,96,38.3,28.1,95,-0.3
1965,7,156,33.6,25.5,149,-0.8
1965,8,147,33.2,26,125,-0.7
1965,9,178,33.2,25.3,134,0.1
1965,10,28,32.4,24.7,48,-1.6
1965,11,9,30.5,21.3,20,-2.7
1965,12,8,29.9,20,14,-3.4
1966,1,1,29.8,19.4,6,-3.7
1966,2,0,32.2,20.4,4,-3.8
1966,3,0,34.9,22.9,3,-3.8
1966,4,2,36.9,25.6,4,-4
1966,5,63,40.1,28.4,62,-3.5
1966,6,74,38.1,28,72,-3.6
1966,7,307,33.9,26.6,129,-1.5
1966,8,143,33.7,26.3,116,-0.9
1966,9,120,32.7,25.3,127,-0.9
1966,10,46,31.6,24.1,91,-1.3
1966,11,113,31,21.6,101,1.7
1966,12,16,28.9,18.6,58,1.9
1967,1,1,29.9,18.7,39,2
1967,2,0,32.1,19.4,17,1.8
1967,3,26,33.7,21.4,34,2.4
1967,4,24,36.7,25.1,30,2.3
1967,5,7,39.4,28.1,11,1.3
1967,6,111,37.7,28.1,109,1.3
1967,7,217,33.3,25.6,135,1.8
1967,8,93,32.8,25.4,109,0.9
1967,9,161,32.8,25.2,126,0.8
1967,10,37,31.1,23.9,65,-1.4
1967,11,4,29.7,19.8,23,-2.5
1967,12,44,29.9,19.7,52,-2.3
1968,1,1,28.9,18.1,8,-2.6
1968,2,4,32.1,20,9,-2.5
1968,3,3,33.7,22,7,-2.5
1968,4,22,35.3,24.3,23,-2.1
1968,5,17,38.8,27.4,18,-2.5
1968,6,49,37.9,28.3,49,-3.1
1968,7,133,33.5,26.4,128,-3.3
1968,8,33,34,26.5,33,-4.7
1968,9,144,32.8,25.4,123,-4.4
1968,10,96,31.2,23.5,94,-4.6
1968,11,93,29.8,20.8,89,-4.1
1968,12,13,29.5,19,15,-4.4
1969,1,0,29.5,18.5,3,-4.6
1969,2,0,32.5,20.5,2,-4.6
1969,3,0,35.6,23.3,2,-4.6
1969,4,0,37.4,26.1,2,-4.7
1969,5,188,38.3,26.8,180,-1.9
1969,6,68,38.1,28.2,66,-2.3
1969,7,199,33,25.5,157,-1.8
1969,8,97,33.1,26,99,-2.2
1969,9,108,32.8,24.9,108,-2.7
1969,10,319,31.2,23.8,110,-1.4
1969,11,104,30.7,21.2,91,2
1969,12,85,28.3,18.7,94,4
1970,1,1,29.6,19,64,5.1
1970,2,3,32.4,20.6,60,6.2
1970,3,13,34.9,22.8,44,6.3
1970,4,9,36.5,25.8,23,5.7
1970,5,109,39,28,112,6.2
1970,6,165,35.9,26.4,159,6.5
1970,7,107,33.3,25.7,107,5.2
1970,8,198,32.2,25.2,131,5.3
1970,9,85,32.8,25.2,95,4.1
1970,10,200,31.1,23.8,112,3.9
1970,11,1,28.9,20.4,51,2.7
1970,12,0,27.8,16.6,34,2
1971,1,0,29.1,18.7,17,1.5
1971,2,7,32.4,20.2,16,1.3
1971,3,17,33.7,21.6,22,1.5
1971,4,75,36.2,24.7,76,2.9
1971,5,90,38,26.7,89,3.4
1971,6,112,35.3,26.2,109,3.1
1971,7,73,33.7,26.2,72,1.6
1971,8,112,33.3,25.9,108,1.1
1971,9,179,32.8,25.4,124,1.1
1971,10,147,31.2,23.6,110,0.8
1971,11,6,29,19.1,37,-1.8
1971,12,0,27.7,17.6,15,-2.4
1972,1,0,28.5,17.3,9,-2.7
1972,2,7,31.7,19.4,13,-2.5
1972,3,0,34.9,21.8,4,-2.5
1972,4,8,37,25.7,11,-2.5
1972,5,16,39.8,28.8,18,-2.8
1972,6,109,39.7,29.5,106,-2.5
1972,7,84,34.6,26.7,82,-3.3
1972,8,48,34.4,26.7,47,-4.4
1972,9,72,33.8,26.4,70,-5.1
1972,10,310,31.5,24.2,118,-3.7
1972,11,86,30.4,20.9,93,-2.6
1972,12,17,30.2,20.2,67,-1.8
1973,1,0,31.2,19.2,52,-1
1973,2,0,33.3,20.8,24,-0.8
1973,3,2,35.5,22.9,14,-0.8
1973,4,0,38.2,27,8,-1.2
1973,5,21,40.9,29,25,-1.6
1973,6,88,38.3,28.5,87,-2
1973,7,96,33.7,26.5,94,-2.8
1973,8,148,32.9,25.9,139,-2.5
1973,9,124,33.4,25.8,120,-2.9
1973,10,265,31.4,24.2,116,-2
1973,11,40,29.8,20.2,72,-2
1973,12,2,29,18.7,47,-2
1974,1,0,29.3,17.9,24,-2
1974,2,0,32.5,19.6,13,-2
1974,3,0,35.4,22.7,8,-2
1974,4,10,37.5,26.1,15,-2
1974,5,26,38.9,27.2,28,-2.3
1974,6,100,37.6,27.4,98,-2.4
1974,7,99,34.5,26.6,96,-3.1
1974,8,102,33.4,26,99,-3.5
1974,9,238,33.1,25.6,146,-2.6
1974,10,239,31.8,23.8,116,-1.6
1974,11,32,30,19.9,77,-1.5
1974,12,1,28.9,17.4,54,-1.2
1975,1,0,29.1,17.7,42,-0.8
1975,2,1,32.4,20.2,20,-0.8
1975,3,0,34.9,23,11,-0.9
1975,4,0,37.5,25.8,7,-1.3
1975,5,37,40.4,28.8,40,-1.5
1975,6,152,37,27.4,148,-0.8
1975,7,200,33.2,25.4,144,0.3
1975,8,109,33,26.2,115,-0.5
1975,9,233,32,24.6,119,1
1975,10,216,31.5,24.2,107,1.7
1975,11,37,28.9,19.6,79,1.6
1975,12,2,28.2,17.1,57,1.7
1976,1,0,28.6,17.6,51,2
1976,2,0,31.4,19.2,22,1.7
1976,3,0,35.3,22.4,12,1.3
1976,4,3,36.6,25.3,10,0.7
1976,5,22,39.4,27.8,26,-1.1
1976,6,54,37.9,27.6,55,-1.8
1976,7,273,32.8,25,133,1.3
1976,8,191,32.8,25.4,129,2
1976,9,80,32.7,25.2,98,1.5
1976,10,85,31.9,24.4,91,1.2
1976,11,214,30.4,22,107,3.6
1976,12,1,29.5,18.9,64,3.7
1977,1,1,29.6,17.6,60,4.2
1977,2,0,32.1,20.3,38,4.2
1977,3,1,34.9,22.7,18,3.8
1977,4,36,36.5,25.6,44,4
1977,5,62,38.4,27.4,66,3.8
1977,6,86,37.9,28.2,86,3.2
1977,7,111,34.1,26.3,109,2.2
1977,8,191,33.2,25.6,122,2.6
1977,9,53,33.6,25.7,77,1.2
1977,10,123,31.2,24.5,119,-1.7
1977,11,188,31.1,22.3,100,1.5
1977,12,10,29.4,18.7,49,1.4
1978,1,1,29.8,18.8,33,1.4
1978,2,9,31.6,20.1,23,1.4
1978,3,3,34.4,22.3,12,1.2
1978,4,1,36.6,25.9,7,0.7
1978,5,22,40.3,28.8,26,-0.4
1978,6,209,37.4,27.8,172,1.6
1978,7,244,33,25.7,133,2.5
1978,8,293,32.2,25.5,119,4.6
1978,9,240,33,25.6,140,5.4
1978,10,81,32.1,24.9,104,4.7
1978,11,48,31.4,22,76,4.5
1978,12,13,29,19.9,58,4.4
1979,1,1,30,19.8,51,4.4
1979,2,8,32.1,21.1,29,4.2
1979,3,0,34.2,22.7,11,3.7
1979,4,18,37.1,26.3,25,3.3
1979,5,128,38.7,27.7,126,4.3
1979,6,64,38.3,29,64,3.2
1979,7,67,34.7,27.5,66,1.4
1979,8,58,33.9,26.9,57,-3.4
1979,9,211,32.9,26,123,-2.6
1979,10,48,32.4,24.9,77,-3.3
1979,11,124,30.8,22.7,99,-2.4
1979,12,13,30,20.1,40,-2.3
1980,1,0,30.9,19.5,14,-2.6
1980,2,0,33,21.1,8,-2.7
1980,3,3,35.2,23.5,8,-2.6
1980,4,5,37.3,26.7,8,-2.7
1980,5,36,40.4,29.1,38,-2.7
1980,6,204,36.8,27.4,172,-0.9
1980,7,161,33.8,26.1,154,-0.9
1980,8,162,33,25.7,154,-0.8
1980,9,98,33.5,25.8,101,-1.4
1980,10,123,32.2,24.8,119,-1.8
1980,11,63,30.7,21.5,65,-2.1
1980,12,13,29.9,19.5,16,-2.7
1981,1,2,29.1,19,5,-3
1981,2,0,32.5,20.4,2,-3.2
1981,3,13,34.3,22.4,14,-2.7
1981,4,13,37.2,26.4,14,-2.6
1981,5,48,39.5,28.3,47,-2.4
1981,6,85,38,28.9,82,-2.6
1981,7,231,33.9,26.4,163,-1.9
1981,8,115,33,25.6,122,-2.2
1981,9,168,32.7,25.7,117,-1.8
1981,10,211,31.6,24.8,116,-1.2
1981,11,22,29.9,20.8,71,-1.3
1981,12,5,29.3,19.2,52,-1.3
1982,1,1,30.3,19.3,29,-1.3
1982,2,0,32.7,20.8,14,-1.3
1982,3,0,35,23.1,9,-1.4
1982,4,11,36.8,25.9,17,-1.4
1982,5,37,38.5,27.6,39,-1.4
1982,6,75,38.1,28.5,74,-1.7
1982,7,171,34.5,26.7,162,-1.7
1982,8,115,33.4,26,112,-2.3
1982,9,90,33.4,25.5,88,-2.9
1982,10,131,32.1,24.5,121,-3.1
1982,11,49,30.4,21.8,49,-3.4
1982,12,0,29.7,19.5,2,-4.2
1983,1,0,29.9,18.9,2,-4.4
1983,2,2,33.3,21.4,3,-4.4
1983,3,2,35.6,23.3,3,-4.3
1983,4,3,37.4,25.9,4,-4.4
1983,5,34,39.5,28.3,34,-4.2
1983,6,105,39,29.1,100,-3.8
1983,7,199,34.4,26.7,140,-3.1
1983,8,226,33.1,26.1,140,-1.8
1983,9,254,32.6,25,123,2.4
