Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 17.3958 North,78.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,30,16,16,0.4
1958,2,9,32.3,18.7,17,0.5
1958,3,7,36.5,20.7,12,0.4
1958,4,50,38,24.4,52,1.3
1958,5,16,39.3,26.7,19,1
1958,6,66,36.7,26.7,65,-1.1
1958,7,252,29.7,22.6,147,0.9
1958,8,196,29.9,22.7,123,1.7
1958,9,132,30.1,22.8,128,1.2
1958,10,57,30.7,21,93,1.2
1958,11,20,30.2,18.1,62,1.6
1958,12,0,28.6,15.3,31,1.7
1959,1,0,29.2,16.9,14,1.5
1959,2,0,32.7,19.1,9,1.1
1959,3,0,36.4,20.8,6,0.7
1959,4,13,37.8,24.1,17,-0.1
1959,5,23,39.6,26.9,26,-0.6
1959,6,144,34.4,24.1,139,1
1959,7,225,30,22.1,144,1.5
1959,8,223,29.5,22.4,132,2.3
1959,9,145,30.3,22.7,131,1.8
1959,10,44,30.6,21.6,91,1.6
1959,11,5,29.4,17.3,55,1.5
1959,12,1,29,14.8,24,1.2
1960,1,0,29.7,16.1,12,1
1960,2,0,33.1,16.5,8,0.7
1960,3,33,34.9,20.8,37,1.4
1960,4,4,37.9,23.4,8,0.8
1960,5,33,39.1,26,35,1
1960,6,110,34.3,24.2,107,1
1960,7,110,30.7,23.2,106,-0.6
1960,8,44,30.7,23.2,43,-2.2
1960,9,323,30.7,22.7,105,-1.1
1960,10,31,30.8,20.6,89,-1.2
1960,11,18,29.6,16.7,63,1.1
1960,12,6,29.3,15.5,44,1.5
1961,1,2,30,16.1,23,1.5
1961,2,3,31.7,17.4,15,1.4
1961,3,4,37.1,21.8,11,1
1961,4,15,38.5,24.3,19,0.8
1961,5,37,38.6,25.6,39,1.2
1961,6,108,34.2,23.5,105,1.3
1961,7,247,29.6,22.5,123,2.3
1961,8,133,30.1,22.4,131,2.1
1961,9,101,30,22.1,111,1.1
1961,10,161,30.1,20.3,116,2.6
1961,11,6,28.9,16.6,52,2.6
1961,12,0,28.5,14.1,39,2.8
1962,1,0,29,13.4,18,2.6
1962,2,23,32.6,16.4,31,3.1
1962,3,15,35.4,20,21,3
1962,4,64,36.8,23.3,65,4.2
1962,5,18,38.9,25.2,21,3.6
1962,6,75,34.7,24.6,74,2.8
1962,7,159,30.4,22.7,145,2.3
1962,8,202,30,22.3,124,2.6
1962,9,361,30.3,21.9,121,4
1962,10,69,31.9,19.5,106,4.1
1962,11,22,29.2,16.4,65,4.5
1962,12,29,27.6,15.1,58,5.4
1963,1,0,28.7,14.1,38,5.7
1963,2,0,32.1,16.1,16,5.2
1963,3,7,35.8,20.1,16,4.7
1963,4,47,36.4,22.3,51,5.1
1963,5,18,39.1,25.5,22,4.4
1963,6,137,34.2,23.2,133,4.5
1963,7,136,30.9,22.7,131,3.6
1963,8,236,29.8,21.9,131,4
1963,9,119,31.1,22.4,119,2.9
1963,10,98,30.9,20.7,107,2.9
1963,11,0,29.6,17.8,33,2.1
1963,12,0,29.1,14.8,15,1.4
1964,1,0,29.8,15.5,9,0.9
1964,2,1,33.4,17.6,7,-1.6
1964,3,2,37.1,21.1,6,-1.8
1964,4,17,38.5,24.4,19,-1.8
1964,5,11,39.7,26.6,13,-2.2
1964,6,98,35.1,23.9,95,-2.1
1964,7,164,30.9,22.4,126,-1.8
1964,8,97,29.7,21.6,102,-2.4
1964,9,352,30.1,21.7,114,-1
1964,10,48,31.1,20.7,94,-0.7
1964,11,7,28.9,16.2,70,1.5
1964,12,0,28.6,13.3,40,1.4
1965,1,1,29.3,15.4,17,1.2
1965,2,0,32.1,17.3,10,0.9
1965,3,4,35.6,20.1,10,-0.3
1965,4,5,37.1,22.8,9,-1
1965,5,12,39.5,25.8,15,-1.3
1965,6,74,35.2,24.2,73,-1.8
1965,7,302,30.3,22.6,153,1.4
1965,8,83,30.8,22.6,102,1
1965,9,235,30.9,22.3,133,1.2
1965,10,0,32.8,20.4,94,-0.8
1965,11,0,31.2,16.9,53,-1.3
1965,12,3,29.8,15.6,22,-1.6
1966,1,6,29.8,15.7,17,-1.5
1966,2,1,33.4,18,8,-1.7
1966,3,3,36.7,20.9,8,-1.8
1966,4,13,38.2,24.2,16,-1.9
1966,5,5,39.4,26.1,8,-2.5
1966,6,46,35.2,25.1,46,-3.4
1966,7,162,31.5,23.8,130,-3
1966,8,147,31,23.2,123,-2.8
1966,9,242,31,21.9,127,-2.3
1966,10,45,32,20.2,96,-2.3
1966,11,24,30,18.7,66,-1.8
1966,12,30,28.4,14.7,46,-1.2
1967,1,1,29.8,15.4,11,-1.2
1967,2,0,33.1,16.9,7,-1.3
1967,3,33,34.6,20.7,36,1
1967,4,7,38.1,23.5,10,0.6
1967,5,3,39.9,26.3,6,-1
1967,6,109,35.2,24.8,106,-0.6
1967,7,315,30.2,22.9,124,2.2
1967,8,111,29.8,22.5,123,2
1967,9,183,30.3,22.3,119,2
1967,10,10,31.3,19.8,81,1.3
1967,11,0,29.9,16.1,53,1.1
1967,12,14,28.4,17.4,45,1.3
1968,1,6,28.2,15.2,20,1.3
1968,2,11,31.9,18.3,19,1.5
1968,3,11,35.4,19.6,16,1.4
1968,4,10,37.2,22.5,14,1
1968,5,9,39.2,25.7,12,-0.4
1968,6,77,35.3,24.5,76,-1
1968,7,147,30.9,22.9,140,-1.2
1968,8,16,30.2,23,17,-2.9
1968,9,323,31.1,22,108,-1.8
1968,10,55,31.5,18.7,96,-1.3
1968,11,5,30,16.3,62,-0.8
1968,12,2,29.4,15,43,1.6
1969,1,2,29.3,15.7,23,1.6
1969,2,0,32.8,19,11,1.3
1969,3,2,37.2,22.3,9,1
1969,4,16,39.2,24.7,20,0.8
1969,5,53,38.8,25.9,54,1.5
1969,6,74,35.6,24.9,73,1
1969,7,170,30.7,22.5,146,0.8
1969,8,100,30.7,22.4,99,-0.6
1969,9,241,29.6,22.3,119,0.1
1969,10,32,30.9,20.6,75,-1.1
1969,11,38,30.1,18.2,60,0.5
1969,12,13,28.2,14.4,36,0.7
1970,1,2,29.7,15.7,14,0.7
1970,2,0,32.7,19.1,8,-0.2
1970,3,9,36.3,21.6,14,0
1970,4,24,37.8,24.7,27,0.2
1970,5,39,39.3,26.5,40,0.9
1970,6,150,33,22.9,144,2
1970,7,101,30.7,23.1,98,1
1970,8,305,29.6,22.1,122,2.6
1970,9,238,30.3,22.5,118,3.2
1970,10,36,30.9,20.4,94,2.8
1970,11,0,29.6,15.3,58,2.6
1970,12,0,28.4,11.4,32,2.5
1971,1,1,29.2,15.6,19,2.3
1971,2,8,32.4,18.5,17,2.2
1971,3,3,35,20.2,10,1.8
1971,4,21,37.7,24.2,24,1.7
1971,5,66,38.2,25.4,66,2.8
1971,6,88,32.8,22.6,86,2.3
1971,7,52,31.3,23.6,51,0.6
1971,8,136,30.6,23,118,-1.8
1971,9,163,30.9,22.7,118,-2.1
1971,10,82,30.4,20.1,89,-1.9
1971,11,0,27.9,16,13,-2.7
1971,12,0,27.4,13.6,8,-3
1972,1,0,29.4,13.5,5,-2.9
1972,2,3,31.1,18.2,7,-2.8
1972,3,0,36.6,21.1,3,-2.9
1972,4,28,38.2,24,29,-2.3
1972,5,8,39.9,26.4,9,-2.6
1972,6,97,36.7,26.2,94,-2.4
1972,7,80,31.4,23.7,77,-3.3
1972,8,47,31.2,23.4,46,-4.6
1972,9,92,32.1,22.9,88,-5.5
1972,10,39,31.4,21.2,38,-6.3
1972,11,25,29.5,17.6,25,-6.3
1972,12,2,30.2,16.5,3,-6.5
1973,1,0,30.5,16.9,1,-6.4
1973,2,0,33.4,19.5,1,-6.2
1973,3,0,36.9,22,1,-6.2
1973,4,6,39.6,26.2,7,-6.1
1973,5,9,40.3,28.3,9,-6.1
1973,6,87,35.1,25.1,83,-5.9
1973,7,111,30.8,22.9,106,-6.2
1973,8,241,30.2,22.2,124,-4.7
1973,9,95,30.2,23.3,107,-5.1
1973,10,155,30.7,20.4,126,-3.5
1973,11,15,28.5,16.6,56,-2.8
1973,12,4,28.5,14.8,26,-2.8
1974,1,0,29.5,14.3,12,-2.7
1974,2,0,32.8,18.1,7,-2.7
1974,3,1,36.9,21.3,6,-2.8
1974,4,18,38.5,25,21,-2.6
1974,5,35,38.6,25.6,36,-2.2
1974,6,75,34.4,24.2,73,-2.5
1974,7,67,31.4,24.1,65,-3.6
1974,8,124,30.5,22.5,118,-3.8
1974,9,217,31.5,22.6,132,-3.7
1974,10,138,29.9,21.5,125,-2.3
1974,11,2,29.4,15.4,39,-2.1
1974,12,0,27.6,13.9,16,-2.4
1975,1,7,28.8,14.2,16,-2
1975,2,15,32.5,18,20,-1.5
1975,3,31,36,20.9,34,-0.6
1975,4,9,38.5,24.8,12,-0.9
1975,5,22,39.8,27,23,-1
1975,6,70,33.9,23.9,68,-1.5
1975,7,151,30.3,22.7,135,-1.5
1975,8,163,30.2,22.8,133,-1.4
1975,9,395,30,21.8,114,1.9
1975,10,174,30.1,21.8,118,4
1975,11,18,27.9,15.7,81,4.7
1975,12,0,28.1,12,52,5.1
1976,1,0,28.3,13.9,38,5.4
1976,2,0,31.9,17.1,16,4.8
1976,3,0,37.2,20.4,10,4.1
1976,4,21,37.4,24,26,3.7
1976,5,14,39.1,26.4,18,3
1976,6,88,34.5,24.5,87,2.4
1976,7,295,30.3,22.5,126,3.8
1976,8,178,30,22.1,125,4.3
1976,9,96,30.6,22.3,101,3.5
1976,10,13,32.2,20.9,78,2.7
1976,11,32,30,19.5,74,3
1976,12,0,29,16,35,2.7
1977,1,0,28.6,15.5,15,2.4
1977,2,0,32.4,18.7,9,2
1977,3,7,36.8,22,13,1.7
1977,4,14,37.1,24.9,18,1.4
1977,5,38,38,25.9,39,1.6
1977,6,86,35.1,24.7,85,1.2
1977,7,135,30.9,23.4,129,0.6
1977,8,142,30,22.8,122,-0.2
1977,9,51,30.7,23,53,-2.5
1977,10,68,31.7,20.3,68,-3.2
1977,11,39,29.4,20.4,40,-3.3
1977,12,2,28.1,15,4,-3.6
1978,1,5,28.9,16,7,-3.5
1978,2,22,31.1,18.5,23,-2.7
1978,3,4,35,21.3,5,-2.8
1978,4,26,37.6,24.7,25,-2.3
1978,5,46,39.7,27.2,45,-1.5
1978,6,141,34.1,24.1,135,1.6
1978,7,204,30,22.5,133,1.9
1978,8,274,29.2,22.4,121,3.4
1978,9,217,30.4,23,128,3.7
1978,10,49,31.6,21.2,95,3.5
1978,11,30,30,19.7,70,4.1
1978,12,2,28.4,16.2,43,4.2
1979,1,1,29.2,17.8,29,4.2
1979,2,19,32,18.7,31,4.5
1979,3,1,35.8,20.7,9,3.8
1979,4,14,38.2,24.7,19,3.3
1979,5,74,38.9,25.5,74,4.4
1979,6,85,35.7,25.9,84,3.6
1979,7,86,31.4,24.4,84,2.1
1979,8,79,30.4,23.3,77,0.6
1979,9,307,31.3,23,110,1.2
1979,10,19,31,22.7,92,-2
1979,11,38,29.3,20.8,69,-1.2
1979,12,1,28.7,16.8,33,-1.1
1980,1,0,29.1,18.1,15,-1.1
1980,2,0,32.9,20,9,-1.1
1980,3,9,35.8,22.7,15,-1
1980,4,20,38.3,25.9,24,-0.8
1980,5,13,40.7,27.5,16,-1.1
1980,6,139,34.4,23.3,135,1
1980,7,121,30.3,23.6,117,-0.6
1980,8,176,29.8,22.6,128,0.1
1980,9,143,31.1,23.1,125,-1.1
1980,10,9,31.5,22,28,-2.6
1980,11,3,29.9,18.9,13,-3.4
1980,12,8,29,15.8,14,-3.5
1981,1,5,28.3,16.1,9,-3.3
1981,2,0,32.9,18.9,4,-3.3
1981,3,35,35.5,20.9,36,-2.2
1981,4,21,38.2,25,22,-1.9
1981,5,20,39.2,26.8,21,-1.8
1981,6,145,34.7,25.2,139,-0.9
1981,7,151,30.8,23.7,144,-1.1
1981,8,156,29.7,22.6,136,-1.3
1981,9,311,30.9,22.7,105,1.3
1981,10,79,31,21.4,107,1.9
1981,11,5,29,17.5,69,2.3
1981,12,0,28.4,15.7,46,2.5
1982,1,0,28.7,18.1,22,2.3
1982,2,0,31.9,20.2,12,2
1982,3,2,36.1,21.7,9,1.5
1982,4,29,37.1,24.8,33,1.7
1982,5,32,38.4,25.9,34,1.8
1982,6,110,34.8,25.3,107,1.9
1982,7,196,31.3,24,142,2
1982,8,82,30.2,23.1,96,0.8
1982,9,196,31,23,118,-1.1
1982,10,66,31.5,21.3,90,-1.1
1982,11,24,28.6,19.8,51,-1.1
1982,12,0,28.9,16.3,15,-1.5
1983,1,0,29.3,16.1,9,-1.6
1983,2,0,32.2,20.2,6,-1.6
1983,3,2,35.8,23.2,6,-1.8
1983,4,4,38.2,24.8,7,-2.1
1983,5,27,39.4,27.1,28,-1.9
1983,6,79,36,26.4,77,-2
1983,7,167,31.7,23.9,127,-1.7
1983,8,273,30.1,23.3,120,1.6
1983,9,291,30,22.6,110,3
1983,10,126,30,21.4,121,4.2
1983,11,5,28.9,16.1,75,4.6
1983,12,16,28.2,15.3,57,5.4
1984,1,0,29.7,17.4,39,5.6
1984,2,5,31.4,18.7,21,5.3
1984,3,11,36.1,21.1,20,4.9
1984,4,21,37.6,24.5,26,4.5
1984,5,1,40.1,28.1,5,3.4
1984,6,85,34.7,24.6,84,2.7
1984,7,198,30.3,23.1,129,2.8
1984,8,94,30.2,23,108,1.8
1984,9,159,30.7,23.1,129,1
1984,10,76,30.6,21.7,91,0.7
1984,11,3,29.1,16.4,22,-2.4
1984,12,0,30.3,15.3,11,-2.8
1985,1,3,30.4,17.2,10,-2.7
1985,2,0,32.8,18.7,5,-2.7
1985,3,20,37.3,22.2,22,-2.2
1985,4,5,38.4,25.2,7,-2.4
1985,5,4,39.7,27.3,6,-2.8
1985,6,108,33.8,24,104,-2.4
1985,7,157,30.5,22.9,131,-2.2
1985,8,66,30.5,22.7,68,-3.2
1985,9,47,31.6,23.3,49,-4.7
1985,10,78,30.3,19.9,77,-4.8
1985,11,0,30,16.4,3,-5.6
1985,12,10,29.8,15.6,11,-5.6
1986,1,10,28.8,15.6,11,-5.1
1986,2,13,31.7,18.9,14,-4.5
1986,3,0,36.5,21.8,2,-4.6
1986,4,44,38.4,24.8,43,-3.4
1986,5,4,39.8,27.1,4,-3.8
1986,6,139,34.8,23.9,133,-2.7
1986,7,113,31.3,23.4,108,-3.2
1986,8,203,30.4,22.3,127,-2.5
1986,9,73,32.2,23.6,85,-3.5
1986,10,13,32.8,21.5,28,-4.9
1986,11,24,30.7,18.3,32,-4.9
1986,12,18,30.4,15.7,24,-4.6
1987,1,4,29.6,16.6,8,-4.4
1987,2,0,31.7,17.8,4,-4.3
1987,3,36,35.5,20.7,37,-3
1987,4,22,38.6,24.8,23,-2.7
1987,5,19,39,25.3,20,-2.6
1987,6,74,36.3,25.3,72,-2.7
1987,7,146,32,23.2,140,-2.9
1987,8,167,31.2,23,132,-2.7
1987,9,90,32.4,24,93,-3.7
1987,10,94,31.6,21.2,95,-3.6
1987,11,34,29.8,18.6,36,-3.6
1987,12,7,29.1,15.7,9,-3.8
1988,1,0,30,16.9,2,-3.9
1988,2,35,33.1,19.8,35,-2.6
1988,3,0,36.1,22.4,2,-2.8
1988,4,40,37.5,24.6,39,-1.9
1988,5,4,40.4,28,5,-2.4
1988,6,75,35.5,25.3,72,-2.5
1988,7,284,31.2,22.3,124,-0.8
1988,8,190,30.7,22.6,112,2.5
1988,9,276,31.2,22.5,102,3.8
1988,10,22,31.4,20.4,98,3
1988,11,1,29.7,17.1,60,2.7
1988,12,18,29.3,15,42,2.6
1989,1,0,30.1,15.6,13,2.1
1989,2,0,32.9,17.4,8,1.7
1989,3,33,34.8,20.9,37,2.4
1989,4,2,38.3,24.3,6,1.6
1989,5,8,40.1,27,11,1
1989,6,115,34.1,23.9,112,1.3
1989,7,378,30.7,22.7,121,3.9
1989,8,146,30,22.5,128,4.1
1989,9,183,30.8,22.6,113,4.2
1989,10,63,31.8,20.6,110,4.1
1989,11,3,29.9,17.8,63,4
1989,12,4,28.8,15,42,3.9
1990,1,1,31.1,15.2,20,3.6
1990,2,4,32.6,18.9,14,3.2
1990,3,26,35.2,21.7,32,3.5
1990,4,2,38.4,25,6,2.6
1990,5,127,36.8,24.5,124,5.3
1990,6,125,32.9,23.3,122,5.6
1990,7,108,30.5,23,105,4.2
1990,8,210,30.3,22.7,121,4.4
1990,9,132,31,23,118,3.3
1990,10,79,30.4,20.9,95,3.1
1990,11,19,29.8,18.8,47,2.7
1990,12,1,29.2,16.3,14,2
1991,1,2,30.5,16.1,10,1.7
1991,2,0,33.3,19.3,6,1.2
1991,3,0,36.9,22.1,4,0.8
1991,4,15,37.8,24.8,17,0.6
1991,5,14,39.8,27.4,16,-1.4
1991,6,179,33.8,24.1,147,1.9
1991,7,125,30.6,23.2,122,1.4
1991,8,179,30.4,22.4,141,1.4
1991,9,201,31.7,23.5,119,1.2
1991,10,36,32.1,20.7,86,0.6
1991,11,20,29.3,17.2,50,0
1991,12,1,28.9,14.7,15,-0.8
1992,1,0,29.4,14.7,9,-0.9
1992,2,0,31.6,18.7,6,-1
1992,3,0,36.8,21.6,4,-1.3
1992,4,7,37.9,24.8,10,-1.5
1992,5,33,39.1,27,34,-1
1992,6,92,35,25.5,90,-0.9
1992,7,84,32,24,82,-1.9
1992,8,234,29.8,22.5,133,-1
1992,9,156,31,22.5,130,-1.3
1992,10,36,31.1,21.7,77,-1.7
1992,11,24,30.1,18.1,48,-1.7
1992,12,0,28.7,13.9,13,-2
1993,1,0,30.3,16,8,-2
1993,2,0,32.4,17.1,6,-2
1993,3,2,35.5,21.3,6,-2.1
1993,4,8,37.8,24.6,11,-2.2
1993,5,14,39.6,27.4,15,-2.3
1993,6,79,35.4,26.3,77,-2.4
1993,7,169,31,23.7,133,-2.1
1993,8,148,30.6,23,135,-2
1993,9,153,30.6,23,122,-2.3
1993,10,85,30.8,22,91,-1.9
1993,11,0,29.1,18.4,17,-2.4
1993,12,5,28.1,14,15,-2.5
1994,1,9,29.9,16.4,15,-2.2
1994,2,7,32.2,18.7,11,-1.9
1994,3,0,37.4,21.9,3,-2.1
