Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 16.7708 North,78.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,29.8,16.5,14,1.8
1958,2,8,32.2,19.2,15,1.9
1958,3,4,36,21.5,9,1.7
1958,4,39,37,24.1,41,2.3
1958,5,15,37.4,25,17,1.9
1958,6,72,35.1,24.8,71,0.6
1958,7,299,28.8,21.1,143,1.3
1958,8,221,29,21.2,128,2.4
1958,9,157,29.1,21.1,133,1.8
1958,10,43,29.6,20.5,96,1.6
1958,11,18,29.4,18.4,67,2
1958,12,0,28.3,15.8,31,1.8
1959,1,0,29.5,17.2,14,1.7
1959,2,0,32.7,19.3,8,1.4
1959,3,0,36.3,21.2,5,1
1959,4,12,36.9,23.8,15,0.7
1959,5,29,37.9,25,30,0.8
1959,6,140,32.5,22.4,136,1.5
1959,7,287,28.8,20.7,134,2.1
1959,8,217,28.9,20.9,132,3
1959,9,177,29.1,21.1,130,2.6
1959,10,46,29.6,21,99,2.3
1959,11,3,28.8,17.7,63,2.3
1959,12,1,28.5,15.5,25,1.8
1960,1,0,29.6,16.6,12,1.5
1960,2,0,32.6,17.6,7,1.2
1960,3,19,34.8,21.2,23,1.7
1960,4,6,36.9,23.3,9,1.1
1960,5,27,37.4,24.1,29,1.1
1960,6,111,32.8,22.4,107,1.1
1960,7,154,29.7,21.8,119,-0.6
1960,8,33,29.8,21.6,41,-2.6
1960,9,398,29.2,21.2,105,-0.8
1960,10,37,29.9,20.2,94,-0.9
1960,11,12,28.9,17,60,1.4
1960,12,3,28.8,16,33,1.4
1961,1,0,29.6,16.8,14,1.3
1961,2,4,31.4,18.1,11,1.3
1961,3,3,36.7,22.1,8,1.1
1961,4,10,37.6,23.9,13,0.8
1961,5,36,36.7,24,37,1.1
1961,6,146,32.4,21.8,141,2
1961,7,369,28.6,20.9,119,3.6
1961,8,128,29.1,20.9,128,3.3
1961,9,73,28.9,20.5,106,1.9
1961,10,140,29.2,19.7,123,3.3
1961,11,3,28.3,17.1,60,3.5
1961,12,0,27.9,14.9,41,3.8
1962,1,0,28.5,14.3,16,3.6
1962,2,11,32.1,17.5,19,3.7
1962,3,7,35,20.5,13,3.5
1962,4,56,35.9,23,58,4.5
1962,5,22,36.8,23.5,24,4.1
1962,6,93,33.3,22.6,91,3.3
1962,7,189,29.4,21.2,139,2.6
1962,8,194,29,20.8,122,2.8
1962,9,317,28.8,20.3,121,3.6
1962,10,69,30.2,19.5,107,3.7
1962,11,14,28.6,16.7,62,4
1962,12,22,27.3,15.4,54,4.8
1963,1,0,28.3,15,21,4.7
1963,2,0,31.8,16.8,11,4.2
1963,3,4,35.3,20.7,11,3.8
1963,4,36,35.6,22.1,39,4.1
1963,5,16,37.4,23.8,19,3.4
1963,6,132,32.6,21.6,128,3.4
1963,7,156,30,21.4,146,2.2
1963,8,269,28.8,20.4,129,3.1
1963,9,94,29.8,20.8,112,1.8
1963,10,99,29.9,20.2,111,2.2
1963,11,0,28.8,18.1,48,2
1963,12,2,28.5,15.5,19,1.4
1964,1,0,29.6,15.6,9,1.1
1964,2,1,33,18,7,0.8
1964,3,1,36.7,21.6,5,-1
1964,4,13,37.7,24,15,-1.2
1964,5,8,38.1,24.9,10,-1.7
1964,6,118,33.6,22.2,114,-1.4
1964,7,250,29.8,20.9,126,-0.9
1964,8,98,28.7,20.2,113,-1.4
1964,9,454,28.7,20.1,111,2.6
1964,10,47,30.2,20.1,96,2.4
1964,11,5,28,16.4,65,2.5
1964,12,0,28,13.8,28,2
1965,1,0,29.1,15.7,13,1.8
1965,2,0,31.7,18,8,1.4
1965,3,1,35.2,20.6,6,1
1965,4,9,36.2,22.6,12,0.6
1965,5,9,37.5,24,12,-1.3
1965,6,116,33.7,22.3,113,-1.2
1965,7,334,29.5,20.8,146,1.1
1965,8,80,29.6,20.9,104,0.6
1965,9,224,29.6,20.7,128,0.7
1965,10,0,31.5,20.2,95,-1.2
1965,11,2,30.1,17.5,40,-2
1965,12,6,29,16.3,21,-2.2
1966,1,3,29.5,16.4,12,-2
1966,2,0,33,18.5,6,-2.1
1966,3,2,36.3,21.4,6,-2.1
1966,4,12,37.3,23.7,14,-2.2
1966,5,7,37.6,24.2,9,-2.7
1966,6,49,33.7,23,48,-3.7
1966,7,222,30.4,22.1,120,-3.2
1966,8,145,30,21.5,119,-2.8
1966,9,231,29.5,20.5,123,-2.3
1966,10,34,30.6,19.9,101,-2.4
1966,11,26,29.2,18.6,74,-1.7
1966,12,14,27.9,15.3,37,-1.3
1967,1,1,29.6,15.8,12,-1.2
1967,2,0,32.8,17.3,7,-1.2
1967,3,10,34.7,20.9,15,-0.8
1967,4,8,37.4,23.2,11,-1
1967,5,5,38,24.6,7,-1.6
1967,6,100,33.5,22.9,97,-1.5
1967,7,372,29.3,21.2,117,1.9
1967,8,104,28.9,20.8,117,1.5
1967,9,223,29.1,20.6,119,1.8
1967,10,24,29.8,19.6,87,1.2
