Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.3125 North,76.2292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,3,31.1,14.4,14,0.6
1958,2,0,33.2,15.7,7,-0.1
1958,3,3,37.9,19.6,7,-0.2
1958,4,3,41.4,25.5,6,0.1
1958,5,4,42.9,28.8,6,-0.1
1958,6,111,39.6,27.7,107,-0.7
1958,7,237,30.4,23.9,135,-0.6
1958,8,276,30.9,23.9,115,1.5
1958,9,200,29.7,22.9,112,1.7
1958,10,31,32.5,19.7,90,2
1958,11,43,32,15.7,72,3.1
1958,12,0,30.2,13.5,25,2.7
1959,1,7,29.9,14.3,18,2.6
1959,2,0,33.1,15.6,7,2.3
1959,3,0,38.7,19.9,4,1.8
1959,4,8,40.9,24.8,11,2.1
1959,5,3,42.8,28.7,5,1.6
1959,6,113,37.8,26.6,109,1.3
1959,7,324,30.2,22.9,129,2.6
1959,8,169,29.5,23.1,116,2.7
1959,9,344,29.8,22.6,111,4.5
1959,10,88,32.3,20.3,104,5.8
1959,11,11,31.6,15.1,68,6.5
1959,12,0,30.9,13,34,6
1960,1,26,29.4,12.7,38,6.4
1960,2,0,35.5,15,7,5.7
1960,3,9,35.9,19.1,14,5.3
1960,4,2,40.6,24.1,5,4.8
1960,5,15,42.4,27.7,16,4.7
1960,6,169,37.2,25.8,162,4.9
1960,7,191,31.5,24,126,3.8
1960,8,144,29.5,22.8,126,2.6
1960,9,140,31.4,23,119,1.8
1960,10,52,32.9,19.3,85,2
1960,11,0,31.6,14,20,1.3
1960,12,4,31.5,13.9,13,0.7
1961,1,2,30.7,14.1,8,-1.9
1961,2,2,31.4,13.8,6,-1.7
1961,3,3,38.5,20.4,6,-1.7
1961,4,2,40.9,24.5,4,-1.6
1961,5,25,42.1,27.8,25,0.9
1961,6,87,37.1,25.4,84,-0.6
1961,7,230,30.2,23.3,115,0.2
1961,8,127,30.4,23.5,123,-1.1
1961,9,355,29.5,22.2,111,2
1961,10,109,31.7,18.8,109,4
1961,11,4,31.1,15,60,4.7
1961,12,7,29.5,11.5,51,5.2
1962,1,4,29.3,10.8,20,5
1962,2,0,33.7,14.5,9,4.6
1962,3,25,36.8,18.8,30,5.1
1962,4,10,39.9,24,13,5.2
1962,5,15,42.4,27.5,17,5.1
1962,6,47,38.3,26.3,47,2.6
1962,7,279,31.1,23.6,131,3
1962,8,101,30.6,23.4,113,1.8
1962,9,351,30.3,22.3,112,3.6
1962,10,7,33.1,17.5,86,3.2
1962,11,29,31.9,14.6,57,3.4
1962,12,90,29.5,13.3,88,5.4
1963,1,3,30.2,12,17,4.9
1963,2,4,34.7,15,12,4.7
1963,3,6,37.1,18.7,11,4.3
1963,4,1,39.1,23.1,5,3.9
1963,5,4,41.8,27.2,6,3.4
1963,6,126,37.2,25.3,121,3
1963,7,229,31.5,23.4,129,2.7
1963,8,196,29.9,22.8,117,2.6
1963,9,83,30.9,22.2,107,1.3
1963,10,50,33.2,19.7,100,1.8
1963,11,6,32.1,16.4,38,1.3
1963,12,1,30.9,12.8,14,0.6
1964,1,0,29.5,12.1,7,-1.4
1964,2,0,33.7,14.7,5,-1.4
1964,3,6,38.9,20,9,-1.4
1964,4,2,41.7,25.5,5,-1.3
1964,5,1,42.1,27.6,3,-1.5
1964,6,200,37.8,25.7,192,1.1
1964,7,253,31.3,23.4,127,1.3
1964,8,143,30.1,22.8,114,0.9
1964,9,220,30.9,22.4,110,1.3
1964,10,21,33.5,19.7,93,1.4
1964,11,2,31.1,13.6,39,0.9
1964,12,0,30.4,11.6,14,-1
1965,1,21,30.8,13.9,28,0.6
1965,2,1,33.2,15,6,-0.1
1965,3,1,36.8,18.7,5,-0.3
1965,4,3,39.7,23.7,5,0.1
1965,5,0,42.9,28.3,2,-0.7
1965,6,73,38.4,26.3,71,-1.8
1965,7,226,31.2,23.8,133,-1.7
1965,8,172,31.2,23.4,120,-1.8
1965,9,57,31.2,22.4,98,-2.9
1965,10,3,34.5,19.5,46,-4
1965,11,1,32.8,14.5,15,-4.7
1965,12,21,30.8,12.7,28,-4.5
1966,1,9,30.2,13,14,-4.1
1966,2,0,34.8,16.1,4,-3.9
1966,3,9,37.2,18.4,11,-3.5
1966,4,0,40.3,24.1,3,-3.3
1966,5,13,41.5,26.9,14,-2.7
1966,6,52,38.2,26.9,51,-4
1966,7,331,32.8,24.8,129,-2.1
1966,8,95,30.7,23.5,113,-2.7
1966,9,189,31.6,22.5,127,-2.5
1966,10,1,35.1,20.1,94,-2.5
1966,11,49,32.3,17.2,71,-2.1
1966,12,36,30.4,12.2,45,-1.5
1967,1,0,30,12.1,7,-1.7
1967,2,0,35.2,15.2,4,-1.6
1967,3,19,36,19.5,21,-0.9
1967,4,1,40.2,23.7,4,-0.8
1967,5,0,42.7,27.8,2,-1.1
1967,6,173,37.7,25.9,166,0.7
1967,7,301,31.1,24,124,1.9
1967,8,156,29.9,23.3,120,1.7
1967,9,130,30.4,22.5,115,1
1967,10,10,34.2,19.5,82,0.9
1967,11,0,32.5,15.1,38,0.6
1967,12,123,30,15.3,96,3.9
1968,1,2,28.3,12.6,28,4.7
1968,2,2,31.8,14.4,13,4.5
1968,3,24,36.9,18.3,30,4.9
1968,4,5,39.9,22.8,9,4.6
1968,5,0,41.6,26.7,3,3.9
1968,6,49,38.5,26.5,49,1.9
1968,7,272,31.6,23.7,131,2.3
1968,8,226,29.7,22.8,124,3
1968,9,160,32.5,22.8,117,2.5
1968,10,19,33.8,18.2,85,2.4
1968,11,2,32.2,14,44,2.4
1968,12,3,30.4,12.4,17,1.8
