Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 17.6875 North,83.2292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,5,28.1,20.1,58,1.4
1958,2,0,29.1,22.1,47,1.3
1958,3,2,31.5,24.4,26,1
1958,4,63,33.8,26.8,73,1.8
1958,5,22,35.4,28.7,29,0.9
1958,6,54,36.1,29.8,57,-1.3
1958,7,208,31.7,26.1,137,1.1
1958,8,123,31.8,26.1,120,0.9
1958,9,211,31.4,25.7,124,1.3
1958,10,583,30.8,24.6,117,2.7
1958,11,172,29.7,22.9,107,3.9
1958,12,0,27.7,20.3,65,3.9
1959,1,20,27.9,19.9,62,4.4
1959,2,23,29.2,22.3,64,5.1
1959,3,0,31.4,24.2,32,4.6
1959,4,19,33.4,26.5,34,4.1
1959,5,8,35.3,28.6,17,2.7
1959,6,119,33.9,27.6,119,2.8
1959,7,218,31.4,25.8,129,3.8
1959,8,95,31.1,25.4,106,3
1959,9,163,31.3,25.6,127,2.5
1959,10,349,30.9,24.7,112,2.7
1959,11,0,28.5,21.7,67,2
1959,12,0,26.9,19.5,50,1.8
1960,1,1,27.7,19.7,45,1.5
1960,2,0,28.2,21.3,26,1.2
1960,3,7,30.5,23.3,21,0.9
1960,4,2,33.5,26.5,10,-1.2
1960,5,29,35.1,28.4,33,-1.6
1960,6,104,34.3,28,103,-1.3
1960,7,151,31.8,26.1,121,-0.8
1960,8,109,32.3,26.6,109,-1.2
1960,9,199,31.6,25.9,115,-0.8
1960,10,190,30.7,24.5,120,-1
1960,11,7,28.8,22,57,-1.4
1960,12,12,28,20.6,46,-1.5
1961,1,8,27.9,19.9,39,-1.6
1961,2,34,28.1,21.1,47,-0.9
1961,3,4,32.1,24.9,13,-1.2
