Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 18.1042 North,83.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,29,18.7,57,1
1958,2,0,30,21.1,47,1
1958,3,2,33.5,22.5,26,0.6
1958,4,67,35.1,26.5,76,1.6
1958,5,35,36.3,29.4,41,0.7
1958,6,61,37.5,29.6,63,-1.5
1958,7,273,31.7,26,133,1.3
1958,8,146,31.9,26.2,126,1.3
1958,9,230,31.7,25.3,122,1.8
1958,10,519,30.6,24.4,119,3
1958,11,142,29.7,21.9,106,4.1
1958,12,0,28.1,18.9,63,4
1959,1,19,28.4,18.9,60,4.4
1959,2,16,30.4,20.8,60,4.9
1959,3,0,32.8,23,29,4.3
1959,4,16,34.8,26.3,29,3.7
1959,5,14,36.3,29.4,22,2.3
1959,6,150,34.2,28.1,145,2.4
1959,7,258,31.2,25.9,126,3.4
1959,8,106,30.9,25.6,114,2.5
1959,9,167,31.1,25.5,123,2
1959,10,329,30.3,25,114,2.2
1959,11,0,28.6,20.3,66,1.5
1959,12,1,27.3,18.2,48,1.2
1960,1,1,28.5,18.2,44,0.9
1960,2,0,30.2,19,26,-1
1960,3,8,31.3,22.5,21,-1.1
1960,4,2,35.4,25.8,11,-1.6
1960,5,47,36,29.1,51,-1.8
1960,6,128,34.9,28.3,126,-1.5
1960,7,203,31.5,26.3,119,-0.8
1960,8,129,32.3,26.8,126,-1.2
1960,9,210,31.4,25.9,114,-0.9
1960,10,186,30.9,23.8,122,-1
1960,11,5,29.4,20.3,66,-1.2
1960,12,12,29.2,18.5,54,-1
1961,1,8,28.6,18.7,49,-0.8
1961,2,23,28.6,20.2,51,0.5
1961,3,5,32.6,24.7,21,-0.3
1961,4,5,35.3,26.5,15,-0.7
1961,5,46,36.1,29,50,-1.1
1961,6,162,33.9,27.4,155,0.5
1961,7,156,30.9,25.5,121,-0.1
1961,8,170,31.7,26.2,130,0
1961,9,174,30.8,25,124,-0.3
1961,10,385,30.1,23.7,114,0.6
1961,11,36,28.3,19.7,77,0.6
1961,12,2,26.9,16.6,55,0.6
1962,1,9,27.2,16.1,50,0.7
1962,2,4,28.8,19.2,40,0.8
1962,3,1,32.9,21.9,17,-0.3
1962,4,24,34,25.7,33,0.1
1962,5,79,35.3,28.6,81,0.1
1962,6,58,34.1,27.7,60,-1
1962,7,263,31.8,25.9,129,1.2
1962,8,149,31.5,25.8,126,1.2
1962,9,353,31.4,25.3,119,3.1
1962,10,579,30.1,23.8,120,4.5
1962,11,21,28.9,19.7,69,3.8
1962,12,11,27.8,18,59,3.7
1963,1,0,27.3,16.4,47,3.3
1963,2,0,29.7,18.9,32,2.8
1963,3,2,32.3,22.6,17,2.2
1963,4,104,33.4,24.8,108,4
1963,5,39,35.4,28.4,43,3
1963,6,126,34.2,28,125,2.7
1963,7,173,31.6,26.2,135,2.3
1963,8,142,31.4,25.8,129,1.7
1963,9,167,31.8,25.9,124,1
1963,10,607,30.7,24.6,121,2.3
1963,11,0,29.4,21.3,65,1.6
1963,12,0,27.7,19,52,1.2
1964,1,1,28.6,19.2,41,0.9
1964,2,3,29.9,21.6,29,0.6
1964,3,1,33.3,23.8,14,-1.2
1964,4,20,34.5,27.2,28,-1.3
1964,5,64,36.3,29.4,67,-1.4
1964,6,116,34.6,28.1,114,-1.4
1964,7,149,31.6,26.1,134,-1.7
1964,8,225,30.8,25.3,127,-0.8
1964,9,346,30.9,25.1,115,2.4
1964,10,159,30.4,24.7,125,2
1964,11,43,28.6,20.8,84,1.9
1964,12,4,27.5,18.1,58,1.9
1965,1,5,28.3,18.7,51,1.7
1965,2,1,30,20.2,34,1.4
1965,3,15,32.1,22.3,30,1.3
1965,4,27,33.8,25.8,35,1.3
1965,5,41,35.9,28.8,45,0.6
1965,6,45,36.2,28.8,47,-1.7
1965,7,266,32,26.4,136,1.2
1965,8,177,32.2,26.4,129,1.5
1965,9,188,31.4,25.7,119,1.6
1965,10,106,31.3,24.7,121,1.1
1965,11,6,29.7,21.1,67,-0.5
1965,12,23,27.3,20.9,64,0.1
1966,1,66,27.8,18.9,79,1.4
1966,2,0,30.4,20.7,36,1.3
1966,3,0,33.3,23,17,0.8
1966,4,3,35.2,26.5,13,-0.5
1966,5,57,37.2,29.1,61,-1.2
1966,6,116,34.8,28.4,115,-1.2
1966,7,155,32.8,27,126,-1.3
1966,8,149,32,26.4,122,-1.4
1966,9,130,31.7,25.5,125,-2.1
1966,10,139,31,24,130,-2.4
1966,11,148,30,22.3,109,-1.4
1966,12,8,27.1,18.4,42,-1.4
1967,1,21,27.5,19.4,38,-1.3
1967,2,0,30.2,20.6,10,-1.6
1967,3,92,30.5,22.8,94,2
1967,4,15,34.7,25.7,19,1.5
1967,5,8,36.6,29.1,11,-1.5
1967,6,141,35.6,28.3,137,-1.2
1967,7,220,32.2,26.5,135,0.6
1967,8,107,31.5,25.9,114,-0.8
1967,9,156,31.5,26,127,-1.4
1967,10,36,30.9,23.7,69,-2.1
1967,11,1,29.5,19.6,19,-3.3
1967,12,61,28.7,20.3,67,-3
1968,1,23,27.4,18.1,29,-3.2
1968,2,2,29.9,20.9,8,-3.4
1968,3,6,31.9,22.9,10,-3.5
1968,4,25,33.5,25.2,27,-3.2
1968,5,30,36,28.3,31,-3.7
1968,6,157,34.7,28.8,151,-3.1
1968,7,191,32,26.9,142,-2.7
1968,8,35,32.5,26.9,46,-4.5
1968,9,167,31.7,25.7,123,-4.6
1968,10,300,30.2,23.8,122,-4.2
1968,11,61,28.6,21.4,90,-3.4
1968,12,4,27.9,18.9,62,-2.8
1969,1,0,28.4,18.1,48,-2.5
1969,2,0,30.6,21.6,36,-2.3
1969,3,12,33.4,24.9,28,-2.2
1969,4,2,35.5,27.3,11,-2.5
1969,5,224,34.8,27.7,181,2.6
1969,6,97,35,28.5,111,2.3
1969,7,227,31.5,26.2,137,2.7
1969,8,80,31.8,26.2,101,1.4
1969,9,181,31.3,25.6,120,1
1969,10,188,30.7,24.1,131,0.6
1969,11,146,29.7,21.7,105,1.9
1969,12,23,27.3,18.4,74,2.6
1970,1,2,27.6,19.1,55,2.8
1970,2,3,30.5,21.8,52,3.2
1970,3,72,31.8,24.4,94,4.5
1970,4,11,34.2,26.8,24,3.8
1970,5,179,36.3,28.9,173,5.2
1970,6,239,33,26.6,163,6.2
1970,7,135,31.7,26.1,134,5.2
1970,8,225,31.2,25.6,125,5.7
1970,9,117,31.1,26.1,119,4.5
1970,10,137,30.2,24.4,124,3.7
