Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.8125 North,93.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,24,19.3,6.6,39,0.2
1958,2,48,18.6,7.8,52,0.6
1958,3,23,24.1,11,60,-0.9
1958,4,130,26.7,15.2,115,-0.8
1958,5,355,27.3,18.1,114,0.8
1958,6,304,30.3,21.3,122,-0.5
1958,7,465,30,20.9,120,-0.1
1958,8,529,27.6,20.2,90,0.9
1958,9,272,28.8,19.9,97,-0.4
1958,10,142,27.2,16,81,0.6
1958,11,4,25.2,9.5,41,-0.4
1958,12,5,21,6.8,30,-0.1
1959,1,32,19.2,6.1,42,0.5
1959,2,32,18.4,6.7,43,0.1
1959,3,72,23.4,10.2,79,0.8
1959,4,125,26.8,15,109,0.8
1959,5,405,27.2,17.5,110,2.2
1959,6,468,28.2,20.4,101,2.6
1959,7,317,29.4,20.9,120,1.2
1959,8,247,29.2,20.3,118,-2.2
1959,9,323,27.4,18.6,97,-1.8
1959,10,202,24.4,16.1,80,1.5
1959,11,12,23.5,10.2,43,1.2
1959,12,4,21.9,6.8,33,1
1960,1,7,18.7,4.6,33,-0.4
1960,2,58,21.2,8.9,58,0.5
1960,3,24,23.1,10.7,57,-0.9
1960,4,37,27.8,15.6,58,-2.4
1960,5,174,29.1,19.1,126,-3.1
1960,6,372,29.2,20.7,118,-3.6
1960,7,488,28.1,20.4,105,-2.5
1960,8,369,28.7,20.8,117,-2.6
1960,9,348,27.1,19.8,94,-1.9
1960,10,34,26.1,16,70,-2.6
1960,11,9,23.2,10.1,41,-2.9
1960,12,7,21.9,7,31,-3
1961,1,11,20.3,7.2,29,-3.1
1961,2,15,19.6,7.7,31,-3.4
1961,3,92,22.4,11.1,87,-2.4
1961,4,89,26.6,15.1,94,-2.8
1961,5,311,27.1,18.8,119,-2.4
1961,6,296,29.7,20.6,132,-2.7
1961,7,347,29.5,20.7,125,-3.3
1961,8,392,28.9,21.4,115,-3.2
1961,9,343,27.9,19.8,110,-2.6
1961,10,82,26.2,16.3,86,-2.7
1961,11,19,21.1,10,48,-2.5
1961,12,1,17.8,5.2,30,-2.4
1962,1,30,18.3,4.6,43,-1.8
1962,2,50,18.4,6.9,52,-1.2
1962,3,54,22.8,10.1,72,-1.2
1962,4,105,26.3,15.3,107,-1.4
1962,5,345,26.6,18.2,117,-0.6
1962,6,693,28,20.5,103,2.8
1962,7,346,29.2,21.2,122,1.6
1962,8,606,27,20.7,95,2.9
1962,9,334,27.4,19.9,103,2.8
1962,10,61,25.7,15,78,1.9
1962,11,7,23.6,9.9,41,1.3
1962,12,6,20.2,6.9,30,1
1963,1,22,18.5,4,38,0.9
1963,2,24,19.6,7.4,39,-1.1
1963,3,50,22.3,10.6,65,-1.4
1963,4,103,24.5,14.3,102,-1.6
1963,5,297,26.7,17.6,117,-1.3
1963,6,393,28,20.1,114,-1.1
1963,7,448,28.4,21.1,112,-0.7
1963,8,497,27.5,20.7,101,1
1963,9,180,28.7,19.7,108,-1.6
1963,10,148,24.8,14.9,86,-0.8
1963,11,34,20.6,9.7,52,0.3
1963,12,3,19.3,6.1,32,0
1964,1,9,19,5.4,36,-0.2
1964,2,23,19.1,7.3,41,-0.5
1964,3,97,22.8,10.1,95,0.3
1964,4,124,24.7,14.5,107,0.4
1964,5,178,27,17.3,130,-0.3
1964,6,369,28.9,19.8,111,-0.7
1964,7,425,28,20.2,118,-0.7
1964,8,371,28.4,20,121,-1
1964,9,299,27.3,19.6,100,-1
1964,10,86,27,16.1,88,-1.2
1964,11,5,23.4,10.8,45,-1.6
1964,12,7,20,5.9,34,-1.5
1965,1,3,18.9,4.3,28,-1.9
1965,2,45,17.6,6.7,49,-1.4
1965,3,40,20.7,8.8,61,-1.8
1965,4,94,25.5,14.2,97,-2.2
1965,5,284,27.4,18.5,117,-2
1965,6,361,28.9,20.5,115,-1.9
1965,7,426,28.4,20.1,114,-1.7
1965,8,505,27,19.8,109,-0.8
1965,9,302,27.3,18.9,98,-0.9
1965,10,48,24.4,14.4,73,-1.5
1965,11,114,20.2,9,64,2.1
1965,12,2,20.5,6.7,33,1.9
1966,1,21,17.9,4.4,41,2
1966,2,11,21.3,7.7,38,1.3
1966,3,15,24.7,10.2,57,-1.5
1966,4,71,25.8,14.3,85,-2.3
1966,5,278,28.9,19,130,-2.3
1966,6,639,27.5,19.7,116,-0.7
1966,7,366,29.2,20.8,114,-1.2
1966,8,587,27.7,20.6,102,1.9
1966,9,321,26.7,18.8,104,1.8
1966,10,95,23.8,14.1,88,1.5
1966,11,19,24.4,11.7,44,1.3
1966,12,4,20.4,7.6,33,1.1
1967,1,12,19.4,6.6,36,0.8
1967,2,18,19.8,7.3,39,-0.4
1967,3,108,20.8,10.1,92,1
1967,4,100,24.5,13.9,104,0.6
1967,5,166,27.2,17.7,121,-1
1967,6,371,28,19.8,113,-1.5
1967,7,278,29.3,20.4,118,-2.8
1967,8,253,29.7,20.4,129,-3.8
1967,9,314,27.8,18.9,104,-3.4
1967,10,23,25.2,13.7,67,-4.1
1967,11,23,19.8,9.5,46,-4
1967,12,1,19.3,6.2,26,-4
1968,1,30,17.3,4.9,40,-3.4
1968,2,96,18.1,6.4,56,-1.6
1968,3,53,22.3,10.7,72,-1.5
1968,4,107,24.9,13.6,107,-1.5
1968,5,348,27.2,17.7,114,-0.6
1968,6,433,27.9,20.1,117,1.9
1968,7,466,27.7,20.5,111,2.2
1968,8,336,29.1,20.3,121,1.3
1968,9,301,28,19.9,89,1.2
1968,10,99,24.3,14.3,89,1
1968,11,4,22.9,10,41,-0.4
1968,12,0,20.1,5.9,31,-1.1
1969,1,36,18.5,5.8,45,0.5
1969,2,3,20.5,7.4,29,-0.7
1969,3,129,23.4,10.9,100,1.3
1969,4,65,25.9,14.8,87,-0.8
1969,5,197,28.6,18.8,125,-1.4
1969,6,395,28.5,20.9,115,-1.6
1969,7,453,28.7,21.1,115,-1.1
1969,8,465,28.2,20,104,-0.6
1969,9,253,27.6,19.7,101,-1.2
1969,10,81,24.6,14.8,86,-1.4
1969,11,10,23.2,10.2,41,-1.5
1969,12,1,20.4,6.7,29,-1.6
1970,1,32,17.7,5,42,-1
1970,2,40,18.6,6.8,48,-0.7
1970,3,49,23.1,10.8,67,-0.8
1970,4,90,25.8,14.2,97,-1.3
1970,5,307,28,18.5,123,-0.9
1970,6,472,29,20.7,125,0.5
1970,7,467,28.1,20.9,108,1.1
1970,8,422,28.2,20.3,110,1.1
1970,9,265,27.8,19.3,99,-0.5
1970,10,213,24.9,15.1,90,1.5
1970,11,14,21.8,10.7,45,1.1
1970,12,0,20.7,6.5,30,0.8
1971,1,12,18.3,5.6,32,-0.2
1971,2,26,19.1,6.6,41,-0.7
1971,3,90,23,10.4,93,0.5
1971,4,98,25.3,14.5,101,-0.5
1971,5,194,26.8,18.3,122,-1.1
1971,6,543,28.2,20.7,112,0.6
1971,7,399,28.8,20.2,123,-0.3
1971,8,390,28.2,19.5,112,-0.1
1971,9,198,28.5,19.1,101,-1.7
1971,10,181,25.5,15.4,84,1.1
1971,11,84,21,10.1,63,2.5
1971,12,2,19.4,5.8,36,2.3
1972,1,16,19.8,6,38,2.1
1972,2,14,19.4,7.2,38,1.5
1972,3,74,23.6,10.8,83,1.7
1972,4,138,24.4,13.7,103,1.9
1972,5,264,28,18.5,118,1.9
1972,6,265,29.2,20.2,129,1
1972,7,362,30,21.2,115,-1.3
1972,8,321,29.1,19.7,136,-2
1972,9,284,27.4,18.8,97,-2.1
1972,10,32,26.3,15,70,-2.8
1972,11,10,22.1,9.7,42,-3.1
1972,12,2,21.3,6.5,27,-3.3
1973,1,26,20.1,6.7,38,-3
1973,2,59,19.6,8.4,59,-2.2
1973,3,28,23.4,10,54,-3
1973,4,158,26.9,14.9,125,-2.5
1973,5,277,27.8,18.8,122,-2.2
1973,6,641,28.3,20.4,113,1.8
1973,7,292,30.3,20.2,129,-1.5
1973,8,443,29,20.3,126,-1.2
1973,9,350,28.1,19.4,105,-0.7
1973,10,90,25.3,15.8,92,-0.9
1973,11,41,22.2,10,58,0.4
1973,12,24,19.2,7.2,41,1.3
1974,1,24,18.2,5.2,41,1.4
1974,2,8,21.2,8,37,0.7
1974,3,38,22.7,10.4,64,-1
1974,4,118,26.2,14.9,115,-1.2
1974,5,243,27.3,18.2,119,-1.3
1974,6,376,28.5,20.4,114,-1.4
1974,7,610,27.3,20.2,122,1.8
