Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.8958 North,96.1875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,45,21.3,10,51,0.3
1958,2,40,19.4,10.5,48,-0.2
1958,3,26,26.1,13.3,58,-1.4
1958,4,103,27.7,17.1,102,-2.4
1958,5,406,28,20.3,106,-1.3
1958,6,448,32,23.7,112,-1.5
1958,7,675,31.4,23.7,116,1.2
1958,8,699,29.2,23.6,84,1.9
1958,9,327,31.4,23.2,97,1.6
1958,10,252,29.3,20.7,79,2.9
1958,11,2,27.9,14,43,2
1958,12,13,23.4,11,35,1.7
1959,1,52,21.2,10,54,2
1959,2,79,18.5,10.4,56,2.5
1959,3,80,24.4,12.9,81,2.2
1959,4,212,27.1,17.2,100,2.3
1959,5,404,27.6,20.1,94,3.6
1959,6,508,29.6,22.5,88,3.4
1959,7,503,31.3,23.9,114,2.1
1959,8,437,31.4,23.4,107,1.4
1959,9,319,29.9,21.8,93,1.2
1959,10,281,27.8,19.8,76,2.8
1959,11,16,26.2,13.9,47,2.4
1959,12,14,23.9,11,40,2
1960,1,3,21.4,7.7,35,1
1960,2,62,22.8,11.4,62,0.8
1960,3,25,25.4,13.2,53,-2.1
1960,4,109,28,18.2,108,-3.2
1960,5,198,30,21,117,-3.3
1960,6,434,30.3,23,107,-3.7
1960,7,706,29.7,23.2,100,-2
1960,8,555,31.1,23.6,114,-1.8
1960,9,335,30,23.1,88,-1.5
1960,10,79,28.9,20,86,-2.2
1960,11,16,26.2,14.1,49,-2.1
1960,12,16,24,11.2,39,-2.1
1961,1,39,22.6,10.3,47,-1.8
1961,2,52,20.6,11,55,-1.7
1961,3,201,23.5,13.9,81,1.6
1961,4,152,27.5,16.7,109,1.5
1961,5,392,27.8,20.7,112,2.7
1961,6,337,31.6,22.8,120,1.5
1961,7,508,31.1,23.5,109,-1.6
1961,8,567,30.9,24.3,104,-1.3
1961,9,283,31.1,22.6,107,-1.8
1961,10,167,30.1,20.4,95,-1.4
1961,11,25,24.6,13.2,53,-1.2
1961,12,3,20.3,9.1,31,-1.4
1962,1,36,20.5,7.9,46,-1.1
1962,2,74,20.7,9.7,62,-0.6
1962,3,75,24.2,12.4,81,-0.8
1962,4,104,27.3,16.8,102,-1.6
1962,5,345,27.8,20.2,111,-0.8
1962,6,725,29.2,23,89,1.8
1962,7,427,31.1,24,117,-1.8
1962,8,849,28.9,23.5,89,1.5
1962,9,229,30.2,23.2,100,-1.1
1962,10,101,29.2,18.6,94,-1.6
1962,11,9,26.5,13.5,46,-1.8
1962,12,10,22.4,10.5,33,-1.8
1963,1,11,20.9,6.7,36,-2.2
1963,2,25,21.4,9.8,40,-2.8
1963,3,52,24.9,12.6,65,-3.3
1963,4,165,25.9,16.2,104,-3.6
1963,5,159,28.9,19.7,121,-3.8
1963,6,501,29.8,22.3,112,-3.7
1963,7,620,30.2,23.8,106,-3
1963,8,604,29.8,23.6,98,-2.3
1963,9,203,31.6,23.4,106,-3.5
1963,10,204,27.6,18.9,85,-2.3
1963,11,19,24.6,12.4,50,-2.1
1963,12,7,22.1,9.4,36,-2.2
1964,1,30,20.6,8.9,45,-2.1
1964,2,78,20.5,10.4,64,-1.5
1964,3,123,24.4,12.5,92,-0.9
1964,4,144,25.9,16.3,99,-1
1964,5,157,28.8,20,116,-1.3
1964,6,593,29.6,22.4,94,-0.6
1964,7,611,29.6,22.9,114,0.2
1964,8,596,30.3,23,112,0.9
1964,9,343,30.4,23,98,0.9
1964,10,171,30.5,20.1,91,1.1
1964,11,5,26.8,14.3,46,-0.5
1964,12,28,22.1,9.8,45,0.2
1965,1,9,21.3,7.6,33,-0.8
1965,2,66,19.8,9.5,61,0.2
1965,3,58,22.9,11.6,70,-1
1965,4,123,26.4,16,104,-1.8
1965,5,178,28.9,20.4,110,-2.1
1965,6,475,29.9,22.8,103,-2.2
1965,7,570,29.7,23.1,107,-2.1
1965,8,634,28.7,22.9,101,-1.4
1965,9,415,29.3,22.7,90,1.2
