Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.1458 North,95.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,46,19.5,8.2,49,0.4
1958,2,45,17.8,8.8,49,-0.2
1958,3,32,24.4,11.7,63,-1.3
1958,4,107,26.7,15.8,104,-2.3
1958,5,400,26.7,18.7,103,-1.2
1958,6,408,30.8,22.1,112,-1.4
1958,7,567,30.6,22,117,-0.7
1958,8,578,28.1,22,82,1.7
1958,9,298,29.9,21.5,96,1.4
1958,10,227,27.9,18.9,77,2.7
1958,11,3,26.9,12.3,42,1.9
1958,12,12,22.5,9.4,34,1.6
1959,1,49,19.4,8.1,50,1.9
1959,2,81,17,8.8,53,2.3
1959,3,77,23.1,11.4,79,1.9
1959,4,209,26,15.9,98,2
1959,5,393,26.4,18.5,91,3.4
1959,6,484,28.4,21,88,3.4
1959,7,412,30.3,22.4,116,2
1959,8,357,30.2,21.7,107,1.3
1959,9,289,28.6,19.9,94,1
1959,10,237,26.3,18,75,2.5
1959,11,17,24.9,12.4,46,2.1
1959,12,16,22.8,9.4,40,1.9
1960,1,4,19.3,5.8,34,0.9
1960,2,69,21.1,9.8,63,0.8
1960,3,27,24,11.9,57,-1.9
1960,4,105,26.8,16.8,105,-3.1
1960,5,197,28.7,19.5,115,-3.4
1960,6,424,29,21.5,107,-3.7
1960,7,598,28.8,21.8,102,-2.2
1960,8,466,29.8,22.2,113,-2
1960,9,309,28.4,21.6,89,-1.7
1960,10,76,27.5,18.3,83,-2.2
1960,11,15,24.8,12.6,48,-2.2
1960,12,17,23,9.4,40,-2.1
1961,1,43,20.7,8.5,47,-1.7
1961,2,51,19.4,9.4,53,-1.7
1961,3,190,22,12.4,77,1.5
1961,4,167,26.3,15.5,107,1.6
1961,5,361,26.4,19.2,109,2.7
1961,6,283,30.3,21.4,123,1.2
1961,7,454,30,22.1,112,-1.6
1961,8,451,29.8,22.9,104,-1.4
1961,9,246,29.6,21,107,-2
1961,10,148,28.7,18.6,93,-1.6
1961,11,24,22.7,11.8,51,-1.4
1961,12,4,18.7,7.4,31,-1.5
1962,1,35,18.6,6.1,45,-1.3
1962,2,73,19.1,8.4,58,-0.9
1962,3,74,22.3,10.9,79,-1
1962,4,105,25.9,15.5,102,-1.8
1962,5,355,26.3,18.6,107,-0.8
1962,6,616,28.2,21.5,89,1.8
1962,7,370,30,22.5,119,-1.4
1962,8,741,27.6,22,86,1.8
1962,9,225,28.6,21.5,99,0.8
1962,10,75,27.7,16.8,84,-1.5
1962,11,10,25.2,12,44,-1.7
1962,12,11,21,9,32,-1.7
1963,1,13,18.8,4.9,34,-2.2
1963,2,34,19.6,8.2,44,-2.6
1963,3,46,23.1,11.1,62,-3.3
1963,4,176,24.7,15,102,-3.6
1963,5,169,27.6,18.1,119,-3.9
1963,6,444,28.5,20.8,112,-3.8
1963,7,560,29.1,22.3,107,-2.8
1963,8,495,28.6,22.2,96,-2.2
1963,9,166,30.1,21.6,105,-3.5
1963,10,182,26.1,17.1,83,-2.4
1963,11,22,22.5,10.9,49,-2.1
1963,12,7,20.6,7.8,36,-2.2
1964,1,29,18.9,7,43,-2.1
1964,2,77,19,8.9,60,-1.6
1964,3,127,22.9,11.2,91,-0.9
1964,4,146,24.9,15.1,98,-1.1
1964,5,145,27.6,18.3,118,-1.5
1964,6,571,28.6,20.8,95,0.8
1964,7,514,28.7,21.5,115,0.8
1964,8,482,29.2,21.5,112,0.8
1964,9,299,28.9,21.4,98,0.6
1964,10,137,29.3,18.2,90,0.6
1964,11,5,25.4,12.8,46,-0.5
1964,12,26,21,8.3,44,0.2
1965,1,10,19.4,5.6,32,-0.9
1965,2,67,18.2,8,58,-0.7
1965,3,59,21.3,10.1,70,-1.2
1965,4,145,25.4,14.8,102,-1.8
1965,5,169,27.5,19,106,-2.2
1965,6,462,28.7,21.4,102,-2
1965,7,484,28.7,21.6,107,-2
1965,8,579,27.6,21.3,98,-1.1
1965,9,376,28,21,87,1.4
1965,10,87,26.4,16.7,85,0.7
1965,11,82,22.2,10.9,65,2.3
1965,12,21,21.4,9.4,39,2.3
1966,1,33,18.9,6.2,47,2.2
1966,2,39,21,9.1,51,1.6
1966,3,37,24.9,12.3,70,0.6
1966,4,176,25.4,15.1,111,-1.6
1966,5,225,28.9,19.4,125,-1.6
1966,6,690,27.4,20.2,100,1.5
1966,7,475,29.6,22.1,107,1.1
1966,8,704,28.7,22.1,95,2.4
1966,9,252,28,20.5,101,1.6
1966,10,100,25.8,15.9,90,1
