Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.1875 North,93.6875 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,27,20.4,7.6,42,0.2
1958,2,54,19.3,8.7,57,0.8
1958,3,20,25,11.9,58,-1.1
1958,4,149,26.3,15.5,111,-1
1958,5,450,26.2,17.8,106,1
1958,6,292,29.9,21.4,114,-0.9
1958,7,519,29.2,21.2,115,0.4
1958,8,590,27.3,20.7,86,1.3
1958,9,277,28.6,20.7,93,0.9
1958,10,194,27.1,17.3,79,1.7
1958,11,4,25.9,11.1,42,1.1
1958,12,7,21.8,8.4,31,1
1959,1,41,19.7,7.4,47,1.5
1959,2,32,19,7.7,44,1.4
1959,3,86,23.8,11.3,87,1.6
1959,4,150,26.3,15.4,105,1.7
1959,5,531,25.9,17.5,103,3.3
1959,6,471,27.8,20.6,96,3.6
1959,7,342,28.9,21.2,118,1.9
1959,8,281,29,20.9,113,-2.4
1959,9,305,27.3,19.4,91,-2.1
1959,10,235,24.5,17,79,1.5
1959,11,14,24.3,11.4,47,1.1
1959,12,5,22.7,7.9,35,0.9
1960,1,5,19.8,5.7,34,-0.5
1960,2,42,22.3,9.9,51,0.1
1960,3,34,23.8,11.4,59,-1.5
1960,4,52,27.8,15.8,66,-2.9
1960,5,224,28.2,18.8,122,-3.4
1960,6,412,28.7,20.9,110,-3.6
1960,7,535,27.5,20.5,99,-2.5
1960,8,405,28.6,21.3,114,-2.6
1960,9,341,27.1,20.2,92,-2
1960,10,40,26.4,17,74,-2.7
1960,11,13,24.2,11.6,46,-3
1960,12,6,22.8,8.2,32,-3.1
1961,1,11,21.2,7.8,30,-3.3
1961,2,13,20.3,8.3,29,-3.6
1961,3,117,23.2,12,90,-2.5
1961,4,108,26.3,15.3,107,-2.8
1961,5,357,26.1,18.5,115,-2.4
1961,6,313,29,20.8,128,-3
1961,7,374,29,20.9,122,-3.8
1961,8,409,28.8,21.9,113,-3.8
1961,9,300,28,20.5,109,-3.6
1961,10,113,26.3,17.4,92,-3.4
1961,11,23,22.1,11.2,52,-3.2
1961,12,1,19,6.3,32,-3
1962,1,35,19.1,5.4,47,-2.3
1962,2,51,19.3,7.8,54,-1.6
1962,3,53,23.7,10.8,73,-1.8
1962,4,101,26.2,15.4,103,-2.2
1962,5,368,25.7,17.8,114,-1.8
1962,6,616,27.5,20.6,96,1.9
1962,7,366,28.8,21.4,119,0.6
1962,8,600,26.9,21.2,91,1.5
1962,9,241,27.6,20.5,103,0.6
1962,10,73,25.9,16,84,-1.4
1962,11,9,24.3,11.1,45,-1.7
1962,12,4,21.1,8,32,-1.8
1963,1,17,19.6,5.2,38,-1.8
1963,2,19,20.6,8.3,36,-2.1
1963,3,58,23.3,11.4,69,-2.4
1963,4,116,24.4,14.4,109,-2.6
1963,5,310,25.8,17.4,115,-2.6
1963,6,395,27.7,20.5,109,-2.4
1963,7,501,27.9,21.2,108,-1.9
1963,8,512,27.4,21.2,96,-1.3
1963,9,210,28.6,20.3,107,-2.3
1963,10,152,25,16,87,-1.7
1963,11,31,21.8,11.2,54,-1.5
1963,12,3,20.5,7.7,34,-1.4
1964,1,15,19.6,6,40,-1.4
1964,2,28,19.9,8,45,-1.5
1964,3,118,23.7,11,103,-0.6
1964,4,151,24.2,14.4,106,0.2
1964,5,261,26.2,17.1,123,-0.2
1964,6,416,28.1,19.8,103,0.6
1964,7,451,27.3,20.2,109,-0.2
1964,8,399,28.3,20.6,118,-0.7
1964,9,299,27.4,20.1,97,-0.7
