Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.6042 North,91.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,10,10.1,-5.8,20,0.9
1958,2,22,9.7,-4.6,28,1.2
1958,3,16,13.6,-1.3,23,-0.8
1958,4,114,16.5,2.8,102,0.7
1958,5,74,17.7,5.8,77,-0.2
1958,6,72,20.8,9.5,73,-1.7
1958,7,177,20.5,10.6,103,-2
1958,8,190,19,10.6,86,-0.7
1958,9,68,19.9,9.1,79,-1.1
1958,10,29,19.1,4.9,59,-1.3
1958,11,1,16,-2.4,33,-1.5
1958,12,2,11.5,-5.3,19,-1.5
1959,1,16,9.7,-5.9,22,-1.1
1959,2,7,9.3,-5.4,16,-1.1
1959,3,57,13.2,-1.6,62,-0.6
1959,4,86,16.9,2.9,85,0.2
1959,5,110,17.2,5.5,105,1.1
1959,6,150,18.8,8.8,92,1.4
1959,7,131,20,10.5,103,0.6
1959,8,81,20.5,10.3,91,-1.8
1959,9,113,18.6,7.6,85,-1.3
1959,10,113,15.9,4.9,71,1.9
1959,11,1,14.7,-2.1,38,1.7
1959,12,0,12.5,-5.6,26,1.7
1960,1,2,9.3,-8.1,9,1.5
1960,2,20,12,-3.7,34,1.8
1960,3,28,12.8,-1.8,44,1.3
1960,4,15,18.3,2.8,23,-1.7
1960,5,58,19.2,6.4,61,-2.4
1960,6,115,20,8.9,110,-2.8
1960,7,215,18.9,10,92,-2.1
1960,8,129,19.8,10.7,100,-2
1960,9,120,18.2,8.8,83,-0.8
1960,10,15,17.9,4.2,59,-1.4
1960,11,3,14.3,-2.4,35,-1.5
1960,12,1,12.6,-5.6,21,-1.6
1961,1,2,11.2,-5.7,17,-1.9
1961,2,2,11.2,-4.9,11,-2.4
1961,3,46,12.6,-1.1,49,-2.1
1961,4,42,16.9,2.4,44,-2.7
1961,5,90,17.6,6,89,-2.4
1961,6,119,20.1,9,114,-2.9
1961,7,143,20.1,10.1,109,-3.8
1961,8,144,20.4,11.4,105,-3.8
1961,9,116,18.9,9.1,94,-3.2
1961,10,18,18.3,4.7,51,-3.7
1961,11,6,11.9,-2.4,25,-3.9
1961,12,2,8.8,-7.1,7,-3.6
1962,1,12,9.7,-8.1,14,-3
1962,2,18,9.5,-5.6,23,-2.5
1962,3,31,12.9,-2.2,35,-2.7
1962,4,80,16.5,2.6,80,-2.6
1962,5,107,16.8,5.1,103,-1.9
1962,6,285,18.6,8.7,97,3.3
1962,7,163,20,10.6,106,3.8
1962,8,178,18.5,10.7,87,4.8
1962,9,114,18.8,8.9,88,5
1962,10,29,17.5,3.4,65,4.2
1962,11,1,14.9,-2.3,34,3.5
1962,12,3,11,-5.3,21,3.1
1963,1,10,9.6,-8.5,13,3
1963,2,7,10.9,-5.3,22,2.5
1963,3,42,11.9,-1.7,50,2.3
1963,4,72,14.5,1.5,74,1.9
1963,5,116,16.6,4.9,106,2.4
1963,6,149,18.5,8.4,98,2.5
1963,7,175,19.3,10.4,95,2.5
1963,8,184,19.1,10.8,91,3.6
1963,9,71,19.7,8.8,85,2.7
1963,10,64,16.7,3.7,73,2.9
1963,11,16,11.3,-1.9,40,3
1963,12,1,9.8,-5.9,19,2.8
1964,1,1,10.5,-7.3,16,2.4
1964,2,5,10.3,-5.2,21,2
1964,3,62,13.2,-1.6,67,2.5
1964,4,101,15.1,2.2,97,2.8
1964,5,75,17,4.6,80,2.2
1964,6,98,20,8.4,96,1.1
1964,7,179,18.8,9.8,102,0.6
1964,8,128,19.8,10.2,106,-1.7
1964,9,91,18.8,8.9,87,-1.7
1964,10,32,19,4.9,58,-1.8
1964,11,2,14.4,-1.4,29,-2.1
1964,12,0,11.2,-6.2,15,-2.2
1965,1,0,10.2,-8.3,6,-2.3
1965,2,22,9.1,-6.1,24,-1.7
1965,3,31,10.8,-3.5,36,-1.9
1965,4,54,15.8,1.4,55,-2.2
1965,5,107,17.7,5.7,104,-1.7
1965,6,112,19.4,8.5,107,-2.2
1965,7,182,19.1,9.6,105,-2.4
1965,8,162,18.6,9.6,104,-1.9
1965,9,73,18.6,8,85,-2.3
1965,10,21,15.9,2.8,57,-2.7
1965,11,45,11.1,-2.8,51,-1.4
1965,12,0,11.5,-5.6,20,-1.5
1966,1,11,8.2,-8.5,8,-0.9
1966,2,3,11.9,-4.4,22,-1.1
1966,3,8,14.8,-2.2,17,-2.3
1966,4,32,16.1,1.6,36,-3.1
1966,5,80,19.3,6.2,80,-3.3
1966,6,235,18.3,8.3,113,-1.3
1966,7,160,19.8,10.4,104,-0.7
1966,8,191,19.3,11,96,3.3
1966,9,103,17.8,7.7,94,3.2
1966,10,41,15.5,2.5,67,2.9
1966,11,6,15.7,-1,39,2.6
1966,12,4,11.5,-4.8,26,2.4
1967,1,3,10.4,-6.1,18,1.9
1967,2,6,10.9,-5.3,21,1.4
1967,3,79,10.8,-2.1,76,2.4
1967,4,81,14.4,1.1,82,2.2
1967,5,60,17.2,4.9,62,1.4
1967,6,100,18.6,8.1,97,-1.4
1967,7,139,20.1,9.9,102,-2.4
1967,8,96,20.7,10.5,99,-3.5
1967,9,104,19,8.2,95,-3.6
1967,10,10,16.6,2.1,24,-4.5
1967,11,11,10.4,-3,18,-4.9
1967,12,0,10,-5.8,5,-5
1968,1,9,7.9,-7.5,10,-4.3
1968,2,23,9.5,-6.1,25,-3.6
1968,3,35,12.3,-1.3,36,-3.6
1968,4,75,15,0.9,73,-3.4
1968,5,95,17.4,5.2,92,-3
1968,6,162,18.3,8.2,107,-2.4
1968,7,190,18.4,9.9,97,-1.8
1968,8,115,20.3,10.2,111,-2.1
1968,9,78,19.2,9.1,81,-2.1
1968,10,70,15.9,2.7,79,-1.3
1968,11,2,13.3,-2.3,36,-1.2
1968,12,0,10.6,-6.3,20,-1.1
1969,1,10,9.6,-6.7,19,-0.8
1969,2,1,11.9,-5,21,-1.1
1969,3,73,13.5,-1.1,75,0.8
1969,4,42,16,2.1,47,-0.8
1969,5,68,18.4,6,70,-1.4
1969,6,134,19.2,9,109,-1.4
1969,7,192,19.5,10.3,104,-1.3
1969,8,138,19.6,10.1,103,-1.2
1969,9,84,18.8,8.7,85,-1.2
1969,10,30,16.1,3,64,-1.3
1969,11,4,14.4,-1.7,33,-1.3
1969,12,0,11.3,-5.5,20,-1.3
1970,1,13,8.8,-7.4,15,-0.8
1970,2,14,9.6,-5.6,23,-0.6
1970,3,26,13.1,-1.7,37,-1
1970,4,43,16,1.9,47,-1.6
1970,5,63,18.7,6.3,65,-2.2
1970,6,195,19.6,8.9,112,-1
1970,7,192,19,10.3,101,1.6
1970,8,152,19.3,10.4,100,2
1970,9,86,19.1,8.9,87,1.7
1970,10,100,16.6,3.9,85,2.8
1970,11,8,12.7,-1.7,43,2.8
1970,12,0,12,-5.7,28,2.8
1971,1,3,9.5,-6.9,15,2.5
1971,2,6,10.3,-5.6,24,2.2
1971,3,64,12.7,-2,71,2.8
1971,4,64,14.9,2,72,2.3
1971,5,56,16.6,5.3,61,1.4
1971,6,205,18.5,9,102,2.6
1971,7,178,19.3,9.6,108,3
1971,8,129,19.3,9.7,103,2.7
1971,9,60,19.7,8.4,79,1.6
1971,10,64,17.1,4.5,73,1.9
1971,11,38,11.7,-1.5,50,2.8
1971,12,1,10.1,-5.8,22,2.7
1972,1,3,11,-6.2,22,2.4
1972,2,8,10.6,-5,23,2.1
1972,3,56,13.7,-1.2,63,2.3
1972,4,88,14.8,1.2,87,2.4
1972,5,74,18.1,5.7,77,1.9
1972,6,98,19.5,8.3,97,0.6
1972,7,135,20.7,10.6,106,-2.5
1972,8,133,20.2,9.8,119,-3.1
1972,9,104,18.8,7.7,90,-2.9
1972,10,15,18.2,3.3,34,-3.6
1972,11,10,12.7,-2.1,19,-4
1972,12,0,12.2,-5.8,6,-4.4
1973,1,9,11.1,-5.7,13,-4.5
1973,2,29,10.7,-4.1,31,-4
1973,3,25,13.4,-2.6,26,-4.4
1973,4,90,17.3,2.2,88,-4
1973,5,113,17.9,5.9,108,-3.2
1973,6,197,18.7,8.6,102,-1.7
1973,7,156,20.8,9.6,116,-1.7
1973,8,145,20.1,10.2,112,-1.5
1973,9,96,19.3,8.8,95,-1.4
1973,10,76,16.6,4.2,82,1.6
1973,11,27,12.5,-1.9,49,2.3
1973,12,19,10.4,-5.1,34,3.1
1974,1,7,8.8,-7,14,3.1
1974,2,1,12.4,-4.3,30,2.8
1974,3,33,12.8,-1.5,51,2.5
1974,4,59,16.7,2.5,66,1.8
1974,5,84,17.5,5.6,86,1.5
1974,6,118,19.1,8.6,102,0.9
1974,7,256,18.3,9.5,106,1.9
1974,8,124,19.4,10.4,109,1.5
1974,9,79,18.1,8.1,87,1
1974,10,45,19.5,5.9,72,0.8
1974,11,2,15.6,-2.1,37,-0.2
1974,12,1,10.7,-5.8,18,-0.8
1975,1,3,9.3,-6.5,12,-0.9
1975,2,31,10.1,-4.7,36,0.5
1975,3,25,13.5,-1.9,33,-0.6
1975,4,49,16.9,1.8,52,-1.1
1975,5,77,17.7,5.2,77,-1.4
1975,6,126,20.1,9.3,117,-1.8
1975,7,183,18.9,9.8,99,-1.9
1975,8,121,20.3,10.1,104,-2.2
1975,9,137,17.8,8.7,88,-0.9
1975,10,47,19.1,5.2,72,-0.8
1975,11,1,15.3,-2.8,42,-0.8
1975,12,0,11,-7,18,-0.9
1976,1,11,9.2,-7.7,14,0.3
1976,2,11,11.1,-3.9,26,-0.1
1976,3,34,13.8,-1.1,43,-0.4
1976,4,63,16.2,2.1,66,-0.8
1976,5,74,17.1,5.7,75,-1.2
1976,6,172,18.4,8,109,0.5
1976,7,136,19.3,9.1,103,-0.6
1976,8,130,19.6,10,107,-0.9
1976,9,59,19.4,7.5,77,-1.8
1976,10,19,16.9,3,51,-2.3
1976,11,3,16.8,-0.7,26,-2.9
1976,12,0,12.6,-6.1,11,-3.3
1977,1,2,10.4,-7,8,-3.4
1977,2,5,12.6,-4.5,8,-3.9
1977,3,47,14.4,-0.5,47,-3.8
1977,4,146,14,1.7,104,-2.1
1977,5,158,15.4,4.3,108,3.2
1977,6,158,17.7,7.4,101,3.8
1977,7,164,19.7,10.3,105,4.1
1977,8,151,19.8,10.4,103,4.2
1977,9,120,19,8.9,96,4.4
1977,10,80,14.9,3.2,79,4.9
1977,11,25,12.8,-1.3,45,5.3
1977,12,5,9.5,-5,26,5.3
1978,1,5,7.6,-8.3,6,4.9
1978,2,7,9.8,-5.2,29,4.8
1978,3,38,12.2,-2.4,59,4.9
1978,4,74,15.3,1.6,78,4.6
1978,5,123,16.9,6.1,108,5.1
1978,6,162,18.5,8.4,108,5.2
1978,7,184,19.3,9.4,104,5.3
1978,8,165,19.6,10.6,99,5.6
1978,9,110,18.1,8.5,88,5.6
1978,10,45,17.4,4.8,69,5.1
1978,11,22,13.4,-0.6,44,5.2
1978,12,0,11.1,-5.6,24,4.7
1979,1,1,10.3,-6.8,16,4
1979,2,21,9.6,-5.1,30,4
1979,3,41,12.9,-2,53,3.5
1979,4,58,17.1,2.4,63,2.6
1979,5,45,20.2,5.8,48,1.1
1979,6,118,20.3,9,114,-2.4
1979,7,180,19.2,9.7,103,-2.6
1979,8,130,19.7,10.7,107,-2.7
1979,9,99,18.3,7.6,95,-2.6
1979,10,82,16.1,4,81,-1.5
1979,11,8,15.7,-0.1,35,-1.2
1979,12,15,9,-4.5,26,-0.6
1980,1,9,8.8,-7.8,11,1.4
1980,2,11,10.5,-4.6,26,1.4
1980,3,50,12.2,-1.6,58,1.7
1980,4,62,16.9,2.5,67,1.2
1980,5,140,15.9,5.1,108,2.4
1980,6,132,19.3,9.1,108,2.1
1980,7,186,19.8,10.4,109,2.1
1980,8,152,19.8,10.8,97,2.4
1980,9,81,19.4,9.2,88,1.9
1980,10,40,16.2,3.5,67,1.6
1980,11,1,14.6,-2.3,34,1.2
1980,12,1,12.6,-4.8,21,0.9
1981,1,22,7.9,-6.6,18,1.5
