Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.8125 North,96.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,15,-1.1,-13.7,0,0.9
1958,2,13,-3.5,-14.4,0,0.7
1958,3,13,2.1,-11.7,0,-0.5
1958,4,34,6.8,-6.8,10,-1.4
1958,5,119,7.9,-2.7,65,1.3
1958,6,113,14.3,3.3,86,-0.6
1958,7,178,14.8,3.7,78,0.8
1958,8,192,12.7,4.2,63,1.8
1958,9,101,14,2.8,70,1.3
1958,10,82,11,-0.1,58,2.1
1958,11,3,8.8,-8.3,9,1.3
1958,12,5,3.4,-12.4,0,1
1959,1,13,-0.8,-13.8,0,1.2
1959,2,21,-3.8,-14.5,0,1.3
1959,3,19,1.4,-12.1,0,0.9
1959,4,67,5.8,-6.6,6,1.1
1959,5,116,7.8,-3,54,2.5
1959,6,133,12.2,2.2,64,2.6
1959,7,142,14.6,4.2,77,1.7
1959,8,121,14.6,3.8,78,0.9
1959,9,100,12.5,0.8,71,0.6
1959,10,99,9.2,-1.5,56,2
1959,11,11,6,-8.2,3,1.8
1959,12,8,3.7,-12.4,0,1.8
1960,1,1,-1,-16.6,0,1.4
1960,2,26,0.4,-13.7,0,1.7
1960,3,8,2.3,-11.5,0,0.8
1960,4,29,6.2,-5.8,13,-1.7
1960,5,66,9.9,-2.2,73,-1.8
1960,6,126,12.5,2.9,75,-1.8
1960,7,196,13.1,3.7,71,-0.6
1960,8,157,14,4.1,76,0.1
1960,9,119,12.6,3.2,65,1.2
1960,10,53,10,-0.9,56,1.1
1960,11,12,6,-7.8,4,1
1960,12,8,3.7,-12.8,0,1.1
1961,1,15,0.3,-13.6,0,1.4
1961,2,13,-1.5,-13.8,0,1.2
1961,3,54,-0.1,-10.9,0,2.1
1961,4,39,6.3,-6.9,7,1.3
1961,5,140,7.3,-2.4,59,3.1
1961,6,78,14.6,2.7,94,1.2
1961,7,163,14,3.9,74,0.6
