Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.7708 North,94.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,25,18.9,6.8,40,0.1
1958,2,48,17.8,7.7,52,0.2
1958,3,23,23.7,11.1,59,-1.1
1958,4,128,25.6,14.7,109,-1.6
1958,5,472,25.6,17.2,105,1.1
1958,6,341,29.4,20.8,111,-0.4
1958,7,521,29,20.3,117,1.1
1958,8,539,26.7,19.9,84,1.8
1958,9,302,28,19.7,93,1.5
1958,10,210,26.2,16.4,79,2.7
1958,11,4,25,10.2,42,2
1958,12,8,21.2,7.3,32,1.7
1959,1,33,18.5,6.6,43,1.9
1959,2,50,17.3,6.9,51,2
1959,3,76,22.7,10.4,79,1.9
1959,4,156,25.2,14.7,101,1.8
1959,5,488,25.3,16.9,99,3.3
1959,6,488,27.2,19.9,93,3.7
1959,7,331,28.5,20.6,118,2
1959,8,271,28.6,20.1,112,0.8
1959,9,308,26.7,18.5,93,0.6
1959,10,210,23.8,15.9,79,2
1959,11,21,23.3,10.2,47,1.7
1959,12,9,21.9,7,37,1.5
1960,1,5,18.6,4.7,34,0.8
1960,2,55,20.9,9.1,58,0.9
1960,3,26,22.8,10.9,57,-1.6
1960,4,63,26.6,15.2,81,-3.1
1960,5,220,27.9,18.3,120,-3.7
1960,6,389,28.1,20.3,111,-3.9
1960,7,537,27.2,19.9,101,-2.6
1960,8,406,28.1,20.6,115,-2.5
1960,9,331,26.5,19.7,91,-2.1
1960,10,34,25.6,16.1,70,-3
1960,11,12,23.2,10.6,44,-3.3
1960,12,11,21.9,7.1,35,-3.3
1961,1,18,19.9,7.2,34,-3.3
1961,2,23,19,7.8,37,-3.6
1961,3,137,21.9,11.1,85,-2.1
1961,4,144,25.5,14.6,111,-2.1
1961,5,347,25.5,17.9,114,-1.4
1961,6,269,28.7,20.1,125,-2.3
1961,7,393,28.5,20.1,119,-2.7
1961,8,375,28.3,21.2,110,-2.8
1961,9,291,27.4,19.6,107,-2.9
1961,10,129,25.8,16.5,91,-2.5
1961,11,27,21,10,52,-2.2
1961,12,2,17.5,5.2,32,-2.2
1962,1,30,17.6,4.4,44,-1.7
1962,2,62,18,7,58,-1
1962,3,62,22.3,10.1,76,-1.1
1962,4,108,25.2,14.7,106,-1.7
1962,5,409,25.3,17.4,112,-0.8
1962,6,567,27.1,20.2,95,1.9
1962,7,334,28.3,20.8,120,-1.2
1962,8,634,26.3,20.5,90,1.9
1962,9,261,26.8,19.8,102,1.1
1962,10,60,25.3,15,79,-1.3
1962,11,12,23.5,10,45,-1.6
1962,12,8,20,7,33,-1.7
1963,1,19,18.2,4,37,-1.7
1963,2,26,19.2,7.4,41,-2
1963,3,47,22,10.7,63,-2.5
1963,4,144,23.4,13.8,105,-2.7
1963,5,262,25.7,16.8,115,-2.8
1963,6,383,27.2,19.8,109,-2.7
1963,7,492,27.4,20.6,108,-2
1963,8,454,26.8,20.5,97,-1.5
1963,9,177,28,19.6,105,-2.9
