Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.3542 North,92.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,15.5,1.5,35,0.3
1958,2,40,14.9,2.8,46,0.9
1958,3,18,19.7,5.8,48,-0.9
1958,4,126,21.8,9.6,108,0.5
1958,5,138,22.4,12.1,113,0.7
1958,6,124,26.4,16.5,119,-1.1
1958,7,264,26.4,17.6,113,-1.9
1958,8,311,23.8,16.3,90,1.3
1958,9,114,25.1,15.7,91,0.7
1958,10,62,23.6,11.6,73,-0.1
1958,11,2,21.2,4.9,39,-0.9
1958,12,2,16.8,2.2,27,-0.9
1959,1,27,15,1.3,38,0.6
1959,2,14,14.6,1.8,31,-0.1
1959,3,71,18.9,5.5,76,0.9
1959,4,102,22,9.7,100,1.1
1959,5,179,22,11.8,107,2
1959,6,241,24.4,15.8,96,2.6
1959,7,190,25.8,17.5,114,1.9
1959,8,129,25.2,15.9,114,-1.8
1959,9,154,23.9,14.3,88,-1.2
1959,10,156,20.7,11.6,72,1.9
1959,11,3,20,5.2,40,1.4
1959,12,1,17.8,1.8,30,1.2
1960,1,4,14.8,-0.5,32,0.9
1960,2,35,17.6,4,46,1.2
1960,3,29,18.8,5.5,53,-0.7
1960,4,21,23.6,9.8,34,-2.1
1960,5,85,23.9,12.8,89,-2.9
1960,6,202,25.5,16,120,-3.3
1960,7,292,24.6,16.9,101,-3
1960,8,205,24.6,16.4,108,-3
1960,9,178,23.6,15.4,89,-1.9
1960,10,25,22.7,10.9,65,-2.6
1960,11,6,19.7,5,39,-2.8
1960,12,1,17.9,1.7,27,-2.9
1961,1,3,16.6,1.6,24,-3.1
1961,2,5,16.2,2.4,22,-3.4
1961,3,65,18.4,6.1,68,-3
1961,4,52,22,9.3,58,-3.4
1961,5,139,22.3,12.4,115,-3.1
1961,6,191,25.5,16.1,125,-3.5
1961,7,198,25.9,17.2,122,-4.6
1961,8,233,25.1,17.1,112,-4.3
1961,9,171,24.3,15.7,102,-3.5
1961,10,38,22.9,11.5,71,-3.8
1961,11,10,17.3,4.9,42,-3.7
1961,12,1,14.2,0.2,26,-3.6
1962,1,20,14.7,-0.7,35,-3.1
1962,2,35,14.9,1.9,43,-2.4
1962,3,38,18.9,5.1,55,-2.7
1962,4,84,21.8,9.6,89,-2.7
1962,5,143,21.7,11.7,115,-2.3
1962,6,422,24.2,15.7,101,2.5
1962,7,226,25.8,17.6,119,2.2
1962,8,288,23.2,16.4,93,3
1962,9,149,24.2,15.6,97,2.7
1962,10,50,22.3,10.3,74,2
1962,11,2,20.1,5,38,1.4
1962,12,2,16.4,2,27,1
1963,1,13,14.9,-0.9,34,0.8
1963,2,13,16.3,2.3,30,-1.2
1963,3,55,18.1,5.6,64,-1.2
1963,4,72,19.8,8.4,78,-1.5
1963,5,164,21.4,11.4,109,-0.7
1963,6,226,24.1,15.6,106,0.1
1963,7,259,25.1,17.4,107,1.1
1963,8,297,23.8,16.4,97,2
1963,9,106,25.1,15.4,102,0.9
1963,10,99,21.4,10.4,83,1.3
1963,11,21,17,5.4,48,1.4
1963,12,1,15.5,1.7,32,1.4
1964,1,3,15.5,-0.2,32,1.1
1964,2,11,15.5,2.1,33,0.7
1964,3,85,18.8,5.4,86,1.3
1964,4,108,20.1,8.9,103,1.6
1964,5,123,21.9,11.1,119,1.3
1964,6,180,25.2,15.3,112,-0.6
1964,7,246,24.6,16.7,114,-1.3
1964,8,202,24.6,15.9,116,-1.6
1964,9,139,24.1,15.4,96,-1.5
1964,10,64,23.4,11.6,77,-1.6
1964,11,4,19.8,6,43,-1.8
1964,12,1,16.4,1.1,30,-1.8
1965,1,0,15.3,-0.9,25,-2.1
1965,2,37,14.5,1.4,45,-1.5
1965,3,44,16.7,3.7,61,-1.8
1965,4,68,20.9,8.4,76,-2
1965,5,162,22.4,12.1,117,-1.4
1965,6,188,24.9,15.6,112,-1.7
1965,7,262,25,16.5,116,-1.7
1965,8,269,23.3,15.3,111,-1
1965,9,120,24,14.5,101,-1.5
1965,10,34,20.8,9.8,68,-2
1965,11,70,16.6,4.3,65,1.4
1965,12,1,16.9,1.8,30,1.4
1966,1,14,14.3,-0.5,35,1.5
1966,2,5,17.5,3,30,0.9
1966,3,10,20.6,4.9,36,-1.7
1966,4,35,21.4,8.5,45,-2.7
1966,5,127,24,12.6,122,-2.8
1966,6,383,23.6,15.2,120,-1.1
1966,7,231,25.6,17.3,113,-0.9
1966,8,325,23.8,16.5,102,2.6
1966,9,154,23.3,14.5,101,2.4
1966,10,66,20.3,9.5,77,2.1
1966,11,13,20.9,6.6,43,1.8
1966,12,2,16.6,2.6,31,1.6
1967,1,8,15.6,1.3,31,1.3
1967,2,12,16.2,2.4,33,0.9
1967,3,101,16.6,5.2,90,2
1967,4,88,19.7,8.1,93,1.8
1967,5,106,22,11.4,105,1.2
1967,6,170,24.2,15.2,113,-1.1
1967,7,214,25.8,16.8,112,-2.3
1967,8,147,25.5,16.3,124,-3.3
1967,9,151,24.2,14.8,100,-2.9
1967,10,14,21.5,9,64,-3.6
1967,11,15,16,4.5,41,-3.5
1967,12,0,15.5,1.8,23,-3.6
1968,1,17,13.5,0.1,31,-3.2
1968,2,50,14.6,1.2,52,-2.1
1968,3,44,18.2,5.8,58,-2.2
1968,4,97,20.3,7.9,96,-1.9
1968,5,153,22,11.5,112,-1.4
1968,6,250,23.9,15.3,112,-0.9
1968,7,264,24.2,16.9,108,1.5
1968,8,191,25.1,16,119,0.7
1968,9,123,24.4,15.7,90,-0.3
1968,10,77,20.7,9.6,84,0
1968,11,3,18.8,5.1,40,-1
1968,12,0,16,1.1,30,-1
1969,1,18,14.8,0.5,36,-0.7
1969,2,1,17,2.3,26,-1.2
1969,3,102,19.3,6.2,98,1
1969,4,47,21.2,9,65,-0.8
1969,5,98,23.4,12.5,100,-1.5
1969,6,218,24.6,16,113,-1.7
1969,7,285,25.3,17.4,113,-1.6
1969,8,241,24.2,15.7,108,-1.2
1969,9,119,24.2,15.4,95,-1.6
1969,10,48,21,10,73,-1.8
1969,11,7,19.6,5.6,38,-1.9
1969,12,0,16.5,1.9,27,-1.9
1970,1,24,13.8,-0.1,37,-1.3
1970,2,23,15,1.9,38,-1.2
1970,3,41,18.8,5.5,58,-1.4
1970,4,53,21.2,8.8,65,-2
1970,5,104,23.1,12.5,103,-2.4
1970,6,337,24.9,15.9,119,-1.3
1970,7,288,24.7,17.2,111,1.7
1970,8,273,24.1,16.2,107,2.1
1970,9,160,24.3,15.4,97,2.2
1970,10,161,21.2,10.7,87,3.5
1970,11,12,18.1,5.9,45,3.1
1970,12,0,16.9,1.6,31,2.7
1971,1,8,14.5,0.5,29,2.4
1971,2,11,15.4,1.7,33,1.9
1971,3,86,18.6,5.3,89,2.4
1971,4,72,20.2,8.9,82,1.9
1971,5,78,21.6,12.1,85,0.8
1971,6,299,24.1,16.1,108,1.3
1971,7,245,25.1,16.6,118,1.4
1971,8,210,24,15.4,108,1
1971,9,90,24.9,14.9,92,-1.4
1971,10,103,21.8,11.1,83,-0.7
1971,11,63,17,5.7,63,1.9
1971,12,1,15.3,1.5,36,2
1972,1,6,16,1.1,34,2
1972,2,16,15.8,2.3,37,1.8
1972,3,70,19.3,5.8,79,2.2
1972,4,99,19.9,8,97,2.4
1972,5,112,22.8,12.1,108,1.9
1972,6,162,25,15.4,128,0.9
1972,7,203,26.4,17.5,117,-2.3
1972,8,212,24.8,15.5,128,-2.7
1972,9,139,24.1,14.4,96,-2.5
1972,10,26,22.9,10.2,67,-3.1
1972,11,11,18.3,5.3,42,-3.2
1972,12,0,17.4,1.5,25,-3.3
1973,1,15,16.3,1.4,31,-3
1973,2,55,16.1,3.3,57,-2
1973,3,42,19.1,4.8,59,-2.2
1973,4,101,22.4,9.2,102,-2.1
1973,5,187,22.5,12.3,118,-1
1973,6,296,24.2,15.7,108,2
1973,7,218,26.5,16.7,127,1.5
1973,8,232,24.9,16,120,1.3
1973,9,148,24.5,15.4,103,1.1
1973,10,87,21.5,11,89,1.1
1973,11,45,18,5.5,59,1.9
1973,12,20,15.6,2.4,40,2.6
1974,1,12,14,0.3,36,2.7
1974,2,3,17.6,3,34,2.1
1974,3,36,18.5,5.6,59,1.5
1974,4,71,21.6,9.3,82,0.9
1974,5,138,22.2,12,116,0.9
1974,6,185,24.6,15.6,108,-1.3
1974,7,361,23.9,16.6,119,1
1974,8,216,24.2,16,117,-0.3
1974,9,127,23.4,14.7,100,-0.7
1974,10,94,23.9,12.3,92,0.2
1974,11,4,20.8,5.4,47,-0.7
1974,12,1,15.8,1.3,30,-0.7
1975,1,5,14.4,0.7,28,-0.8
1975,2,61,15.5,2.5,60,1.1
1975,3,32,19.4,5.3,57,-0.5
1975,4,70,22.1,8.7,78,-0.8
1975,5,116,22.4,11.6,111,-1
1975,6,226,25.6,16.3,123,-1.3
1975,7,274,24.5,16.8,107,-1.2
1975,8,223,25.1,15.9,109,-1.2
1975,9,214,23.2,15.2,95,1.4
1975,10,73,23.5,11.7,82,1.2
1975,11,5,20.5,4.5,49,0.7
1975,12,1,16.3,0.2,29,-0.2
1976,1,22,14.4,-0.1,37,0.3
1976,2,19,16.4,3.4,35,-0.1
1976,3,50,19.5,6,66,-0.7
1976,4,64,21.3,8.9,73,-1.2
1976,5,113,21.9,12,109,-1.6
1976,6,289,23.8,15,115,-1.1
1976,7,204,25.2,16.2,113,-1.2
1976,8,207,24.4,15.8,116,-1.5
1976,9,84,24.9,14.2,94,-2.5
1976,10,34,21.7,9.8,66,-3
1976,11,6,21.6,6.4,40,-3.3
1976,12,0,17.4,1.2,26,-3.5
1977,1,5,15.2,0.1,23,-3.6
1977,2,12,17.6,2.7,26,-3.8
1977,3,65,20.1,6.6,72,-3.6
1977,4,176,19,8.4,112,-2
1977,5,213,20.3,10.8,113,2.8
1977,6,235,23.3,14.5,107,3.6
1977,7,231,25.5,17.3,117,3.3
1977,8,247,24.5,16,109,3.2
1977,9,170,24.4,15.6,102,3.2
1977,10,121,19.8,10,84,3.7
1977,11,36,18,5.9,50,4.1
1977,12,6,14.8,2.3,33,4
1978,1,5,12.9,-0.8,32,3.7
1978,2,10,15.2,2.2,35,3.1
1978,3,44,18.2,4.9,64,2.7
1978,4,85,20.6,8.5,87,2.4
1978,5,161,21.7,12.5,111,2.7
1978,6,238,24.1,15.6,116,2.7
1978,7,255,25.2,16.4,113,2.9
1978,8,261,24.5,16.5,106,3
1978,9,154,23.5,15.1,94,3
1978,10,76,22.2,11.6,81,2.7
1978,11,29,18.6,6.4,49,2.8
1978,12,0,16.4,1.7,32,2.6
1979,1,1,15.3,0.6,29,2.2
1979,2,26,15.2,2.3,42,2
1979,3,55,18.8,5.3,71,1.7
1979,4,65,22.4,9.4,79,0.9
1979,5,70,24.7,12.1,76,-2
1979,6,223,25.9,16.2,131,-2.4
1979,7,248,25,16.8,114,-2.8
1979,8,204,24.5,16.5,116,-3
1979,9,197,23.6,14.3,101,-1.7
1979,10,123,20.8,10.6,87,-0.7
1979,11,8,20.8,7,41,-0.8
1979,12,14,14.5,3,37,1.7
1980,1,19,14.2,-0.2,38,2
1980,2,23,15.8,2.7,40,2
1980,3,56,18.1,5.7,69,2.1
1980,4,72,21.9,9.2,83,1.6
1980,5,178,20.8,11.6,112,2.3
1980,6,190,25,16.4,113,2
1980,7,265,25.7,17.5,118,2.1
1980,8,261,24.4,16.5,102,2.4
1980,9,119,24.7,15.8,99,1.6
1980,10,65,21,10.3,78,1.3
1980,11,1,19.9,5.1,40,0.8
1980,12,0,17.7,2.7,28,-1.1
1981,1,34,13.5,1.1,43,0.7
1981,2,17,17.1,3,33,-0.1
1981,3,52,17.7,5.6,64,0.5
1981,4,162,19.6,8.4,104,1.7
1981,5,160,21.9,11.7,117,2.3
1981,6,188,25.5,16.3,117,2.1
1981,7,308,25,17.4,113,3
1981,8,198,25.4,16.8,113,2.3
1981,9,105,24.8,15,104,1.1
1981,10,9,24.3,10.2,59,-2.3
1981,11,0,19.9,5.4,36,-2.8
1981,12,31,15.2,1.1,40,-1.9
1982,1,1,15.7,0.9,22,-2.2
1982,2,18,14.6,2.5,30,-2.2
1982,3,57,18.2,5.3,64,-2.1
1982,4,123,19.9,8.5,91,-1.2
1982,5,86,23,11.4,96,-2
1982,6,199,24.8,16.1,112,-2.3
1982,7,153,25.9,17.3,109,-3.7
1982,8,250,26,16.1,117,-3.7
1982,9,85,25.4,14.7,94,-4.4
1982,10,34,21.8,9.8,69,-4.7
1982,11,32,17.9,5.3,48,-4
1982,12,3,16.1,1.4,26,-3.8
1983,1,12,12.7,-0.6,29,-3.4
1983,2,34,13.6,1,42,-2.7
1983,3,65,17.8,5.1,70,-2.1
1983,4,105,19.3,7.7,102,-1.6
1983,5,136,21.2,11.4,113,-1.3
1983,6,127,26,15.8,118,-2.3
1983,7,204,27,17.3,119,-3.7
1983,8,230,25.7,16,108,-3.8
1983,9,174,24.3,15.4,93,-2.8
1983,10,97,22.7,11.1,94,-2.2
1983,11,1,19.4,4.8,45,-2.4
1983,12,5,16.1,0.6,30,-2.1
1984,1,19,14.5,0,34,-1.5
