Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.1458 North,94.7292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,37,19,7.8,46,0.2
1958,2,50,18.2,8.8,52,0
1958,3,33,24.1,12,66,-1
1958,4,124,26.5,15.7,111,-1.9
1958,5,460,26.3,18.3,105,-0.7
1958,6,385,30.4,21.8,113,-1
1958,7,521,30.3,21.4,121,0.4
1958,8,499,27.8,21.3,86,1.6
1958,9,308,29.3,20.7,97,1.2
1958,10,206,27.3,17.6,79,2.5
1958,11,5,26.2,10.8,43,1.8
1958,12,13,21.9,7.8,35,1.4
1959,1,42,19.1,7.5,47,1.6
1959,2,63,17.6,8,53,1.7
1959,3,80,23.4,11,81,1.6
1959,4,168,26,15.9,100,1.4
1959,5,445,26.2,18,96,2.8
1959,6,514,28.1,20.8,94,3.2
1959,7,349,29.8,21.9,120,1.9
1959,8,281,29.8,21.3,114,0.9
1959,9,310,28,19.2,98,0.7
1959,10,205,25.1,16.9,79,2
1959,11,22,24.1,11.2,48,1.7
1959,12,17,22.5,7.8,41,1.5
1960,1,7,18.8,5.4,36,0.7
1960,2,65,21.2,9.8,61,0.7
1960,3,27,23.6,11.9,60,-1.6
1960,4,71,27,16.2,87,-3.3
1960,5,220,28.6,19,120,-3.9
1960,6,413,28.9,21.1,111,-4.1
1960,7,552,28.4,21,104,-2.8
1960,8,390,29.2,21.7,118,-2.7
1960,9,332,27.6,20.8,92,-2.3
1960,10,50,26.4,17.4,75,-2.9
1960,11,13,23.9,11.5,45,-3.1
1960,12,22,22.4,7.7,42,-2.9
