Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.3125 North,91.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,19,25,12.4,39,0.2
1958,2,24,25.4,13.5,42,0.7
1958,3,22,30.9,16.8,37,-0.8
1958,4,199,32.1,21.2,125,0.5
1958,5,350,31.1,23.2,129,0.6
1958,6,198,32.6,25,118,-2.2
1958,7,358,32.6,26,119,-2.5
1958,8,364,31.1,26,90,-1
1958,9,173,32.1,25.4,99,-1.2
1958,10,82,31.5,23,89,-1.5
1958,11,7,28.5,17.4,50,-1.5
1958,12,2,25,13.4,30,-1.5
1959,1,45,23.6,11.8,52,1
1959,2,5,24.9,12.5,32,0.9
1959,3,85,29.8,16.6,89,1.2
1959,4,183,32,21.3,129,1.4
1959,5,510,30.9,22.8,127,2.4
1959,6,448,30.9,24.7,103,2.3
1959,7,298,31.8,25.7,123,0.9
1959,8,222,31.9,25.6,116,-1.4
1959,9,178,30.9,24.4,96,-1.4
1959,10,262,28.7,22.4,89,1.9
1959,11,1,27.2,17.1,50,1.3
1959,12,0,25.8,12.8,32,1
1960,1,1,24.2,10.6,31,-0.4
1960,2,4,28.3,14.7,25,-1.3
1960,3,66,29.2,16.2,73,-1.2
1960,4,45,34.2,21.3,49,-2.5
1960,5,317,32.5,23.7,140,-2.8
1960,6,411,31.8,24.7,126,-2.9
1960,7,425,30.8,25.5,101,-2.3
1960,8,188,32,26.2,113,-2.9
1960,9,266,30.8,25,97,-1.6
1960,10,64,30.8,22.1,89,-2.1
1960,11,8,27.1,17,48,-2.2
1960,12,1,25.8,12.6,29,-2.4
1961,1,6,25.2,12.3,27,-2.5
1961,2,10,25.4,12.8,27,-2.5
1961,3,64,29.8,17.9,70,-2.4
1961,4,93,32.3,21.1,94,-2.9
1961,5,305,31.1,23.4,135,-3.2
1961,6,413,31,24.5,138,-3.4
1961,7,286,32.2,25.7,133,-4.4
1961,8,260,32.1,26.4,120,-4.1
1961,9,154,31.7,25.3,116,-4.4
1961,10,119,30.8,22.5,103,-4
1961,11,10,25.5,16.6,53,-3.7
1961,12,1,23.2,10.9,32,-3.4
1962,1,22,23.6,9.9,41,-2.7
1962,2,15,25.7,12.9,36,-2.1
1962,3,17,30.8,16,36,-2.7
1962,4,88,32.3,21.1,94,-3.2
1962,5,354,30.8,22.5,135,-3.2
1962,6,593,30.9,24.3,109,-1.5
1962,7,310,32.3,25.9,129,-2.4
1962,8,265,30.8,26,98,-2
1962,9,86,32,25.1,100,-3.2
1962,10,72,30.5,21.3,91,-3.5
1962,11,1,27.4,16.7,42,-3.8
1962,12,0,24.9,12.6,26,-3.9
1963,1,1,24.4,10,24,-4.2
1963,2,2,27.7,13,13,-4.6
1963,3,82,29.7,16.8,85,-4.1
1963,4,135,30.4,19.9,129,-3.9
1963,5,360,29.8,22.2,129,-3.8
1963,6,460,30.6,24.5,109,-3.2
1963,7,435,31.4,25.8,108,-2.6
1963,8,276,31.4,26.1,103,-2.1
1963,9,190,32.1,25.1,110,-2
1963,10,107,29.7,21.9,102,-2.1
1963,11,10,25.9,17.5,54,-1.9
1963,12,2,24.5,13.2,36,-1.8
1964,1,6,23.7,10.6,35,-1.9
1964,2,11,26.2,12.8,34,-2
1964,3,82,30.5,17.5,90,-1.7
1964,4,192,30.3,20.8,137,-1.2
1964,5,417,30.3,22.1,139,-0.7
1964,6,472,31.1,24.3,110,0.3
1964,7,395,30.7,25.3,114,-0.1
1964,8,195,32,25.8,127,-1
1964,9,174,31.5,25.2,106,-1.2
1964,10,179,31,23.3,105,0.7
1964,11,6,27.5,18,58,-0.3
1964,12,0,25.2,12.3,37,-0.5
1965,1,0,24.7,10.4,26,-0.9
1965,2,22,25.6,12,38,-0.6
1965,3,80,28.6,14.9,86,0.2
1965,4,121,31,20.3,118,-0.4
1965,5,379,31.5,23,133,-0.5
1965,6,422,30.8,24.2,119,-0.7
1965,7,360,31.1,25.1,120,-1.1
1965,8,331,30.4,24.8,115,0.7
1965,9,157,31.1,24.4,105,-0.6
1965,10,47,29.6,21.2,79,-1.3
1965,11,32,25.9,16.5,55,-0.9
1965,12,1,25.6,13.1,29,-1
1966,1,26,23.2,10.8,40,0.4
1966,2,3,27.8,14.1,28,-0.2
1966,3,20,31.2,16.1,32,-1.1
1966,4,66,32.5,20.4,70,-2.1
1966,5,292,32.3,23.5,140,-2.6
1966,6,594,30.2,24.1,117,-1.2
1966,7,348,31.8,25.7,118,-1.7
1966,8,355,31.2,26.2,111,-0.5
1966,9,159,31,24.4,116,-1.2
1966,10,74,28.9,20.6,88,-1.6
1966,11,24,27.9,18.5,51,-1.1
1966,12,6,24.8,13.4,33,-0.9
1967,1,18,24.3,11.9,41,-0.6
1967,2,6,26.9,13.5,34,0
1967,3,148,27.9,16.3,115,2
1967,4,142,30.3,19.2,132,1.8
1967,5,351,30.8,22.4,135,1.6
1967,6,290,30.8,24.1,127,-1.5
1967,7,408,31.6,25.3,119,-1.4
1967,8,171,32.1,25.6,133,-2.4
1967,9,223,31.1,24.4,110,-1.9
1967,10,53,29.4,20.7,84,-2.5
1967,11,11,24.8,15.8,47,-2.5
1967,12,0,24.6,12.8,27,-2.7
1968,1,16,22.6,11.3,33,-2.4
1968,2,4,24.8,11.7,23,-2.5
1968,3,49,29.4,17.1,57,-2.7
1968,4,189,30.7,19.7,132,-2.1
1968,5,382,30.6,22.4,129,-1.7
1968,6,518,30.1,23.9,115,-0.8
1968,7,406,30.7,25.5,113,-0.8
1968,8,236,31.9,25.7,123,-1.1
1968,9,152,31.6,25.4,104,-1.6
1968,10,129,29.4,21.2,98,-1.3
1968,11,4,26.2,17.4,48,-1.4
1968,12,1,24.3,12.4,32,-1.4
1969,1,21,23.6,10.8,40,-1
1969,2,0,27,12.8,28,-1.1
1969,3,98,30.9,17.6,100,0.5
1969,4,113,31.8,20.3,114,-0.5
1969,5,260,32,23.4,133,-1.2
1969,6,460,30.9,24.6,122,-1.3
1969,7,470,31.7,25.7,116,-0.6
1969,8,284,31,25.4,111,0.2
1969,9,167,31.4,25,110,-0.5
1969,10,64,29.6,21.3,87,-1.1
1969,11,18,26.9,17.9,49,-1
1969,12,0,25,13.1,30,-1.1
1970,1,38,22.8,10.9,47,0.7
1970,2,14,25.5,13.2,36,0.9
1970,3,61,29.7,16.7,73,0.7
1970,4,79,32,20.7,84,-0.8
1970,5,207,31.7,23.5,137,-1.7
1970,6,752,31.2,24.7,126,1.8
1970,7,493,31,25.6,110,2.4
1970,8,371,31.5,25.9,119,3.2
1970,9,276,31.3,25.2,105,3.9
1970,10,183,29.7,21.8,99,4.3
1970,11,15,26.2,17.5,54,3.9
1970,12,0,25.4,12.3,33,3.4
1971,1,16,23.3,11.4,37,3.2
1971,2,3,25.9,12.2,32,2.8
1971,3,61,29.8,16,73,2.4
1971,4,114,29.9,20.6,111,1.8
1971,5,148,30.2,22.8,135,-1.6
1971,6,420,30.4,24.7,118,-3
1971,7,322,30.9,24.9,124,-3.6
1971,8,256,30.9,24.8,111,-3.3
1971,9,157,31.3,24.5,107,-3.5
1971,10,147,29.8,22.4,93,-2.8
1971,11,60,25.4,17.2,68,-1.1
1971,12,2,24.3,12.4,41,-0.6
1972,1,8,24.9,12,38,1.9
1972,2,19,25,12.6,41,2.2
1972,3,91,30.5,17,97,2.5
1972,4,136,31,19.5,131,2.1
1972,5,261,31.6,23.3,137,1.2
1972,6,390,31.3,23.9,133,-1.5
1972,7,321,32.1,25.5,120,-2.3
1972,8,223,31.7,25.1,137,-2.7
1972,9,147,31.4,24.2,106,-3.1
1972,10,65,30.9,21.3,90,-3.5
1972,11,10,26.5,17.2,49,-3.4
1972,12,0,25,12.8,28,-3.4
1973,1,12,24.7,12.2,33,-3.2
1973,2,37,26.7,14.3,49,-2.4
