Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.5208 North,90.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,18,24.7,12.7,41,0.2
1958,2,18,25.2,13.7,41,0.5
1958,3,29,30.6,16.8,52,-0.4
1958,4,229,31.8,21.3,126,0.2
1958,5,461,31.3,23.5,129,0
1958,6,333,32.5,25,117,-1.9
1958,7,608,32.4,25.9,117,-2.2
1958,8,616,30.8,26,90,1.5
1958,9,262,32,25.5,99,0.8
1958,10,87,31.4,22.8,91,-1.2
1958,11,7,28.7,16.9,51,-1.2
1958,12,2,25,13.7,32,-1.3
1959,1,41,23.6,12.1,51,1
1959,2,3,24.8,12.8,34,0.8
1959,3,80,29.7,16.7,87,1.1
1959,4,213,31.9,21.5,128,1.4
1959,5,677,31,23.1,126,2
1959,6,763,30.9,24.6,102,1.7
1959,7,525,31.6,25.7,121,0.7
1959,8,379,31.7,25.6,115,-1.2
1959,9,289,30.8,24.2,95,-1.2
1959,10,348,28.6,22.5,87,2.4
1959,11,1,27.3,16.9,50,1.8
1959,12,0,25.7,13.2,34,1.3
1960,1,1,23.9,10.8,33,0.7
1960,2,3,27.9,14.8,32,-1.4
1960,3,81,28.9,16.2,86,-1
1960,4,50,33.9,21.3,61,-2.7
1960,5,461,32.7,24,138,-2.8
1960,6,644,31.7,24.7,125,-3.2
1960,7,764,30.6,25.4,99,-2.6
1960,8,333,31.6,26.1,114,-3
1960,9,431,30.5,25.1,96,-1.3
1960,10,73,30.6,22,91,-2.1
1960,11,5,27.2,16.6,49,-2.2
1960,12,1,25.9,13,32,-2.4
1961,1,6,25,12.6,31,-2.5
1961,2,11,25.3,13.1,33,-2.4
1961,3,60,29.7,17.8,72,-2.5
1961,4,111,32.2,21.1,112,-3.2
1961,5,428,31.3,23.6,134,-3.4
1961,6,748,31,24.5,135,-3.3
1961,7,504,32,25.5,132,-3.9
1961,8,413,31.8,26.4,120,-3.7
1961,9,243,31.5,25.2,115,-4.2
1961,10,159,30.7,22.3,103,-3.7
1961,11,8,25.5,16.3,52,-3.4
1961,12,2,22.9,11.3,34,-3.2
1962,1,20,23.7,10.3,41,-2.5
1962,2,12,25.4,13,37,-2.1
1962,3,24,30.5,15.9,52,-2.7
1962,4,112,32,21.1,113,-3.3
1962,5,544,30.7,22.6,132,-3.1
1962,6,1028,30.7,24.3,109,-1.8
1962,7,538,32.1,25.7,128,-2.4
1962,8,459,30.5,25.9,97,-1.8
1962,9,175,31.7,25,109,-3.2
1962,10,79,30.4,21.1,94,-3.8
1962,11,0,27.6,16.3,46,-3.8
1962,12,1,24.8,12.9,31,-3.8
1963,1,1,24.3,10.1,32,-4
1963,2,1,27.6,13,28,-4.4
1963,3,87,29.2,16.7,91,-3.8
1963,4,176,30,20,128,-3.5
1963,5,510,29.9,22.4,125,-3.2
1963,6,846,30.5,24.3,107,-2.6
1963,7,774,31.2,25.7,106,-2
1963,8,438,31,26,103,-1.7
1963,9,309,31.8,25,109,-1.6
1963,10,117,29.6,21.8,101,-1.9
1963,11,10,25.8,17.2,54,-1.7
1963,12,2,24.4,13.3,37,-1.7
1964,1,4,23.8,10.9,36,-1.8
1964,2,9,26,13.1,38,-1.9
1964,3,81,30.4,17.4,91,-1.7
1964,4,225,30.2,21,135,-1.2
1964,5,576,30.4,22.4,137,-0.8
1964,6,797,31,24.3,109,-0.6
1964,7,708,30.5,25.2,113,-0.6
1964,8,319,31.6,25.7,123,-1.4
1964,9,269,31.2,25.2,104,-1.7
1964,10,207,31,23.1,104,-1
1964,11,4,27.6,17.7,57,-1.2
1964,12,0,25.2,12.6,38,-1.4
1965,1,0,24.7,10.4,29,-1.8
1965,2,20,25.6,12,40,-1.4
1965,3,80,28.3,14.8,88,-1.2
1965,4,135,31,20.3,130,-1.6
1965,5,499,31.6,23.2,133,-1.7
1965,6,671,30.8,24.2,121,-2
1965,7,615,30.9,25.1,120,-2.3
1965,8,563,30.1,24.9,115,-1.1
1965,9,242,30.8,24.4,106,-1.8
1965,10,53,29.4,20.9,81,-2.7
1965,11,29,25.8,16.1,56,-1.9
1965,12,1,25.5,13.3,32,-2
1966,1,27,22.9,10.8,42,-1.3
1966,2,3,27.3,14.4,33,-1.4
1966,3,24,31,16.1,45,-2.5
1966,4,86,32.2,20.5,93,-3.5
1966,5,393,32.5,23.8,140,-3.8
1966,6,921,30.3,24,119,-2.9
1966,7,602,31.5,25.5,117,-3.1
1966,8,577,30.9,26.1,109,-1.8
1966,9,236,30.8,24.2,115,-2.5
