Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.7708 North,92.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,23,26.7,12.4,48,0.1
1958,2,76,26.8,13.1,76,1.2
1958,3,32,32,17.1,72,-0.8
1958,4,248,32.6,21.2,135,0.2
1958,5,262,31.8,22.9,127,-0.6
1958,6,241,33.4,24.7,122,-1.3
1958,7,317,33.4,25.3,118,-1.4
1958,8,446,31.5,24.6,101,-0.7
1958,9,238,32.9,24.8,103,-0.9
1958,10,208,32,22.6,102,-0.6
1958,11,8,30,16.5,55,-1
1958,12,7,26.6,13.1,40,-1
1959,1,54,25.1,11.7,62,0.9
1959,2,34,26.2,12.2,55,1
1959,3,181,30.1,16.8,116,1.9
1959,4,226,32.3,21.1,131,1.9
1959,5,541,31.5,22.5,125,3.4
1959,6,467,31.7,24.4,112,3.3
1959,7,285,32.9,25.2,120,2.3
1959,8,334,32,24.7,121,2
1959,9,265,31.5,24.3,93,1.9
1959,10,347,30.2,21.7,88,3.1
1959,11,1,28.8,15.6,55,2.1
1959,12,0,27.3,11.9,39,1.5
1960,1,0,26,10.6,36,0.8
1960,2,4,29.8,14,34,-2
1960,3,86,30.1,16,95,-2.2
1960,4,70,34.3,22,87,-2.8
1960,5,232,33.5,23.6,142,-3
1960,6,580,32.1,24.5,115,-2.6
1960,7,358,31.6,24.9,108,-2.1
1960,8,243,32.8,25.2,116,-2.4
1960,9,335,32.2,24.4,102,-1.4
1960,10,134,32.1,21.9,111,-1.6
1960,11,37,28.8,16.2,67,-1.5
1960,12,1,27.3,12.9,42,-1.4
1961,1,5,27,11.9,39,-1.6
1961,2,11,26.1,12,42,-1.9
1961,3,74,30.4,18.9,88,-2.1
1961,4,107,32.6,21.6,114,-2.4
1961,5,210,32.1,23.1,131,-2.8
1961,6,572,31.6,24.3,125,-2.4
1961,7,224,32.8,25.1,128,-3.4
1961,8,352,32.3,25.1,119,-3.1
1961,9,185,32.4,24.5,113,-3.6
1961,10,137,31.6,22.3,109,-3.6
1961,11,20,28.5,15.4,60,-3.5
1961,12,1,25.4,10.1,40,-3.4
1962,1,36,24.9,9.4,54,-2.6
1962,2,50,27.3,12.9,61,-1.8
1962,3,9,31.9,16.4,60,-2.7
1962,4,124,32.9,21.5,125,-2.8
1962,5,248,32.1,22.4,132,-3
1962,6,550,31.7,23.9,110,-2.5
1962,7,333,33.5,25.4,134,-2.5
1962,8,329,31.6,25.1,107,-2.3
1962,9,97,33.4,24.7,103,-3.7
1962,10,135,31.6,21.5,110,-3.8
1962,11,2,28.7,15.5,55,-4.1
1962,12,0,26.6,11.5,39,-4
1963,1,0,26.1,9.8,37,-4.2
1963,2,5,29.1,13.5,36,-4.5
1963,3,88,31,16.7,96,-4.4
1963,4,127,31.3,19.8,125,-4.3
1963,5,204,30.6,22.1,135,-4.5
1963,6,432,31.3,24.6,110,-4.5
1963,7,365,32.2,25.3,115,-3.8
1963,8,323,32,25.1,105,-3.5
1963,9,261,33.2,24.7,114,-3.3
1963,10,241,30.8,21.7,101,-2.4
1963,11,13,28.9,16.1,60,-2.6
1963,12,1,26.4,12.6,41,-2.7
1964,1,23,24.5,10.4,47,-2.4
1964,2,42,27.4,12.9,60,-1.9
1964,3,99,31.3,18.1,108,-1.9
1964,4,283,30.3,20.5,133,-1.3
1964,5,392,31.7,22.2,136,1
1964,6,480,31.2,23.7,116,1.1
1964,7,329,31.3,24.4,113,1
1964,8,294,32.4,24.8,121,-0.3
1964,9,290,32.5,24.5,107,0.3
1964,10,333,31.2,22.8,110,1.3
1964,11,29,29.5,17.2,69,1
1964,12,0,26.8,12.3,44,0.6
1965,1,1,25.7,11.1,36,-0.5
1965,2,72,27,12.5,74,0.9
1965,3,102,29.8,15.5,108,0.8
1965,4,83,31.3,20.6,101,-0.6
1965,5,229,32.3,22.9,135,-1.1
1965,6,480,31.3,23.9,114,-1.1
1965,7,328,32,24.5,123,-1.2
1965,8,417,31,23.9,117,-0.8
1965,9,237,32.1,24,104,-1
1965,10,97,31.4,21.7,101,-1.5
1965,11,69,29.4,15.7,80,-0.8
1965,12,8,27.1,13.1,47,0.2
1966,1,31,25.6,11.9,54,1.1
1966,2,1,29.2,13.8,43,-0.5
1966,3,26,31,16.6,65,-1.4
1966,4,73,33,20.9,90,-2
1966,5,209,32.9,23.3,148,-2.5
1966,6,719,30.3,23.9,108,-1.7
1966,7,285,32.6,25,117,-2.1
1966,8,436,31.4,24.8,111,-1.4
1966,9,288,32.2,24.3,113,-1.1
1966,10,169,30.4,20.9,112,-1.1
1966,11,29,29.4,17.9,63,-1.2
1966,12,17,25.7,12.9,48,-0.7
1967,1,69,25.1,12.5,70,1.8
1967,2,15,27.4,14.1,50,1.5
1967,3,213,28.4,17,120,2.6
1967,4,148,31.2,19.5,135,2.3
1967,5,345,31.7,22.5,136,2.4
1967,6,313,31.7,23.7,121,1.7
1967,7,364,32.4,25,117,1.8
1967,8,241,32.5,24.7,132,1
1967,9,303,31.6,24.1,107,1.3
1967,10,89,30.9,21.1,100,-0.7
1967,11,16,28.1,14.6,58,-1.2
