Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.4375 North,92.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,19,25,12.1,37,0.3
1958,2,22,25.3,13.3,39,0.9
1958,3,15,31.1,16.6,23,-1
1958,4,166,31.9,20.6,125,0.6
1958,5,298,31.1,23,127,0.9
1958,6,169,33.3,25.2,122,-1.5
1958,7,244,33.3,26,119,-1.6
1958,8,255,31.5,25.6,94,1
1958,9,124,32.5,25.3,99,0.7
1958,10,75,31.4,22.5,85,-0.1
1958,11,5,29.2,16.4,46,-0.5
1958,12,4,25.5,13.2,28,-0.5
1959,1,39,23.8,11.6,47,0.4
1959,2,5,24.9,12.3,28,0.5
1959,3,81,29.8,16.3,84,1
1959,4,145,31.8,20.7,126,1.2
1959,5,419,30.7,22.5,123,2.4
1959,6,343,31.4,24.8,105,2.5
1959,7,194,32.6,25.8,122,1.2
1959,8,134,32.7,25.4,120,-1.9
1959,9,139,31.2,24.2,96,-1.6
1959,10,178,29,22.3,87,1.7
1959,11,2,28.1,16.3,49,1.2
1959,12,0,26.4,12.5,31,0.9
1960,1,2,24.3,10.3,29,0.6
1960,2,8,28.2,14.6,22,-0.3
1960,3,44,29.4,16,50,-1.1
1960,4,37,33.9,20.8,40,-2.3
1960,5,222,32.7,23.6,139,-2.7
1960,6,356,32.3,24.8,126,-2.9
1960,7,276,31.4,25.3,105,-2.2
1960,8,146,32.6,25.8,115,-2.7
1960,9,184,31.3,24.8,98,-1.6
1960,10,43,31.1,21.7,81,-2.1
1960,11,11,27.8,16.3,46,-2.3
1960,12,1,26.4,12.5,26,-2.5
1961,1,3,25.7,12.1,20,-2.8
1961,2,5,25.6,12.7,13,-2.9
1961,3,64,29.7,17.4,66,-2.6
1961,4,66,32,20.6,67,-3.1
1961,5,270,31.2,23.2,133,-3.1
1961,6,304,31.8,24.8,140,-3.4
1961,7,190,32.9,25.8,134,-4.3
1961,8,199,32.7,26.3,122,-3.9
1961,9,135,32,25.2,116,-3.8
1961,10,63,30.9,22.5,88,-3.9
1961,11,13,26.3,15.9,49,-3.6
1961,12,1,23.5,10.6,27,-3.5
1962,1,23,23.7,9.6,36,-2.9
1962,2,16,25.5,12.8,30,-2.4
1962,3,22,30.6,15.9,28,-2.9
1962,4,85,32.1,20.7,85,-3.2
1962,5,254,30.9,22.4,135,-3.3
1962,6,517,31.4,24.5,109,-1.3
1962,7,210,32.9,26,130,-2.1
1962,8,202,31.3,25.9,100,-1.7
1962,9,82,32.2,25.1,99,-2.5
1962,10,59,30.7,21.3,85,-2.8
1962,11,1,28.1,16,39,-3.3
1962,12,1,25.2,12.3,23,-3.5
1963,1,5,24.3,9.7,17,-3.8
1963,2,3,27.2,13.1,10,-4.1
1963,3,69,29.6,16.4,70,-3.7
1963,4,99,30.2,19.4,98,-3.6
1963,5,304,30,22.2,130,-3.3
1963,6,350,31.2,24.7,114,-2.6
1963,7,271,32,25.8,113,-2.2
1963,8,226,31.7,25.8,103,-1.5
1963,9,130,32.7,25,113,-1.7
1963,10,90,29.9,21.4,96,-1.5
1963,11,13,26.3,16.5,53,-1.4
1963,12,2,24.6,12.8,33,-1.3
1964,1,6,23.9,10.2,32,-1.3
1964,2,9,25.9,12.6,22,-1.5
1964,3,90,30.2,16.9,93,-1
1964,4,159,29.8,20.1,132,0.5
1964,5,316,30.6,22,141,0.9
1964,6,339,31.8,24.2,116,1
1964,7,241,31.4,25.2,116,0.6
1964,8,160,32.5,25.4,129,-0.7
1964,9,132,31.9,24.8,108,-1.1
1964,10,118,31.2,22.9,108,-0.6
1964,11,7,28.3,17.3,61,-0.8
1964,12,1,25.3,11.9,37,-1
1965,1,0,24.4,10.1,22,-1.2
1965,2,19,25.2,12.2,30,-1
1965,3,71,28.4,14.6,75,-0.7
1965,4,96,30.8,19.7,96,-1
1965,5,327,31.4,22.9,132,-0.7
1965,6,332,31.6,24.3,119,-0.6
1965,7,242,31.8,24.9,121,-0.9
1965,8,225,31,24.5,117,0.3
