Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.4792 North,94.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,33,23,11.4,44,0.1
1958,2,54,22.5,12.9,57,0.1
1958,3,22,28.6,16.3,57,-1.2
1958,4,165,30.1,20.1,114,-1.8
1958,5,686,29.5,22.5,113,-0.6
1958,6,419,32.8,25.2,112,-1
1958,7,638,32.8,25.3,121,1.1
1958,8,580,30.6,24.9,89,1.9
1958,9,362,32.1,24.7,97,1.7
1958,10,283,30.5,22,86,3.2
1958,11,3,28.9,15.2,45,2.4
1958,12,16,24.8,11.5,35,2.1
1959,1,47,22.5,11.2,50,2.4
1959,2,61,21.9,12.2,59,2.5
1959,3,91,27,15.7,87,2.3
1959,4,215,29.7,20.1,106,2.2
1959,5,709,29.2,22.3,104,3.4
1959,6,601,30.6,24.3,96,3.7
1959,7,394,32.5,25.4,125,1.9
1959,8,293,32.6,25.1,116,0.7
1959,9,357,30.8,23.6,95,0.6
1959,10,258,28.4,21.6,86,1.9
1959,11,24,27.4,15.3,52,1.6
1959,12,17,25.6,11.2,42,1.5
1960,1,5,22.7,9.4,35,0.6
1960,2,54,25.6,14.2,60,-1.1
1960,3,35,27.5,16,60,-2.1
1960,4,94,31,20.6,101,-3.5
1960,5,321,31.8,23.5,128,-3.8
1960,6,497,31.5,24.6,117,-3.4
1960,7,657,31.2,24.7,105,-2.1
1960,8,439,32.2,25.5,124,-2.1
1960,9,378,30.6,24.7,96,-1.7
1960,10,36,30.2,21.7,79,-2.7
1960,11,14,27.3,15.6,47,-3.2
1960,12,19,25.6,11.4,38,-3.3
1961,1,24,24.1,11.7,37,-3.4
1961,2,29,23.5,12.9,40,-3.7
1961,3,183,26.4,16.3,95,-2.3
1961,4,201,29.9,19.9,120,-2.1
1961,5,479,29.6,23.1,123,-1.4
1961,6,342,32,24.5,130,-2.2
1961,7,470,32.6,25.1,124,-2.7
1961,8,384,32.2,26,117,-2.9
1961,9,322,31.6,24.7,114,-3.1
1961,10,178,30.2,22,102,-2.5
1961,11,32,25.4,15.2,58,-2.2
1961,12,3,21.7,9.6,34,-2.3
1962,1,44,21.7,9.1,51,-1.7
1962,2,76,22.7,12.2,64,-0.9
1962,3,72,27,15.4,83,-1.1
1962,4,129,29.6,20,117,-1.8
1962,5,559,29.5,22.7,123,-1.1
1962,6,650,30.4,24.4,97,1.4
1962,7,395,32.4,25.6,130,-1.4
1962,8,639,30.4,25.4,97,1.3
1962,9,251,31.1,24.8,110,-1
1962,10,79,29.9,20.5,92,-1.7
1962,11,15,27.5,15,50,-1.9
1962,12,13,23.9,11.1,36,-2
1963,1,20,22.3,8.7,38,-2.2
1963,2,27,24,12.6,42,-2.6
1963,3,57,26.8,15.8,68,-3.2
1963,4,192,28,19.1,115,-3.4
1963,5,334,29.7,22.1,123,-3.4
1963,6,476,30.6,24.2,113,-3.2
1963,7,595,31.5,25.4,117,-2.5
1963,8,456,30.8,25.4,104,-2.1
1963,9,221,32.2,24.6,113,-3.2
1963,10,164,28.7,20.5,95,-2.6
1963,11,36,25,14.8,59,-2.2
1963,12,8,23.4,10.6,37,-2.2
1964,1,28,22.3,9.8,48,-2.1
1964,2,54,23,12.2,62,-2
1964,3,150,26.8,15.2,106,-1.2
1964,4,199,27.9,19,111,-1
1964,5,253,30,21.9,130,-1.3
1964,6,583,30.9,23.6,105,-0.6
1964,7,572,30.9,24.4,122,0.1
1964,8,417,31.8,24.7,128,-0.3
1964,9,367,30.9,24.3,105,-0.1
1964,10,163,30.9,21.7,104,0.1
1964,11,7,27.5,16,55,-0.7
1964,12,29,23.7,10.1,49,-0.6
1965,1,8,22.6,8.9,30,-1.1
1965,2,81,22,11.8,62,0.6
1965,3,67,25.1,14.1,77,-0.4
1965,4,173,28.7,18.9,108,-0.8
1965,5,308,30.1,22.8,114,-1.1
1965,6,500,31.1,24.3,109,-0.9
1965,7,521,31.4,24.4,114,-1.1
1965,8,513,30.4,24.4,106,0.4
1965,9,420,30.6,23.7,94,0.8
1965,10,66,28.8,20.4,81,-0.8
1965,11,149,24.7,14.2,66,2.4
1965,12,8,24.3,11.2,36,2.1
1966,1,23,22.4,9.6,41,1.9
1966,2,25,25.5,12.9,44,1.3
1966,3,28,28.9,15.7,59,-1.4
1966,4,153,29.1,19.2,118,-2.1
1966,5,428,31.6,23.3,124,-1.9
1966,6,756,29.7,23.4,103,1.5
1966,7,502,32.1,25,109,1
1966,8,685,30.9,25.1,96,2.5
1966,9,333,30.4,23.8,106,1.9
1966,10,106,28.1,19.8,95,1.3
1966,11,39,28.2,17,52,1.4
1966,12,9,24,11.8,35,1.2
1967,1,25,23,11.2,45,1
1967,2,33,23.9,12.6,50,-0.4
1967,3,144,25.2,15.5,99,0.7
1967,4,121,28,18.7,116,-0.6
