Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.5208 North,93.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,28,24.6,10.7,40,0.2
1958,2,49,24.4,12.5,54,0.8
1958,3,17,30.9,16.2,22,-1.1
1958,4,177,31.8,20.1,125,-0.9
1958,5,395,30.8,22.3,117,1.2
1958,6,203,33.6,25.1,120,-1
1958,7,368,33.4,25.5,123,-0.7
1958,8,408,31.1,24.7,97,1.2
1958,9,204,32.5,24.9,101,1
1958,10,197,30.9,22.2,87,1.9
1958,11,4,29,15.6,46,1.3
1958,12,9,24.9,11.7,30,1.2
1959,1,48,23.6,10.4,52,1.7
1959,2,30,23.8,11.7,42,1.7
1959,3,88,29.1,16,88,1.8
1959,4,193,31.6,20.1,118,1.9
1959,5,484,30.5,22.2,112,3.8
1959,6,323,31.5,24.4,105,4
1959,7,250,32.9,25.4,128,2.2
1959,8,220,32.7,24.9,115,1
1959,9,211,31.3,24,93,1
1959,10,224,28.9,22,84,2.3
1959,11,13,27.8,15.5,53,1.8
1959,12,6,25.9,11.1,33,1.5
1960,1,3,24.1,8.9,18,0.8
1960,2,24,27.4,13.9,30,-1.3
1960,3,41,29.4,15.8,43,-1.9
1960,4,71,33.3,20.6,70,-3
1960,5,209,32.9,23.4,131,-3.3
1960,6,322,32.3,24.8,114,-3
1960,7,384,31.7,24.9,105,-2.1
1960,8,283,32.6,25.4,119,-2.3
1960,9,238,31.2,24.5,98,-1.7
1960,10,43,30.8,21.9,81,-2.4
1960,11,16,27.7,15.9,45,-2.7
1960,12,7,25.6,11.3,20,-3
1961,1,12,25.3,10.9,19,-3.2
1961,2,15,24.9,12.1,18,-3.5
1961,3,121,28.7,16.8,102,-2.4
1961,4,129,31.6,20.1,124,-2.6
1961,5,298,31,23.1,125,-2.3
1961,6,221,32.4,24.8,134,-3
1961,7,265,33.1,25.2,131,-3.9
1961,8,280,32.5,25.9,121,-4
1961,9,192,32,24.7,117,-4.1
1961,10,126,30.5,22.4,102,-3.6
1961,11,25,26.1,15.3,57,-3.3
1961,12,1,22.6,9.5,31,-3
1962,1,40,23,8.3,47,-2.2
1962,2,47,24.5,11.9,52,-1.4
1962,3,39,29.6,15.3,46,-1.9
1962,4,106,31.6,20.2,105,-2.4
1962,5,317,30.8,22.6,125,-2.1
1962,6,382,31.4,24.4,103,-0.6
1962,7,265,33.1,25.7,133,-1.8
1962,8,390,30.9,25.4,100,-0.9
1962,9,120,31.8,24.7,112,-2.1
1962,10,74,30.2,21,91,-2.5
1962,11,9,27.7,15.3,47,-2.7
1962,12,4,24.4,11,24,-2.8
1963,1,8,23.8,8.2,16,-3.2
1963,2,12,26,12.4,16,-3.6
1963,3,62,29.1,15.9,62,-3.6
1963,4,140,29.9,19.1,124,-3.6
1963,5,240,30.4,22.2,129,-3.7
1963,6,284,31.4,24.5,114,-3.3
1963,7,365,32.1,25.5,120,-2.8
1963,8,328,31.4,25.3,101,-2.3
1963,9,169,32.7,24.7,116,-2.9
1963,10,133,29.3,21,98,-2.4
1963,11,23,25.9,15.3,57,-2.2
1963,12,4,23.9,11,33,-2.1
1964,1,20,23.2,9,37,-2
1964,2,30,24.9,11.9,36,-2
1964,3,121,29.2,15.7,115,-1.3
1964,4,186,29.3,19.2,123,-0.9
1964,5,242,31,22.1,132,-1
1964,6,322,31.5,23.8,111,0.5
1964,7,334,31.4,24.6,114,-0.1
1964,8,296,32.3,24.8,127,-0.4
1964,9,220,31.5,24.4,105,0.1
1964,10,155,30.8,22.3,105,0.5
1964,11,10,28,16.5,59,0.1
1964,12,10,24.2,10.4,36,-0.1
1965,1,4,23.7,8.7,14,-0.7
1965,2,54,24,11.6,55,0.5
1965,3,71,27.6,14.2,72,-0.1
1965,4,126,30.4,19.1,120,-0.6
1965,5,236,31.2,22.7,120,-1.1
1965,6,285,31.8,24.4,112,-1
1965,7,316,32,24.5,119,-1.3
1965,8,351,30.8,24.3,113,-0.9
1965,9,222,31.2,23.7,99,-0.6
1965,10,62,29.4,20.9,81,-1.2
1965,11,103,25.9,14.6,73,1.6
1965,12,5,24.9,11.6,38,1.7
1966,1,22,23.6,9.5,41,1.8
1966,2,9,27.3,12.7,34,1.6
1966,3,20,30.7,15.4,29,-1.1
1966,4,99,31.2,19.2,99,-1.8
1966,5,266,32.5,23.3,132,-2
1966,6,463,30.3,23.7,109,2.2
1966,7,321,32.6,25.1,114,1.7
1966,8,475,31.2,25.1,105,3
1966,9,193,31.1,24,111,2.3
1966,10,86,28.6,20.3,93,1.6
1966,11,31,28.5,17.3,53,1.6
1966,12,7,24.2,11.8,32,1.5
1967,1,33,23.8,10.7,44,1.7
1967,2,20,25.5,12.7,31,1.3
1967,3,130,27.1,15.7,109,2
1967,4,113,29.8,18.7,113,1.3
