Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.3125 North,91.6042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,25.1,12,36,0.3
1958,2,29,25.7,13.2,44,1
1958,3,16,31.3,16.6,28,-0.8
1958,4,191,32.1,20.8,124,0.6
1958,5,313,31.2,23.1,129,0.8
1958,6,179,33.1,25.1,121,-1.8
1958,7,279,33.1,26.1,120,-2.1
1958,8,279,31.5,25.9,93,-0.8
1958,9,129,32.3,25.3,99,-1
1958,10,69,31.3,22.6,84,-1.2
1958,11,5,28.7,17.1,47,-1.3
1958,12,2,25.4,13.2,28,-1.3
1959,1,39,23.8,11.4,48,0.8
1959,2,6,25.3,12.3,31,0
1959,3,82,30.2,16.4,86,1.1
1959,4,169,32,20.9,127,1.3
1959,5,436,30.8,22.6,126,2.3
1959,6,388,31.3,24.7,105,2.3
1959,7,228,32.3,25.8,123,0.9
1959,8,159,32.4,25.4,119,-1.7
1959,9,142,31,24.3,96,-1.5
1959,10,191,28.8,22.3,89,1.6
1959,11,1,27.6,16.8,50,1.1
1959,12,0,26.1,12.4,32,0.9
1960,1,1,24.3,10.2,30,-0.3
1960,2,7,28.5,14.5,26,-1
1960,3,51,29.6,16,58,-1.1
1960,4,42,34.1,20.9,46,-2.3
1960,5,259,32.7,23.5,142,-2.7
1960,6,388,32.2,24.8,127,-2.9
1960,7,326,31.3,25.5,104,-2.3
1960,8,153,32.4,26,114,-2.8
1960,9,195,31,24.9,98,-1.7
1960,10,49,30.9,21.7,84,-2.2
1960,11,11,27.3,16.8,47,-2.3
1960,12,1,26.2,12.4,28,-2.4
1961,1,4,25.6,11.9,25,-2.6
1961,2,8,25.8,12.6,20,-2.7
1961,3,64,30.2,17.5,69,-2.5
1961,4,79,32.3,20.8,80,-3
1961,5,284,31.3,23.3,136,-3.2
1961,6,354,31.5,24.7,140,-3.5
1961,7,224,32.7,25.8,135,-4.4
1961,8,220,32.5,26.4,121,-4
1961,9,132,31.8,25.2,117,-4
1961,10,74,30.8,22.5,91,-3.9
1961,11,13,25.8,16.4,50,-3.6
1961,12,1,23.4,10.6,29,-3.4
