Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.8542 North,92.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,21,26.1,12.1,44,0.2
1958,2,88,26.4,13,82,2.2
1958,3,40,32.2,17.3,73,0.7
1958,4,435,32.9,21.8,133,0.7
1958,5,400,31.8,23.3,126,0.6
1958,6,387,33.3,25.2,125,0
1958,7,528,33.2,25.7,118,-1.1
1958,8,657,31.6,25.1,100,-1
1958,9,357,32.6,25.2,102,-1.2
1958,10,231,31.7,22.8,101,-0.7
1958,11,8,29.5,16.3,53,-1.4
1958,12,8,26,12.9,38,-1.4
1959,1,48,24.5,11.3,57,1.3
1959,2,36,25.8,12,54,1.5
1959,3,246,30.2,16.8,116,2.8
1959,4,401,32.6,21.7,131,2.5
1959,5,855,31.5,22.9,124,2.3
1959,6,751,31.5,24.9,110,2
1959,7,466,32.7,25.6,118,1.1
1959,8,487,32,25.1,121,1
1959,9,402,31.3,24.7,93,1.1
1959,10,382,29.8,21.8,87,3
1959,11,1,28.2,15.4,53,1.6
1959,12,0,26.7,11.6,36,0.8
1960,1,0,25.5,10.2,31,-2.4
1960,2,4,29.5,13.9,29,-3.4
1960,3,115,30.2,16,113,-3.6
1960,4,125,34.7,22.6,126,-3.2
1960,5,352,33.4,23.9,143,-2.9
1960,6,972,32,25,118,-2.6
1960,7,574,31.3,25.2,107,-2.2
1960,8,358,32.8,25.6,116,-1.9
1960,9,505,31.9,24.7,101,-0.8
1960,10,142,31.7,22,111,-1.4
1960,11,38,28.2,16.1,66,-1.2
1960,12,1,26.5,12.4,41,-1.4
1961,1,4,26.5,11.5,36,-1.8
1961,2,11,25.6,11.7,39,-2.3
1961,3,99,30.6,19,102,-2.7
1961,4,183,32.9,22.2,141,-2.5
1961,5,324,32.1,23.4,133,-2.2
1961,6,911,31.4,24.7,127,-2
1961,7,367,32.6,25.5,128,-3.2
1961,8,510,32.2,25.5,120,-2.9
1961,9,277,32.1,24.8,113,-3.7
1961,10,150,31.3,22.4,109,-3.8
1961,11,21,28,15.3,59,-3.9
1961,12,1,24.9,9.9,39,-3.9
1962,1,33,24.3,9,50,-2.9
1962,2,56,26.9,12.7,63,-1.6
1962,3,12,32.1,16.6,43,-3.2
1962,4,211,33.2,22.1,144,-2.9
1962,5,381,32,22.7,133,-2.6
1962,6,890,31.5,24.3,111,-2.3
1962,7,549,33.3,25.8,135,-2.3
1962,8,486,31.7,25.5,107,-2.1
1962,9,147,33.1,25,110,-4
1962,10,144,31.3,21.7,111,-4.2
1962,11,2,28.2,15.4,53,-4.8
1962,12,0,26.1,11.4,36,-5
1963,1,0,25.5,9.5,33,-5.4
1963,2,5,28.9,13.3,29,-6.3
1963,3,120,31.2,16.8,116,-6.1
1963,4,220,31.6,20.4,136,-5.4
1963,5,309,30.6,22.5,137,-4.9
1963,6,706,31.1,24.9,110,-4.4
1963,7,590,32,25.7,114,-3.7
1963,8,477,32.1,25.5,105,-3.3
1963,9,405,33,25.1,115,-3
1963,10,264,30.5,21.9,102,-2
1963,11,14,28.5,16,59,-2.5
1963,12,2,25.8,12.4,39,-2.8
1964,1,21,24,10,43,-2.5
1964,2,44,27.1,12.7,59,-2
1964,3,137,31.5,18.3,130,-2
1964,4,492,30.6,21.1,134,-1.8
1964,5,625,31.7,22.6,138,-1.6
1964,6,747,31.2,24.3,116,-1.4
1964,7,542,31.2,24.9,112,-1.4
1964,8,425,32.5,25.3,121,-1.2
1964,9,439,32.2,24.9,106,-0.8
1964,10,365,30.9,23,108,1.9
1964,11,29,29.1,17.1,69,1.4
1964,12,0,26.3,12.1,42,0.7
1965,1,1,25.3,10.8,33,-1.6
1965,2,78,26.7,12.4,77,1.4
1965,3,141,30,15.6,127,1.2
1965,4,147,31.6,21.2,140,1.1
1965,5,351,32.3,23.3,135,1
1965,6,773,31.2,24.3,114,0.9
1965,7,529,31.8,24.8,123,-0.3
1965,8,609,31,24.2,115,0
1965,9,360,31.9,24.4,104,-0.6
1965,10,107,31,21.9,104,-1.5
1965,11,74,28.9,15.5,81,1
1965,12,9,26.6,12.9,48,1.3
1966,1,28,25.1,11.5,51,1.9
1966,2,1,29,13.7,42,0.9
1966,3,28,31.3,16.5,51,-2.4
1966,4,124,33.3,21.4,126,-2.1
1966,5,324,33,23.7,149,-1.9
1966,6,1163,30.2,24.4,108,-1.7
1966,7,471,32.4,25.4,118,-2.2
1966,8,634,31.5,25.3,112,-2
1966,9,431,31.9,24.6,114,-1.6
1966,10,184,30,21,112,-1.6
1966,11,31,28.8,17.7,63,-1.7
1966,12,18,25.2,12.7,48,-1
1967,1,63,24.6,12,67,2.5
1967,2,17,27,13.9,49,2.1
1967,3,289,28.5,17.1,120,3.9
1967,4,253,31.4,20.1,137,3.5
1967,5,544,31.7,22.9,137,3.2
1967,6,503,31.5,24.2,122,2.8
1967,7,601,32.2,25.4,116,2.8
1967,8,353,32.5,25.1,134,2.5
1967,9,452,31.3,24.4,107,2.7
1967,10,92,30.5,21.3,101,1.3
1967,11,16,27.6,14.5,56,0.6
1967,12,0,25.7,12,34,-2
1968,1,18,24.4,10.8,39,-1.9
1968,2,12,25.7,11.5,36,-2.4
1968,3,113,30.5,17.1,111,-2.7
1968,4,413,31.4,20.6,133,-2.4
1968,5,531,31.3,22.4,131,-2.1
1968,6,899,30.4,23.9,106,-1.9
1968,7,669,31.7,25.4,112,-1
1968,8,559,32.1,25.1,118,-0.9
1968,9,299,32,24.9,105,-1.6
1968,10,127,31,22,108,-2.2
1968,11,17,28.4,16.8,57,-2.6
1968,12,1,26.3,11.8,39,-2.8
