Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.3542 North,93.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,18,23.7,9.3,44,0.1
1958,2,56,24.1,10.5,64,1.1
1958,3,20,30.9,15.2,64,-0.8
1958,4,199,31.8,19.3,129,0.3
1958,5,221,30,20.7,123,0.1
1958,6,187,32.2,23.4,121,-1.1
1958,7,284,32,23.7,117,-1.2
1958,8,319,29.8,22.7,98,0.7
1958,9,182,30.7,22.7,98,-0.3
1958,10,166,28.9,20.1,93,0.6
1958,11,6,27.1,14.3,49,-0.4
1958,12,9,23.7,10.8,37,0
1959,1,37,22.2,8.7,52,0.7
1959,2,21,23.7,9.6,46,0.6
1959,3,112,29,14.7,108,1.2
1959,4,185,31.6,19.3,126,1.4
1959,5,397,29.9,20.5,121,3.1
1959,6,368,30.3,23,109,3.4
1959,7,231,31.4,23.6,120,2.3
1959,8,211,30.6,23.1,117,1.7
1959,9,200,29.1,22.1,88,1.6
1959,10,271,27.2,19.3,81,2.8
1959,11,3,26.1,13.6,50,2
1959,12,1,24.6,9.6,36,1.5
1960,1,0,23,7.5,35,0.8
1960,2,5,27.2,11.9,35,-1.7
1960,3,57,29.2,14.1,76,-1.9
1960,4,59,33.5,20,78,-2.7
1960,5,171,31.9,21.6,138,-3.1
1960,6,452,30.9,23.2,115,-2.9
1960,7,307,30,23.2,105,-2.3
1960,8,186,31.2,23.4,114,-2.7
1960,9,250,29.7,22.2,96,-1.8
1960,10,90,29.2,19.4,97,-2.2
1960,11,26,25.9,14,57,-2
1960,12,2,24.3,10.2,37,-2.1
1961,1,4,24,8.8,36,-2.2
1961,2,8,23.6,9.5,37,-2.4
1961,3,69,29,16.4,83,-2.3
1961,4,89,31.7,19.6,100,-2.7
1961,5,182,30.5,21.1,128,-2.9
1961,6,341,30.4,23,127,-3.3
1961,7,204,31.4,23.6,128,-4.1
1961,8,232,30.8,23.5,118,-3.9
1961,9,151,30.1,22.5,110,-4.3
1961,10,112,28.7,19.8,101,-4.2
1961,11,20,25.4,13.2,55,-3.9
1961,12,1,22.4,7.8,37,-3.7
1962,1,26,21.9,6.3,47,-3
1962,2,38,24.5,10.2,52,-2.2
1962,3,11,30.5,14.3,58,-2.9
1962,4,96,32,19.5,105,-3.2
1962,5,195,30.6,20.5,131,-3.3
1962,6,439,30.4,22.5,108,-2.7
1962,7,267,31.9,23.8,131,-2.9
1962,8,242,29.9,23.2,103,-2.7
1962,9,75,30.8,22.4,93,-3.9
1962,10,94,28.6,19,97,-3.9
1962,11,3,25.9,13.4,47,-4.1
1962,12,1,23.7,9.4,33,-4.1
1963,1,0,22.9,6.7,33,-4.3
1963,2,4,26.3,10.8,32,-4.6
1963,3,69,29.6,14.6,81,-4.5
1963,4,110,30.4,18,111,-4.4
1963,5,172,29.3,20.3,132,-4.6
1963,6,354,30,23.2,111,-4.8
1963,7,312,30.7,23.6,113,-4.1
1963,8,241,30.3,23.2,101,-3.7
1963,9,207,30.9,22.5,110,-3.4
1963,10,168,27.7,19,94,-2.8
1963,11,13,25.4,13.8,54,-2.8
1963,12,3,23.1,10.2,38,-2.8
1964,1,15,21.6,7.2,42,-2.5
1964,2,29,24.7,10.1,51,-2.2
1964,3,90,29.7,15.5,101,-1.9
1964,4,215,29.4,18.5,128,-1.2
1964,5,288,30,20.1,134,1.2
1964,6,372,29.9,22.2,114,1.7
1964,7,280,29.8,22.8,111,1.4
1964,8,207,30.7,22.8,120,0.8
1964,9,220,29.9,22.1,100,0.9
1964,10,243,28.4,20.3,98,1.8
1964,11,18,26.5,14.8,60,1.3
1964,12,2,23.6,9.5,41,0.9
1965,1,1,22.6,7.7,34,-0.4
1965,2,52,24.2,9.8,60,0.7
1965,3,83,28.3,13.1,94,0.7
1965,4,84,30.4,18.6,98,-0.6
1965,5,185,30.7,20.9,130,-1
1965,6,380,30.2,22.7,114,-1.1
1965,7,272,30.6,22.8,120,-1.3
1965,8,285,29.4,22,114,-0.9
1965,9,190,29.7,21.7,98,-1
1965,10,73,28.2,19.1,87,-1.5
1965,11,62,25.9,13,71,-0.7
1965,12,7,24,10.5,40,-0.6
1966,1,21,22.6,8.6,45,0.3
1966,2,2,26.7,11.2,39,-0.4
1966,3,17,30.3,14.4,59,-1.3
1966,4,60,32,18.7,80,-2.1
1966,5,172,31.6,21.4,143,-2.6
1966,6,574,29,22.5,108,-1.5
1966,7,262,31.1,23.4,114,-1.7
1966,8,332,29.8,23,109,-0.8
1966,9,202,29.6,22,108,-0.9
1966,10,118,27.1,18.3,102,-1
1966,11,28,26.6,15.6,57,-0.9
1966,12,15,22.8,10.4,43,-0.6
1967,1,41,22.2,9.2,55,1.4
1967,2,14,24.7,11.4,46,1.1
1967,3,144,27,14.8,115,2.1
1967,4,106,30.3,17.7,115,1.7
1967,5,258,30.2,20.7,133,1.8
1967,6,254,30.3,22.3,119,1.2
1967,7,307,30.9,23.4,115,1.2
1967,8,160,31.1,23.1,131,-1.1
1967,9,223,29.3,22,103,-0.8
1967,10,54,27.8,18.5,82,-1.5
1967,11,17,24.9,12.4,52,-1.7
1967,12,0,23.2,9.9,32,-1.9
1968,1,16,21.8,8,38,-1.8
1968,2,12,23.4,9,37,-2
1968,3,58,29.1,14.8,76,-2.2
1968,4,194,30.2,17.9,127,-1.7
1968,5,264,29.8,20.1,126,-1.2
1968,6,381,29.5,22.3,107,1.3
1968,7,334,30.3,23.3,111,1.6
