Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.9792 North,94.6458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,29,23.6,10.8,40,0.1
1958,2,49,22.8,12.7,53,0.2
1958,3,16,29.3,16.1,25,-1.2
1958,4,168,30,19.8,116,-1.6
1958,5,653,29.2,22.2,112,1
1958,6,299,33.1,25.3,112,-0.7
1958,7,524,33.1,25.8,121,0.7
1958,8,511,30.7,25.1,93,1.7
1958,9,276,32.4,25.1,98,1.5
1958,10,285,30.3,22.5,87,3.1
1958,11,3,28.4,15.6,46,2.2
1958,12,16,24.4,11.6,33,1.9
1959,1,47,22.8,10.7,50,2.3
1959,2,50,22,12.2,53,2.4
1959,3,90,27.1,15.9,87,2.2
1959,4,213,29.8,19.8,108,2.1
1959,5,711,28.8,22.1,104,3.3
1959,6,439,30.9,24.6,98,3.6
1959,7,326,32.8,25.7,125,1.8
1959,8,269,32.6,25.3,115,-2.4
1959,9,270,31.1,24.1,93,-2.1
1959,10,258,28.4,22,83,1.4
1959,11,24,27.1,15.4,53,1.1
1959,12,15,25.2,11.1,39,1
1960,1,3,23.2,9.2,27,-0.6
1960,2,36,25.9,14.1,44,-1
1960,3,37,27.7,15.9,41,-1.9
1960,4,93,31.2,20.3,92,-3.1
1960,5,318,31.3,23.2,125,-3.3
1960,6,394,31.7,24.9,113,-2.8
1960,7,544,31.6,25.2,104,-1.6
1960,8,378,32.5,25.8,122,-1.7
1960,9,283,31,24.8,96,-1.4
1960,10,35,30.3,22,78,-2.3
1960,11,17,27.1,15.8,44,-2.8
1960,12,16,25.1,11.3,28,-3
1961,1,19,24.4,11.3,25,-3.2
1961,2,25,23.6,12.8,28,-3.5
1961,3,173,26.7,16.5,95,-2.1
1961,4,190,29.7,19.8,119,-1.8
1961,5,455,29.4,22.9,120,-1.2
1961,6,269,32,24.8,127,-2.1
1961,7,380,33.1,25.5,123,-2.9
1961,8,335,32.2,26.2,118,-3.1
1961,9,241,31.9,25,113,-3.3
1961,10,185,30,22.4,101,-2.5
1961,11,35,25.5,15.3,59,-2.2
1961,12,2,21.8,9.6,31,-2.3
1962,1,42,22.1,8.7,48,-1.6
1962,2,64,23,12.1,62,-0.9
1962,3,57,27.6,15.3,70,-1.2
1962,4,118,29.7,19.8,114,-2
1962,5,526,29.2,22.4,120,-1.4
1962,6,458,30.7,24.6,96,1.2
1962,7,331,33,26,130,-1.5
1962,8,525,30.6,25.7,98,1.2
1962,9,154,31.5,25.1,110,-1.4
1962,10,87,29.8,21,95,-1.9
1962,11,15,27.1,15.1,50,-2.1
1962,12,10,23.7,11,31,-2.1
1963,1,11,22.8,8.4,25,-2.4
1963,2,19,24.5,12.5,25,-2.9
1963,3,56,27.3,15.8,57,-3.3
1963,4,185,28.1,18.9,115,-3.4
1963,5,313,29.1,21.9,122,-3.3
1963,6,364,30.9,24.5,111,-3
1963,7,495,32,25.8,117,-2.5
1963,8,385,31,25.6,103,-2.2
1963,9,185,32.5,24.9,112,-3.1
1963,10,152,28.7,21,95,-2.6
1963,11,33,25.3,15,58,-2.3
1963,12,8,23.3,10.7,36,-2.3
1964,1,26,22.3,9.3,43,-2.1
1964,2,44,23.3,12.1,52,-2
1964,3,144,27.2,15.3,106,-1.2
1964,4,194,27.6,18.9,111,-1
1964,5,269,29.6,21.9,125,-1.2
1964,6,447,31,23.9,104,0.7
1964,7,483,31.4,24.9,118,0.9
1964,8,387,31.9,25,125,0.7
1964,9,288,31.3,24.6,104,0.7
1964,10,177,30.5,22.2,103,0.9
1964,11,9,27.3,16.2,55,-0.5
1964,12,27,23.5,10.2,44,0.1
1965,1,7,22.8,8.7,23,-0.9
1965,2,71,22.5,11.8,65,0.6
1965,3,69,25.7,14.1,74,-0.5
1965,4,159,28.5,18.7,110,-1
1965,5,288,29.7,22.6,115,-1.3
1965,6,372,31.3,24.5,108,-1.2
1965,7,433,32,24.9,116,-1.4
1965,8,433,30.5,24.6,108,-0.9
1965,9,311,30.9,24.1,95,0.4
1965,10,73,28.9,21,83,-0.7
1965,11,148,25.1,14.4,69,2.3
1965,12,11,24.1,11.4,38,2.1
1966,1,19,22.9,9.7,39,2
1966,2,19,25.8,12.8,39,1.5
1966,3,26,29,15.5,40,-1.2
1966,4,147,29.3,19,118,-1.8
1966,5,403,31.1,23.2,125,-1.7
1966,6,570,29.8,23.8,102,1.9
1966,7,448,32.6,25.4,109,1.5
1966,8,606,31,25.4,99,3.1
1966,9,241,30.8,24.2,107,2.4
1966,10,97,28.2,20.3,95,1.6
1966,11,43,28,17.2,56,1.7
