Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 27.4792 North,95.3542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,43,23,10.8,49,0.1
1958,2,40,22.1,12.3,48,-0.2
1958,3,22,28.4,15.5,42,-1.5
1958,4,128,29.7,19.4,111,-2.3
1958,5,690,29.2,22,112,-1.1
1958,6,343,32.9,25,109,-1.3
1958,7,595,32.3,25.1,118,1.3
1958,8,472,30.1,25,87,2.3
1958,9,291,32,24.6,96,2.1
1958,10,306,30,21.9,85,3.8
1958,11,2,28.4,15,45,2.8
1958,12,19,24.3,11.1,35,2.5
1959,1,60,22.5,10.7,57,2.7
1959,2,79,21.1,12.1,58,3
1959,3,111,26.3,15.2,90,2.8
1959,4,229,29.2,19.5,103,2.7
1959,5,666,28.8,21.9,101,3.6
1959,6,434,30.4,24,93,3.8
1959,7,387,32.1,25.2,120,2.1
1959,8,276,32.2,25,111,1.1
1959,9,272,30.5,23.5,91,1
1959,10,269,28.3,21.4,81,2.4
1959,11,25,27.1,14.8,53,2
1959,12,23,25,11,44,1.8
1960,1,4,22.6,9.1,32,0.8
1960,2,44,25,13.6,51,-1.3
1960,3,40,27.2,15.3,52,-2.4
1960,4,121,30.3,20.2,118,-3.3
1960,5,323,31.3,22.9,125,-3.3
1960,6,355,31.2,24.3,114,-3.2
1960,7,620,30.7,24.5,101,-1.7
1960,8,377,31.9,25.5,121,-1.5
1960,9,274,30.4,24.5,92,-1.4
1960,10,44,30,21.3,80,-2.3
1960,11,19,27.1,15.2,48,-2.7
1960,12,23,25.1,11.1,39,-2.7
1961,1,37,23.9,11.4,44,-2.7
1961,2,45,23,12.6,49,-2.8
1961,3,264,25.6,15.9,95,-1.2
1961,4,232,29.4,19.2,116,-0.8
1961,5,497,29.3,22.6,121,1.9
1961,6,255,32.1,24.4,124,0.6
1961,7,438,32,24.9,116,-1.7
1961,8,340,31.7,26,112,-1.8
1961,9,240,31.4,24.4,110,-2.2
