Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.1458 North,87.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,21,25.7,11.3,40,0.8
1958,2,2,26.8,12.3,25,0.7
1958,3,3,32.6,15.3,14,-0.5
1958,4,40,36.2,21.9,45,0.2
1958,5,62,35.3,25.2,63,-1.1
1958,6,263,34.5,26.2,147,-1.8
1958,7,319,33,26.1,134,-2.7
1958,8,733,31.3,25.9,103,2.1
1958,9,211,32.3,25.2,104,1.2
1958,10,118,32.4,22.5,108,1.1
1958,11,3,29.9,14.4,53,1
1958,12,1,26.3,11.2,32,1
1959,1,31,24.2,10.4,45,1.8
1959,2,1,26.2,11.5,27,1.9
1959,3,31,32,15.2,42,2.1
1959,4,34,35.5,21.8,39,2
1959,5,49,34.5,24.3,52,0.7
1959,6,363,32.4,25,125,1
1959,7,311,32,26,130,-1.4
1959,8,278,32,25.7,116,-2
1959,9,283,31,24.1,104,-1.6
1959,10,186,29.8,22.9,101,1.2
1959,11,0,28.4,14.4,51,1
1959,12,0,25.9,10.7,31,1
1960,1,0,23.8,8.9,28,0.7
1960,2,1,28.9,12.6,19,-0.2
1960,3,52,30.5,14.6,59,1.4
1960,4,7,36.6,20.7,13,-0.8
1960,5,84,35.2,24.3,84,-1.1
1960,6,282,33,25.2,142,-1.6
1960,7,449,31.4,25.8,117,-1.6
1960,8,311,32,26.2,123,-2
1960,9,331,30.9,25,99,-1
1960,10,61,30.8,21.6,90,-1.6
1960,11,0,28.2,13.1,44,-1.8
1960,12,0,26.8,10.6,26,-1.9
1961,1,4,24.6,10.8,23,-1.9
1961,2,18,25.8,11.1,29,-1.5
1961,3,13,32.2,16.5,19,-1.7
1961,4,20,36.1,21.1,24,-1.9
1961,5,102,34.6,24.4,101,-1.9
1961,6,428,32.5,25,140,-0.9
1961,7,255,32.4,25.7,138,-1.9
1961,8,487,32.1,26.1,123,-1.2
1961,9,172,31.5,25,120,-2.4
1961,10,217,30.9,21.3,104,-0.7
1961,11,5,26.3,13.2,51,1.5
1961,12,1,22.9,8.1,31,1.5
1962,1,21,24,8.4,39,2
1962,2,13,26.3,11.4,35,2.6
1962,3,23,32,14.1,37,2.6
1962,4,31,34.9,20.5,38,2.4
1962,5,101,33.3,23.5,101,2.1
1962,6,399,31.9,25.1,123,2.6
1962,7,331,32.5,25.7,132,1.6
1962,8,707,31,25.4,104,3.4
1962,9,231,31.6,24.8,108,2.5
1962,10,66,30.6,20.1,89,1.7
1962,11,0,29,13.3,45,1.2
1962,12,3,25.1,10,28,1
1963,1,3,24.3,7.9,27,0.7
1963,2,0,28.7,10.9,13,-1.6
1963,3,30,30.7,15.1,36,-1.2
1963,4,49,33.2,20.1,51,-0.6
1963,5,124,32.7,23.1,121,1
1963,6,451,32,24.7,129,2.1
1963,7,482,31.8,25.8,116,1.9
1963,8,413,31.6,25.9,119,1.8
1963,9,270,31.9,24.6,109,1.6
1963,10,169,30.5,21.6,108,2.2
1963,11,34,27.3,14.9,65,3
1963,12,0,25.9,10.4,37,3.1
1964,1,0,24.6,9.4,32,2.7
1964,2,1,27.1,11.7,24,2.3
1964,3,7,32.9,16.2,18,1.6
1964,4,33,34.8,21.8,38,1.4
1964,5,131,33,22.9,129,1.6
1964,6,209,33.5,25.2,151,-1.4
1964,7,780,31,25.4,127,1
1964,8,290,31.7,25.8,124,-0.7
1964,9,262,31.4,25.3,111,-0.8
1964,10,82,32,22.2,99,-1.2
1964,11,1,28.5,14.3,50,-1.2
1964,12,0,25.7,9.8,31,-1.4
1965,1,0,25.5,8.9,23,-1.7
1965,2,2,26.8,10.6,13,-2
1965,3,38,30.3,13.7,43,-1.4
1965,4,16,34.7,20.4,20,-1.7
1965,5,55,35,24.1,56,-2.5
1965,6,327,33.2,25.2,144,-2.5
1965,7,441,31.3,25.2,125,-2.4
1965,8,602,31.2,25,120,-1
1965,9,226,31.6,24,107,-1.4
1965,10,87,30.2,20.3,96,-1.6
1965,11,31,27.7,13.9,60,1
1965,12,0,25.4,8.7,34,1.2
1966,1,41,23.4,9.1,50,2.4
1966,2,8,28.1,12.9,36,2.9
1966,3,1,32.8,15.3,14,2.1
1966,4,13,35.8,20.9,20,1.3
1966,5,70,35.6,24.5,72,-1.7
1966,6,150,32.9,25.4,144,-3.1
1966,7,503,32.2,25.5,128,-3.4
1966,8,723,31.4,25.8,114,-1.1
1966,9,135,31,23.8,116,-2.7
1966,10,41,29.9,19.5,80,-3.3
1966,11,17,29.4,14.6,50,-2.9
1966,12,2,25.4,10.2,29,-2.8
1967,1,2,24.9,9.7,24,-2.9
1967,2,3,28.9,11.7,14,-3
1967,3,54,30.3,14.5,58,-1.6
1967,4,41,33.7,19.1,43,-1.2
1967,5,73,34.3,23.3,72,-1.7
1967,6,282,32.8,24.9,148,-2.2
1967,7,383,32.5,25.4,131,-2.6
1967,8,339,31.8,25.4,129,-2.8
1967,9,178,31.5,24,113,-3.7
1967,10,35,30,19.7,79,-4.2
1967,11,1,26.1,12.6,42,-4.3
1967,12,0,25.9,10.6,23,-4.3
1968,1,26,22.7,9.6,36,-3.4
1968,2,2,26.1,10.7,14,-3.4
1968,3,35,31.4,15.7,40,-2.6
1968,4,15,34.2,20.3,19,-2.9
1968,5,47,34.4,23.9,49,-3.7
1968,6,380,30.7,24.4,123,-2.9
1968,7,460,31.1,25.5,122,-2.6
1968,8,311,32.1,25.2,126,-2.9
1968,9,279,32.4,25.3,106,-2.5
1968,10,297,29.2,20.3,104,2.8
1968,11,1,27.7,14.2,49,2.4
1968,12,0,25.2,10.6,31,2.3
1969,1,3,24.1,9,30,2
1969,2,3,28.2,11.3,23,1.7
1969,3,47,33.4,15.9,54,2.3
1969,4,26,35.3,20.7,31,1.9
1969,5,91,34,23.5,90,1.6
1969,6,406,32.9,25.1,137,2.1
1969,7,570,31.7,25.7,130,2.3
1969,8,332,31.4,24.9,113,1.7
1969,9,271,31.5,24.8,114,1.4
1969,10,17,30.7,20.8,74,-1.6
1969,11,14,29.3,14.8,46,-1.7
1969,12,0,26.1,10.4,23,-2
1970,1,14,23.9,9.8,28,-1.9
1970,2,9,26.3,11.5,18,-1.9
1970,3,15,32,15.4,20,-1.9
1970,4,13,36.1,21,16,-2.4
1970,5,83,35.5,24.9,82,-2.7
1970,6,365,32.4,24.7,132,-2.2
1970,7,567,31.7,25.8,123,-1.5
1970,8,383,31.8,25.8,123,-1.5
1970,9,265,31.5,24.8,106,-1.4
1970,10,67,31.3,21.3,92,-1.8
1970,11,3,28,13.5,47,-1.9
1970,12,0,26.5,9,27,-1.9
1971,1,4,24.2,9.4,25,-1.9
1971,2,4,26.5,10,16,-2
1971,3,14,31.9,14.7,20,-2.1
1971,4,107,32.9,19.9,106,2.2
1971,5,129,32.1,22.8,126,2.5
1971,6,534,30.9,25,120,4.4
1971,7,421,31.2,24.7,124,3.7
1971,8,444,31,24.2,109,3.6
1971,9,251,32.3,24.1,104,3
1971,10,197,30.4,21.5,100,4
1971,11,16,27.2,13.4,56,4
1971,12,0,26,9.5,36,3.9
