Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.7292 North,84.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,34,25.7,12.2,55,-0.9
1958,2,4,27.6,14.1,41,-1
1958,3,16,34.4,17.7,39,-0.9
1958,4,5,40,24.6,18,-0.9
1958,5,1,42.1,28.1,9,-1.3
1958,6,70,41,29.4,72,-2.2
1958,7,353,34.2,26.6,127,-1.9
1958,8,377,32.1,26.2,113,-1.1
1958,9,218,32.4,25.3,108,-0.8
1958,10,82,31.9,21.9,100,1.6
1958,11,0,28.7,14.4,51,1.6
1958,12,1,25.6,11.7,41,1.6
1959,1,94,23.8,11.3,71,3.5
1959,2,1,26.7,12.7,45,3.7
1959,3,8,33.5,17.6,51,3.8
1959,4,5,38.8,24.2,24,3.6
1959,5,8,41.2,27.1,18,3.3
1959,6,75,38.6,27.9,79,2.2
1959,7,257,33.3,26.7,138,1.2
1959,8,299,32.2,26.5,123,-2
1959,9,165,31.3,25.3,109,-2.3
1959,10,102,30.3,22.6,104,-0.7
1959,11,0,27.9,14.1,54,1.5
1959,12,0,24.8,10.8,39,1.6
1960,1,4,23.8,10.2,36,1.1
1960,2,0,29.6,14.1,37,0.9
1960,3,36,31.8,17,60,1.7
1960,4,2,39.6,23.2,15,1.3
1960,5,3,41.5,27.2,11,0.9
1960,6,87,39.3,28.4,88,-1.2
1960,7,351,32.7,26.3,125,-0.9
1960,8,371,32.3,26.8,123,0.5
1960,9,186,31.5,25.9,107,-0.2
1960,10,30,31.2,21.3,88,-0.6
1960,11,0,27.5,12.7,44,-0.8
1960,12,0,25,9.6,31,-1
1961,1,39,24,11.5,50,0.4
1961,2,20,25.1,12.5,46,0.8
1961,3,2,33.2,19.1,24,-0.4
1961,4,0,39.4,23.7,13,-0.6
1961,5,2,41.2,27.3,10,-0.8
1961,6,173,37.4,27,151,0.8
1961,7,195,33.5,26.2,130,-1.1
1961,8,341,32.4,26.5,119,-1.5
1961,9,159,31.7,25.5,111,-1.9
1961,10,84,30.9,20.9,99,-0.8
1961,11,1,26.6,12.8,51,1.1
1961,12,6,22.6,7.9,39,1.3
1962,1,30,23,9,50,1.5
1962,2,8,26.8,13,40,1.7
1962,3,7,33.5,16.3,39,1.6
1962,4,5,38.3,23.2,20,1.6
1962,5,3,40.4,26.7,12,1.3
1962,6,124,38.6,28.3,123,1.2
1962,7,270,34.4,26.7,136,-0.6
1962,8,354,31.8,25.9,115,-0.7
1962,9,237,31.6,25.1,112,0.3
1962,10,19,30.4,20.2,78,-0.9
1962,11,0,28.3,13,45,-1.1
1962,12,4,24.9,10.2,35,-1.1
1963,1,9,23.5,8.7,33,-1.5
1963,2,2,29.3,13.1,30,-1.8
1963,3,25,32.2,16.7,40,-1.3
1963,4,3,37.4,22.4,13,-1.3
1963,5,14,39.2,25.5,20,-0.9
1963,6,139,37.5,27,137,-0.7
1963,7,299,33.1,26.2,118,-0.9
1963,8,449,32.3,26.4,119,0.8
1963,9,214,32.4,24.9,118,0
1963,10,105,31.4,21.6,109,2.1
1963,11,8,28.4,15.3,59,2.5
1963,12,0,25.5,10.8,40,2.5
1964,1,8,23.8,10.2,40,1.9
1964,2,4,27.4,13.7,39,1.8
1964,3,1,34.5,18.8,27,1.3
1964,4,6,38.4,24.3,19,1.1
1964,5,9,39.9,25.8,18,1.1
1964,6,162,38.8,27.3,159,1.2
1964,7,356,31.9,25.1,125,1.3
1964,8,328,32.3,26.4,123,1.4
1964,9,202,31.8,25.4,114,1.2
