Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.8958 North,86.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,22,26.4,12,47,0.5
1958,2,8,27.9,13.6,37,0.5
1958,3,1,34.9,17.8,15,0
1958,4,12,39.7,24.2,20,-0.1
1958,5,30,39.7,27.3,34,-0.6
1958,6,125,38,28,123,-1.6
1958,7,218,33.4,26.6,126,-2.4
1958,8,485,31.7,26,111,2.2
1958,9,172,32.2,25.4,101,1.9
1958,10,125,31.7,22.8,110,2.1
1958,11,1,29.1,15.4,55,1.9
1958,12,0,26.3,12.4,39,1.9
1959,1,40,24.5,11.2,52,2.7
1959,2,0,27.2,12.6,35,2.6
1959,3,8,33.8,17.8,25,2.4
1959,4,13,38.7,24.1,22,2.2
1959,5,27,39.1,26.4,32,1.4
1959,6,171,35.4,26.7,143,1.2
1959,7,198,32.5,26.6,128,-1.4
1959,8,237,32.2,26.2,118,-2
1959,9,203,30.9,24.7,102,-1.5
1959,10,217,29.9,22.6,101,2.3
1959,11,0,28.2,14.6,52,2.1
1959,12,0,25.4,11.4,36,2
1960,1,1,24.6,9.9,32,1.5
1960,2,0,30.1,14.1,29,1.2
1960,3,17,32.2,17.2,30,1.5
1960,4,0,40.4,23.3,8,0.7
1960,5,27,39.3,26.7,31,-1.1
1960,6,132,36.3,27,129,-1.9
1960,7,253,31.9,26.2,124,-2.3
1960,8,193,32.3,26.6,125,-3.1
1960,9,225,31.1,25.4,99,-2.1
1960,10,57,30.9,21.5,94,-2.5
1960,11,1,28,13.6,45,-2.6
1960,12,0,26.6,11.2,29,-2.5
1961,1,14,25,11.4,34,-2.3
1961,2,32,25.4,12.3,48,-1.4
1961,3,1,34,19.4,14,-1.6
1961,4,4,39.6,23.5,11,-1.9
1961,5,45,39,26.6,48,-1.7
1961,6,210,34.9,26.1,142,-1
1961,7,134,32.8,26.3,130,-2.3
1961,8,280,32.3,26.4,123,-2.7
1961,9,160,31.6,25.2,112,-2.9
1961,10,190,30.8,21.5,106,-1
1961,11,2,27.2,13.6,53,-0.9
1961,12,1,23.6,8.7,38,1.6
1962,1,23,24,8.8,45,1.9
1962,2,11,27.8,13,37,2.2
1962,3,6,34.5,16.4,25,1.9
1962,4,11,38.4,22.8,21,1.7
1962,5,40,38.1,25.6,45,1.4
1962,6,176,35.4,26.6,134,1.4
1962,7,184,33.4,26.6,133,-1
1962,8,425,31.7,25.8,114,1.5
1962,9,134,31.9,25.2,112,-0.9
1962,10,65,30.3,20.7,91,-1.2
1962,11,0,28.8,13.8,47,-1.3
1962,12,2,25.7,10.7,32,-1.2
1963,1,3,24.5,8.9,31,-1.5
1963,2,1,30.2,13.1,21,-1.8
1963,3,12,33.5,17.3,22,-1.6
1963,4,25,37.6,22,31,-1
1963,5,53,37.3,24.9,55,-0.7
1963,6,252,35.1,26.2,143,1.6
1963,7,257,32.3,26.4,112,1.9
1963,8,207,32.2,26.3,125,1.5
1963,9,194,32.2,25.2,112,1.3
1963,10,201,30.9,21.6,112,2.8
1963,11,30,28.5,15.1,67,3.6
1963,12,0,26.3,11.9,41,3.7
1964,1,2,24.5,10.3,37,3.1
1964,2,1,28.5,13.4,33,2.7
1964,3,2,35.2,19.3,16,2.1
1964,4,19,38.1,23.8,27,2
1964,5,61,37.6,25.2,63,2.1
1964,6,156,36.1,26.9,152,1.2
1964,7,333,31.4,25.6,128,1.3
1964,8,174,32.2,26.3,130,-1.1
1964,9,158,31.8,25.4,110,-1.4
1964,10,99,31,23,103,-1.2
1964,11,0,28.3,15.2,55,-1.1
1964,12,0,25.9,11.3,38,-0.9
1965,1,0,25.3,10.8,32,-1.3
1965,2,4,28.2,12.8,25,-1.5
1965,3,16,33,15.9,26,-1.1
1965,4,7,37.9,22.8,13,-1.4
1965,5,16,39.4,26.6,20,-2.1
1965,6,128,36.3,27.2,126,-2.7
1965,7,237,32.1,25.8,131,-3.3
1965,8,365,31.4,25.7,118,-2.1
1965,9,176,31.5,24.9,106,-2
1965,10,50,30.5,21,87,-2.4
1965,11,11,28.8,14.8,53,-2.2
1965,12,0,24.6,10.7,33,-2.2
1966,1,66,23.8,10.6,65,1.6
1966,2,5,29.3,14.2,33,1.6
1966,3,2,34.7,17.8,16,1.1
1966,4,4,39.7,23.5,12,0.6
1966,5,30,40.1,27,34,-1.3
1966,6,104,36,26.9,103,-2.4
1966,7,182,33,26.2,140,-3.6
1966,8,365,32,25.9,119,-3.1
1966,9,88,31.4,24.5,106,-4.3
1966,10,33,30,20.2,80,-4.8
1966,11,28,28.7,15.5,54,-4.2
1966,12,2,25.1,10.8,30,-4.1
1967,1,8,24.5,10.9,29,-4.1
1967,2,2,29.6,13.4,15,-4.3
1967,3,34,31.8,17.1,41,-3
1967,4,24,37.5,21,29,-2.4
1967,5,21,38.8,25.7,24,-2.9
1967,6,130,36.5,26.9,127,-3.5
1967,7,217,33,26.2,134,-4.2
1967,8,267,32.1,25.7,125,-4.5
1967,9,133,31.5,24.6,107,-4.8
1967,10,31,30.3,20.4,81,-5.2
1967,11,0,27.1,12.9,43,-5.2
1967,12,1,26.3,11.9,29,-5
1968,1,36,23.7,10.6,47,-3.9
1968,2,1,27,12,21,-3.9
1968,3,7,33.5,18.3,18,-3.6
1968,4,4,38,22.7,11,-3.6
1968,5,24,39.3,26.2,28,-4
1968,6,299,33.9,25.6,128,-1.6
1968,7,264,31.8,26.2,117,2.8
1968,8,217,32.3,25.9,128,2.4
1968,9,127,32.6,25.9,116,1.1
1968,10,195,29.8,20.7,111,2.5
1968,11,0,27.9,15,52,2.3
1968,12,1,25.9,11.9,38,2.3
1969,1,4,24.7,9.4,35,1.8
1969,2,4,28.9,13,33,1.6
1969,3,14,35.3,19.1,26,1.6
1969,4,12,39.2,23.1,20,1.4
1969,5,72,38.7,25.6,74,2.2
1969,6,189,35.9,26.9,143,2.2
1969,7,283,32.4,26.3,126,2
1969,8,289,31.3,25.5,112,2.7
1969,9,198,31.6,25.1,106,2.7
1969,10,35,30.9,21.3,85,1.5
1969,11,35,29.1,15.5,59,2
1969,12,0,25.9,11.4,31,1.7
1970,1,27,24.1,10.8,42,1.9
1970,2,6,27.4,13.1,30,1.8
1970,3,8,33.5,18.4,21,1.6
1970,4,3,39.5,23.5,10,0.9
1970,5,35,39.8,26.8,39,-0.3
1970,6,183,35,26,143,0.2
1970,7,307,32.3,26,122,0.5
1970,8,210,32.3,26.3,127,0.3
1970,9,249,31.3,25.3,104,1.3
1970,10,110,30.9,21.9,108,1.4
1970,11,4,28.1,14.3,56,1.3
1970,12,0,25.7,10,34,1.4
1971,1,24,23.7,10.5,43,1.7
1971,2,9,26.6,11.5,35,2
1971,3,4,33.6,17.1,23,1.8
1971,4,58,35.6,22,65,3.5
1971,5,62,36.5,24.6,65,3.8
1971,6,316,33.6,25.8,129,5.6
1971,7,309,31.3,25.2,120,6.7
1971,8,418,30.8,24.9,106,8.6
1971,9,215,31.8,24.9,105,8.2
1971,10,131,30.5,21.6,106,8
1971,11,11,27.2,14.1,55,7.5
1971,12,0,26.1,10.7,38,7.1
1972,1,12,25,10.3,37,6.5
1972,2,18,25.4,11.2,43,6.6
1972,3,2,34.2,18.1,22,5.9
1972,4,5,39,22,16,5.1
1972,5,11,40.4,27,17,3.5
1972,6,98,36.9,26.4,97,1.6
1972,7,177,33.3,26.3,132,-3.8
1972,8,215,31.8,25.3,130,-4.8
1972,9,208,32.3,24.7,114,-4.7
1972,10,48,31.2,20.4,86,-4.9
1972,11,7,28,13.9,47,-4.5
1972,12,0,25.6,10.7,32,-4.3
1973,1,37,25,10.8,49,-3.2
1973,2,6,28.4,13.8,30,-2.9
1973,3,5,32.7,16.7,17,-2.7
1973,4,4,39.5,23.6,11,-2.8
1973,5,48,37.5,25.2,50,-2.4
1973,6,332,34.7,25.6,136,2.4
1973,7,198,33,25.9,133,2.4
1973,8,216,32.1,25.7,126,2
1973,9,331,31.5,25.2,97,4.2
1973,10,211,29.9,22,106,5.6
