Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.0625 North,83.6042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,28,25.3,11.6,52,-0.7
1958,2,4,27.5,13.6,42,-0.9
1958,3,20,35,17.9,50,-0.7
1958,4,3,40.5,24.5,19,-0.7
1958,5,1,42.7,28.3,11,-1.2
1958,6,55,41.5,29.8,59,-2.2
1958,7,332,34.2,27,131,-1.9
1958,8,360,32.3,26.5,114,-1.3
1958,9,177,32.5,25.3,110,-1.3
1958,10,63,32.3,21.5,94,0.6
1958,11,0,29.2,14,51,0.9
1958,12,0,25.6,11.3,41,0.9
1959,1,80,23.3,10.5,71,2.7
1959,2,3,26.7,12.2,43,2.7
1959,3,5,34.4,17.8,52,2.7
1959,4,3,39.4,23.9,24,2.7
1959,5,14,41.7,27.3,26,2.6
1959,6,51,39.2,28.4,56,1.4
1959,7,245,33.4,27.1,144,-1.7
1959,8,323,32.5,26.7,126,-2.1
1959,9,136,31.8,25.3,114,-2.6
1959,10,106,30.8,22.5,108,-0.7
1959,11,1,28.5,13.8,57,1.9
1959,12,0,25.1,10.5,41,2
1960,1,5,23.1,9.4,39,1.5
1960,2,0,29.7,13.8,39,1.2
1960,3,27,32.6,17.2,63,1.9
1960,4,1,39.8,22.8,19,1.5
1960,5,4,42.1,27.3,14,1.1
1960,6,69,39.9,29,73,-1.2
1960,7,383,32.8,26.8,129,0.5
1960,8,386,32.3,26.9,124,1.3
1960,9,153,31.7,26,107,0.8
1960,10,31,31.6,20.9,90,-0.2
1960,11,0,28.1,12.2,47,-0.7
1960,12,0,25.2,9.1,33,-0.8
