Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.2292 North,86.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,22,25.7,12,46,0.3
1958,2,5,27.2,13.6,37,0
1958,3,1,34.3,17.4,18,-0.4
1958,4,16,38.8,23.7,25,0
1958,5,29,38.9,26.8,34,-1
1958,6,138,37.2,27.6,136,-1.9
1958,7,202,33.5,26.9,128,-2.9
1958,8,532,31.6,26.5,108,-0.7
1958,9,176,32.8,26,103,-0.8
1958,10,117,32.3,23.3,110,1.8
1958,11,1,29.2,15.6,54,1.7
1958,12,0,25.8,12.5,37,1.7
1959,1,42,23.9,11.1,52,2.6
1959,2,0,26.6,12.6,36,2.6
1959,3,10,33.4,17.3,32,2.5
1959,4,16,38,23.4,26,2.4
1959,5,27,38.3,25.8,33,1.5
1959,6,188,34.9,26.4,138,1.5
1959,7,186,32.6,26.8,129,-1.3
1959,8,246,32.3,26.5,118,-2
1959,9,209,31.6,25.1,104,-1.5
1959,10,190,30.2,23.3,102,2
1959,11,0,28.1,14.9,52,1.8
1959,12,0,25.2,11.5,34,1.8
1960,1,0,23.8,9.8,32,1.3
1960,2,0,29.6,14.1,30,1.2
1960,3,21,31.8,16.7,37,1.5
1960,4,0,39.4,22.6,10,0.7
1960,5,31,38.5,26.1,35,-1.1
1960,6,139,35.7,26.7,136,-1.9
1960,7,257,32,26.5,122,-2.3
1960,8,211,32.3,27,124,-3.1
1960,9,238,31.6,26,99,-2
1960,10,52,31.2,22.2,91,-2.4
1960,11,0,27.9,13.9,45,-2.5
1960,12,0,26.3,11.3,28,-2.5
1961,1,12,24.3,11.3,31,-2.4
1961,2,23,25.2,12.2,42,-1.7
1961,3,2,33.5,19,16,-1.9
1961,4,6,38.8,22.9,14,-2.1
1961,5,45,38.1,26,48,-2
1961,6,220,34.5,25.9,141,-1.2
1961,7,132,33,26.5,129,-2.5
1961,8,312,32.4,26.9,124,-2.7
1961,9,150,32.2,25.8,116,-3.2
1961,10,190,31.2,22.1,106,-1.2
1961,11,3,26.8,14,53,-0.9
1961,12,1,22.9,8.9,36,-0.6
1962,1,24,23.4,8.8,44,2.1
1962,2,9,27.1,12.8,37,2.4
1962,3,8,33.9,16.1,31,2.3
1962,4,12,37.5,22.3,24,2.1
1962,5,43,37.2,25.2,48,1.8
1962,6,190,34.8,26.4,132,1.9
1962,7,180,33.4,26.8,133,0.7
1962,8,468,31.6,26.2,111,2.2
1962,9,142,32.4,25.8,112,1.1
1962,10,60,30.8,21.3,89,0.6
1962,11,0,28.7,14,47,-1.3
1962,12,1,25,10.8,30,-1.2
1963,1,3,23.9,8.7,29,-1.5
1963,2,1,29.6,12.8,24,-1.8
1963,3,13,32.8,17.1,24,-1.6
1963,4,27,36.5,21.7,33,-1
1963,5,56,36.4,24.5,59,-0.7
1963,6,257,34.6,26,139,1.7
1963,7,259,32.4,26.6,112,2
1963,8,240,32.1,26.7,124,1.7
1963,9,200,32.6,25.7,113,1.6
1963,10,184,31.2,22.4,112,2.9
1963,11,27,28,15.6,65,3.6
1963,12,0,25.7,12,39,3.7
1964,1,2,24,10.2,36,3.1
1964,2,1,27.9,13.2,36,2.8
1964,3,2,34.6,18.7,20,2.2
1964,4,20,37.2,23.3,28,2
1964,5,63,36.8,24.7,67,2.1
1964,6,152,35.7,26.6,149,1
1964,7,366,31.5,25.9,127,1.5
1964,8,189,32.2,26.6,129,0.6
1964,9,174,32.2,26.1,112,-1.2
1964,10,93,31.7,23.5,102,-1
1964,11,0,28.2,15.4,53,-1
1964,12,0,25.5,11.1,36,-0.8
1965,1,0,24.9,10.4,31,-1.2
1965,2,3,27.7,12.4,27,-1.4
1965,3,17,32.3,15.7,28,-1.1
1965,4,7,37.2,22.1,15,-1.4
1965,5,17,38.5,25.9,22,-2.1
1965,6,147,35.7,26.9,142,-2.6
1965,7,246,32.1,26.1,129,-3.2
1965,8,414,31.4,26,118,-1.9
1965,9,180,32,25.4,107,-1.8
1965,10,51,30.9,21.5,87,-2.2
1965,11,13,28.3,15.1,54,-1.9
1965,12,0,24.1,10.6,32,-1.9
1966,1,60,23.2,10.6,61,1.5
1966,2,5,28.7,14.2,34,1.6
1966,3,1,34.3,17.5,20,1.2
1966,4,4,38.7,22.9,14,0.6
1966,5,32,39.2,26.3,37,-1.2
1966,6,98,35.6,26.6,98,-2.6
1966,7,205,33,26.4,137,-3.6
1966,8,436,31.8,26.3,117,-2.5
1966,9,88,31.9,25,106,-3.7
1966,10,32,30.3,20.7,79,-4.2
1966,11,23,28.6,15.7,52,-3.8
1966,12,1,24.7,10.9,28,-3.8
1967,1,6,23.9,10.7,28,-3.9
1967,2,2,29.3,13.2,18,-4.1
1967,3,33,31.5,16.6,40,-3
1967,4,25,36.6,20.6,30,-2.4
1967,5,24,38,25.1,27,-2.8
1967,6,138,35.8,26.5,134,-3.5
1967,7,221,33,26.4,132,-4.2
1967,8,277,32,26.1,125,-4.6
1967,9,133,32,25.2,109,-5
1967,10,30,30.7,20.9,80,-5.4
1967,11,0,26.8,13.4,44,-5.4
1967,12,0,25.7,11.9,28,-5.2
1968,1,36,22.8,10.4,46,-4
1968,2,1,26.5,12,25,-3.9
1968,3,10,33,18,21,-3.6
1968,4,5,37.2,22.2,12,-3.6
1968,5,24,38.4,25.7,28,-4
1968,6,283,33.3,25.4,127,-1.9
