Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.5625 North,83.9792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,26,24.4,11.5,47,-0.9
1958,2,2,26.8,13.3,37,-0.9
1958,3,14,34.2,17.7,36,-0.9
1958,4,3,40,25,15,-0.9
1958,5,2,42.1,28.5,10,-1.4
1958,6,68,40.7,29.4,70,-2.3
1958,7,256,33.9,26.7,136,-2.5
1958,8,360,32,26.6,109,-1.8
1958,9,163,32.5,25.5,111,-1.8
1958,10,71,32.3,21.8,95,-1
1958,11,0,29.3,14,49,-0.8
1958,12,0,25.1,11,37,-0.6
1959,1,78,22.6,10.4,67,2.8
1959,2,2,26.1,12,40,3
1959,3,9,33.7,17.5,46,3.1
1959,4,3,39,24.4,20,3.1
1959,5,15,41.2,27.5,25,3
1959,6,72,38.5,28.1,75,1.9
1959,7,189,33.1,26.9,147,-2
1959,8,288,32.4,26.7,126,-2.7
1959,9,144,31.7,25.4,116,-3.2
1959,10,105,30.7,22.9,107,-1.4
1959,11,1,28.4,14.1,53,-1
1959,12,0,24.6,10.3,35,-0.6
1960,1,3,22.5,9.3,32,-0.9
1960,2,0,29,13.5,32,-0.8
1960,3,32,32,16.9,52,1.7
1960,4,1,39.3,23.3,13,1.4
1960,5,7,41.6,27.5,14,1
1960,6,84,39,28.5,85,-1.1
1960,7,308,32.5,26.5,128,-0.7
1960,8,302,32.4,27,125,0.2
1960,9,170,31.6,26.1,106,0
1960,10,32,31.4,21.4,88,-0.4
1960,11,0,28,12.5,44,-0.6
1960,12,0,24.7,9.1,30,-0.7
1961,1,31,22.9,10.7,44,0.4
1961,2,15,24.9,11.6,42,0.6
1961,3,4,33.2,18.8,25,-0.3
1961,4,1,39.4,23.9,12,-0.2
1961,5,3,41.3,27.8,11,-0.7
1961,6,142,37.5,27.3,138,0.5
1961,7,162,33.3,26.4,144,-1.8
1961,8,300,32.5,26.8,126,-2.4
1961,9,133,31.9,25.9,119,-3.2
1961,10,89,31.4,21,100,-1.9
1961,11,1,26.6,12.9,46,-1.7
1961,12,3,21.6,7.6,31,-1.4
1962,1,29,22,8.1,45,-0.9
1962,2,8,26.2,12.1,34,1.3
1962,3,8,33.4,16.2,29,1.2
1962,4,4,38.2,23.5,16,1.2
1962,5,6,40.4,27.2,13,0.9
1962,6,119,38.5,28.8,118,1
1962,7,232,34.1,26.8,142,-0.8
1962,8,346,31.7,26.2,117,0
1962,9,195,31.7,25.2,114,0.2
1962,10,17,31.2,20.1,77,-0.9
1962,11,0,28.8,12.8,45,-1.2
1962,12,2,24.2,9.8,31,-1.3
1963,1,9,22.5,7.7,32,-1.5
1963,2,2,28.7,12,28,-1.7
1963,3,17,31.8,16.9,33,-1.5
1963,4,2,37,23.1,12,-1.4
1963,5,16,39.3,26.3,22,-1.1
1963,6,133,37.3,27.1,131,-0.8
1963,7,282,32.8,26.2,120,-0.7
1963,8,395,32.3,26.7,121,1.2
1963,9,183,32.3,25,122,1
1963,10,70,31.6,21.9,98,1.5
1963,11,16,28.2,15.5,58,2
1963,12,0,24.9,10.2,36,1.9
1964,1,7,22.7,9.1,36,1.4
1964,2,2,26.7,12.7,34,1.2
1964,3,3,34.5,18.6,25,0.7
1964,4,3,38.5,24.9,15,0.6
1964,5,13,39.8,26.1,20,0.6
1964,6,127,38.8,27.5,126,-0.2
1964,7,301,31.8,25.6,129,0.2
1964,8,232,32.4,26.7,129,-0.9
