Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.7708 North,85.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,30,25.4,11.6,53,-0.8
1958,2,4,27.2,14.2,42,-0.9
1958,3,7,34.5,18,37,-1.1
1958,4,6,39.8,25.1,21,-1
1958,5,4,41.7,28.1,13,-1.5
1958,6,97,40,28.7,99,-2.4
1958,7,281,34.5,26.1,126,-2.4
1958,8,405,32,26.2,111,-1.5
1958,9,191,32.6,25,106,-1.2
1958,10,94,31.9,22.1,104,1.5
1958,11,0,28.8,15.2,52,1.5
1958,12,1,25.5,11.9,41,1.5
1959,1,71,23.4,10.6,69,3.1
1959,2,1,26.4,12.8,43,3
1959,3,7,33.6,17.7,49,3.2
1959,4,7,38.7,24.9,25,3.1
1959,5,15,40.9,27.2,25,2.7
1959,6,117,37.7,27.3,118,1.9
1959,7,218,33.6,26.1,137,0.8
1959,8,259,32.2,26.5,123,-2.3
1959,9,153,31.4,24.9,106,-2.7
1959,10,113,30.2,22.6,105,-1.1
1959,11,0,28,14.7,54,-0.8
1959,12,0,24.7,10.9,38,1.5
1960,1,2,23.4,9.6,36,1
1960,2,0,29.4,14.3,38,0.8
1960,3,25,31.9,17.2,56,1.4
1960,4,1,39.6,23.9,17,1
1960,5,7,41.1,27.2,16,-0.4
1960,6,113,38.3,27.7,114,-1.4
1960,7,302,32.9,25.7,124,-1.3
1960,8,310,32.3,26.9,124,-1.2
1960,9,187,31.5,25.4,104,-1
1960,10,33,31,21.3,88,-1.4
1960,11,0,27.5,13.3,43,-1.5
1960,12,0,25.1,10,31,-1.6
1961,1,27,23.7,10.9,44,-1.3
1961,2,25,24.7,12.6,50,-0.6
1961,3,0,33.4,19.4,27,-0.8
1961,4,1,39.4,24.4,15,-1
1961,5,7,40.9,27.4,16,-1.3
1961,6,211,36.6,26.5,147,0.8
1961,7,157,33.8,25.7,130,-1
1961,8,308,32.4,26.6,120,-1.5
1961,9,132,31.9,25.1,110,-2.1
1961,10,108,30.9,21.1,107,-0.7
1961,11,1,26.7,13.5,53,1.3
1961,12,6,22.5,8.1,40,1.6
1962,1,25,22.8,8.5,49,1.9
1962,2,10,26.5,13.2,43,2.1
1962,3,5,33.8,16.6,47,2.3
1962,4,6,38.3,23.9,24,2.3
1962,5,8,40.1,26.7,19,1.8
1962,6,156,37.6,27.6,146,1.7
1962,7,225,34.6,26.1,132,0.8
1962,8,361,31.8,25.9,114,0.7
1962,9,183,32,24.9,111,0.6
1962,10,29,30.4,20.3,80,-1.2
1962,11,0,28.3,13.6,46,-1.3
1962,12,4,24.7,10.3,35,-1.3
1963,1,6,23.3,8.2,33,-1.6
1963,2,2,29.1,13.3,31,-1.8
1963,3,17,32.7,17.3,36,-1.5
1963,4,5,37.5,23.3,17,-1.5
1963,5,29,39.1,25.8,36,-0.9
1963,6,195,36.7,26.5,158,0.4
1963,7,256,33.3,25.6,115,-0.2
1963,8,395,32.3,26.4,122,1.1
1963,9,185,32.6,24.6,114,1
1963,10,126,31.3,21.5,114,2.4
1963,11,11,28.3,15.6,61,2.8
1963,12,0,25.4,10.9,40,2.8
1964,1,7,23.6,9.6,41,2.3
1964,2,4,27.2,13.6,41,2.1
1964,3,1,34.6,19,35,1.8
1964,4,8,38.3,24.9,24,1.7
1964,5,22,39.6,25.9,31,1.6
1964,6,188,37.9,26.8,180,1.5
1964,7,346,32.2,24.7,126,1.7
1964,8,263,32.2,26.4,125,1.5
1964,9,175,32,25.1,112,1.2
1964,10,80,31.7,22.1,100,1.6
1964,11,8,27.9,14.7,53,1.8
1964,12,0,24.9,10.5,39,1.7
1965,1,0,24.4,10.3,35,1
1965,2,1,27.1,13.3,35,0.6
1965,3,11,32.2,16.2,35,0.6
1965,4,6,37.5,23.4,20,-0.1
1965,5,4,41.2,27.1,12,-1.1
1965,6,80,39,27.8,82,-2.1
1965,7,274,33.5,25.5,136,-2.3
1965,8,359,32.1,25.8,118,-2
1965,9,169,32.3,24.3,110,-2
1965,10,31,30.9,20.8,82,-2.2
1965,11,6,28.6,14.9,51,-2.1
1965,12,1,24.1,9.6,34,-2.1
1966,1,46,23.5,10.4,55,-1.1
1966,2,6,28.8,14.6,38,-1
1966,3,0,33.9,18.1,27,-1.3
1966,4,0,39.5,24.4,14,-1.4
1966,5,10,41.9,27.6,19,-1.6
1966,6,139,37.6,27.3,139,-1.8
1966,7,143,34.6,25.8,137,-3.4
1966,8,339,32.1,26,118,-4
1966,9,55,32.3,24.5,92,-5.4
1966,10,12,30.9,20.1,67,-6.1
1966,11,17,28.8,15.4,47,-6
1966,12,7,24,10.2,29,-5.9
1967,1,2,23.1,10.1,24,-6.1
1967,2,1,28.8,13.8,17,-6.6
1967,3,28,31.3,17.2,36,-5.7
1967,4,9,37.4,22.1,16,-5.2
1967,5,7,40.6,26.4,12,-5.2
1967,6,98,38.7,27.6,97,-5.7
1967,7,226,34.2,25.6,140,-6
1967,8,427,31.9,25.9,123,-5.2
1967,9,232,31.9,24.4,109,-4
1967,10,13,30.8,20,77,-4.5
1967,11,0,27.2,13.3,45,-4.4
1967,12,6,25.3,11.3,34,-4.1
1968,1,52,22.4,9.9,59,-2.8
1968,2,3,25.9,12.3,34,-2.7
1968,3,3,32.8,18.1,28,-2.7
1968,4,0,37.8,23.6,14,-2.7
1968,5,5,41.1,26.9,13,-3
1968,6,224,35.5,26.3,152,-1.8
1968,7,198,33,25.5,123,-2.2
1968,8,287,32.5,25.9,127,-2.4
1968,9,103,33.1,25.3,111,-3.3
1968,10,59,30.1,20.7,91,-2.9
1968,11,0,27.8,15,46,-2.7
1968,12,4,25.1,11.3,38,-2.5
1969,1,7,23.8,9.2,35,-2.6
1969,2,5,28.3,13.6,36,-2.6
1969,3,10,35,19.2,30,-2.6
1969,4,6,39,24.4,17,-2.4
1969,5,27,40.2,26,33,-1.8
1969,6,159,38.1,27.4,153,-1.6
1969,7,324,33.4,25.7,129,-1.4
1969,8,340,31.7,25.6,114,-0.8
1969,9,207,31.8,24.8,108,1
1969,10,8,31.5,21.2,76,-1
1969,11,20,29.2,15.7,54,-0.7
1969,12,0,25.1,10.8,30,-0.9
1970,1,36,23.3,10.5,50,0.5
1970,2,10,26.3,13.1,35,0.1
1970,3,13,32.6,18.2,39,0.6
1970,4,1,39.5,24.5,15,0.3
1970,5,25,41.5,27.4,33,0.3
1970,6,182,36.4,26,160,0.6
1970,7,303,33.4,25.3,124,0.6
1970,8,255,32.6,26.5,131,-0.3
1970,9,273,31.5,24.9,105,1.3
1970,10,36,31.4,21.6,83,0.8
1970,11,1,27.9,14.4,50,-0.2
1970,12,0,25,9.6,32,-0.8
1971,1,39,22.7,9.9,50,0.6
1971,2,7,25.7,11.8,36,0.7
1971,3,4,33,17.1,33,0.6
1971,4,21,35.9,22.8,35,1.3
1971,5,42,38.2,25.1,49,2.2
1971,6,378,34.7,25.7,139,4.8
1971,7,352,32.1,24.4,117,6.3
1971,8,526,30.8,25,104,8
1971,9,124,32.6,24.4,108,6.4
