Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.5625 North,87.5625 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,20,26.3,10.8,43,0.5
1958,2,5,27.2,12.4,35,0.7
1958,3,1,33.7,15.9,18,-0.4
1958,4,20,37.3,22.1,29,0
1958,5,46,36,25.3,50,-1.1
1958,6,169,35.1,26.6,152,-2.1
1958,7,235,33,26.4,127,-3.2
1958,8,610,31.5,26.3,105,-0.6
1958,9,179,32.6,25.6,102,-0.9
1958,10,111,32.4,22.6,107,-0.6
1958,11,4,29.7,14.7,53,1.6
1958,12,0,26.6,11.5,34,1.6
1959,1,42,24.5,9.9,52,2.5
1959,2,0,26.5,11.4,34,2.5
1959,3,13,32.8,15.8,34,2.5
1959,4,18,36.4,21.8,29,2.4
1959,5,44,35.5,24.3,49,1.4
1959,6,254,32.9,25.3,126,1.7
1959,7,227,32,26.2,125,0.7
1959,8,299,32.2,26.2,116,0.6
1959,9,211,31.5,24.7,103,0.7
1959,10,218,30.1,22.8,99,2.6
1959,11,0,28.4,14.1,51,2.3
1959,12,0,25.9,10.5,32,2.2
1960,1,0,24.3,8.7,31,1.6
1960,2,0,29.4,12.8,30,1.4
1960,3,23,31.2,15.1,38,1.8
1960,4,0,38,20.9,9,0.8
1960,5,55,36,24.6,58,-1.2
1960,6,177,33.7,25.6,147,-2
1960,7,322,31.5,26,118,-2.5
1960,8,227,32.2,26.6,124,-3.1
1960,9,259,31.4,25.5,98,-1.7
1960,10,54,31.2,21.6,89,-2.3
1960,11,1,28.2,13,44,-2.4
1960,12,0,27,10.4,27,-2.4
1961,1,10,25,10.3,30,-2.3
1961,2,20,25.5,11,38,-1.7
1961,3,3,33,17.4,17,-1.9
1961,4,9,37.3,21.3,17,-2.1
1961,5,74,35.3,24.5,76,-2
1961,6,271,32.7,25.1,135,-1.2
1961,7,167,32.5,26,134,-2.3
1961,8,359,32.3,26.5,124,-2
1961,9,138,32,25.4,118,-2.9
1961,10,206,31.2,21.4,104,-0.9
1961,11,4,26.8,13.2,51,-0.7
1961,12,0,23.4,8,33,1.7
1962,1,24,24,7.7,43,2.1
1962,2,9,27,11.6,36,2.3
1962,3,9,33.1,14.6,32,2.4
1962,4,13,36,20.7,24,2
1962,5,75,34.5,23.7,79,1.9
1962,6,247,32.8,25.4,124,2
1962,7,217,32.8,26.1,131,0.8
1962,8,545,31.5,26,108,3
1962,9,133,32.3,25.3,111,1.5
1962,10,62,30.9,20.5,88,0.9
1962,11,0,29,13.1,46,-1.7
1962,12,1,25.6,9.9,29,-1.6
1963,1,2,24.7,7.6,29,-1.9
1963,2,0,29.6,11.4,23,-2.2
1963,3,15,32.1,15.7,25,-2
1963,4,31,34.8,20.2,37,-1.4
1963,5,84,33.7,23.1,85,-1
1963,6,305,32.6,25,129,1.6
1963,7,341,31.9,26.1,111,2.1
1963,8,264,32,26.5,122,1.5
1963,9,200,32.5,25.2,111,1.2
1963,10,182,31.1,21.7,110,2.4
1963,11,29,28,14.8,65,3.1
1963,12,0,26.4,10.7,38,3.2
1964,1,1,24.7,8.9,35,2.6
1964,2,1,27.9,11.9,36,2.3
1964,3,4,34,17.1,19,1.7
1964,4,21,35.7,21.7,29,1.4
1964,5,96,34,23.3,97,1.7
1964,6,180,33.8,25.7,153,-1.1
1964,7,492,31.1,25.5,125,0.7
1964,8,218,32.1,26.3,127,-0.9
1964,9,181,32,25.7,112,-1.3
1964,10,105,31.8,22.6,105,-1.1
