Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.1042 North,87.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,17,25.4,11.5,37,0.7
1958,2,5,26.6,12.4,27,0.7
1958,3,6,32.6,15.7,16,-0.5
1958,4,39,36.1,21.9,44,0.1
1958,5,86,34.6,24.8,86,-1.2
1958,6,264,34.2,26.1,140,-2.3
1958,7,327,32.8,26.1,129,-3.2
1958,8,731,31.5,25.9,100,-0.7
1958,9,246,32.4,25.1,103,-1.2
1958,10,95,32.3,22.6,100,-1.4
1958,11,6,29.8,14.7,52,-1.2
1958,12,0,26.3,11.9,30,-1
1959,1,30,23.9,10.6,43,1.6
1959,2,1,26,11.6,27,1.6
1959,3,34,32,15.6,44,1.8
1959,4,34,35.4,21.8,39,1.7
1959,5,89,33.9,23.9,90,0.7
1959,6,427,32.3,25,121,0.9
1959,7,349,31.8,25.9,127,-1.2
1959,8,355,32.1,25.6,115,-1.4
1959,9,302,31.2,24.1,103,-1.2
1959,10,216,29.7,22.8,98,1.6
1959,11,0,28.4,14.7,51,1.3
1959,12,0,25.9,11.2,31,1.3
1960,1,0,23.6,9.1,28,0.9
1960,2,1,28.8,12.8,22,-0.3
1960,3,54,30.5,15,62,1
1960,4,5,36.7,20.8,11,-0.9
1960,5,112,34.7,24.1,110,-1.2
1960,6,315,32.9,25.1,140,-2
1960,7,465,31.2,25.8,113,-2
1960,8,291,32.1,26.2,122,-2.5
1960,9,393,31,25.1,99,-1.2
1960,10,56,30.7,21.7,87,-1.9
1960,11,0,28.1,13.4,44,-2.1
1960,12,0,26.7,11.2,26,-2.2
1961,1,4,24.4,11,23,-2.3
1961,2,21,25.5,11.2,34,-1.8
1961,3,14,32.1,16.8,21,-2
1961,4,21,36.1,21.1,26,-2.2
1961,5,126,34,24.1,123,-2.2
