Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.1458 North,86.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,31,25.6,11.8,54,0.3
1958,2,3,27.2,13.2,42,0
1958,3,3,34.2,17.6,37,-0.4
1958,4,8,39.8,25,24,0
1958,5,13,40.9,28.1,22,-1
1958,6,119,39.1,28.6,120,-1.9
1958,7,195,33.7,26.8,132,-2.7
1958,8,449,31.8,26.2,112,-1.5
1958,9,171,32.2,25.5,104,-1.4
1958,10,116,31.8,22.6,111,-0.6
1958,11,0,29.1,15,55,1.4
1958,12,1,25.9,12.1,42,1.5
1959,1,66,23.7,10.8,66,2.9
1959,2,0,26.5,12,42,2.9
1959,3,12,33.4,17.6,58,3.2
1959,4,10,39,24.8,29,3.2
1959,5,22,40.1,27.1,32,2.6
1959,6,148,36.7,27.1,143,2.2
1959,7,166,32.7,26.8,136,0.6
1959,8,208,32.3,26.5,122,-2.8
1959,9,162,30.9,24.9,105,-3.4
1959,10,154,29.8,22.9,103,-2
1959,11,0,28.1,14.4,50,-1.7
1959,12,0,25.3,11,35,-1.4
1960,1,1,23.6,9.7,32,-1.8
1960,2,0,29.4,13.4,31,-1.7
1960,3,28,31.7,17,50,-1
1960,4,0,40.1,24,13,-1.3
1960,5,17,40.4,27.2,24,-1.6
1960,6,120,37.4,27.5,120,-2.3
1960,7,258,32.1,26.4,127,-2.3
1960,8,218,32.4,26.9,126,-2.8
1960,9,216,31,25.6,100,-2.1
1960,10,45,30.8,21.7,89,-2.4
1960,11,0,28,13.2,46,-2.4
1960,12,0,26.2,10.6,33,-2.4
1961,1,20,24,11.2,39,-2.2
1961,2,19,25.1,11.7,44,-1.6
1961,3,0,33.3,19.2,27,-1.8
1961,4,2,39.7,24.3,16,-2
1961,5,22,40.1,27.3,30,-2
1961,6,196,36,26.6,149,-1.2
1961,7,123,33.1,26.4,123,-2.7
1961,8,273,32.5,26.6,124,-3.2
1961,9,128,31.5,25.4,113,-4
1961,10,175,30.7,21.5,107,-2.2
1961,11,2,26.7,13.4,54,-1.8
1961,12,2,22.9,8.5,40,-1.3
1962,1,32,23.1,8.6,52,-0.6
1962,2,8,26.9,12.2,41,2.2
1962,3,8,33.6,16.4,51,2.3
1962,4,9,38.4,23.7,27,2.3
1962,5,23,39.1,26.5,33,1.9
1962,6,167,36.5,27.2,139,2
1962,7,191,33.6,26.6,135,0.9
1962,8,394,31.7,26,115,1.5
1962,9,153,31.7,25.3,110,0.9
1962,10,51,30.4,20.6,86,-0.4
1962,11,0,28.7,13.4,49,-1
1962,12,2,25,10.4,35,-0.9
1963,1,6,23.7,8.4,35,-1.3
1963,2,1,29.4,12.1,32,-1.4
1963,3,17,32.5,17.4,39,-1.3
1963,4,11,37.3,23.2,23,-1
1963,5,38,38.3,25.8,44,-0.7
1963,6,228,36.2,26.7,150,1.3
1963,7,238,32.5,26.4,116,1.4
1963,8,290,32.2,26.4,127,1.6
1963,9,183,32.1,25.1,113,1.4
1963,10,157,30.8,21.9,112,2.6
1963,11,15,27.9,15.3,61,3
1963,12,0,25.9,11.5,41,3
1964,1,6,23.8,9.9,41,2.4
1964,2,1,27.5,12.9,38,2.2
1964,3,2,34.4,18.9,37,1.8
1964,4,10,38.2,24.8,26,1.7
