Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.9375 North,86.8125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,22,25.6,11.3,42,0.6
1958,2,2,26.8,12.6,33,0.6
1958,3,1,33.2,16.1,17,-0.5
1958,4,27,36.6,22.1,35,0.1
1958,5,26,36.2,25.2,30,-1.1
1958,6,180,35.2,26.2,158,-1.6
1958,7,201,32.8,26,133,-2.6
1958,8,594,31.1,25.8,105,-0.8
1958,9,157,31.9,25,104,-1.2
1958,10,126,32,22.4,108,-0.7
1958,11,1,29.5,14.4,53,-0.7
1958,12,0,26.2,11.4,35,1.1
1959,1,38,23.8,10.3,49,2.1
1959,2,0,26.2,11.6,33,2.1
1959,3,22,32.6,16,40,2.3
1959,4,26,35.9,21.8,35,2.3
1959,5,25,35.5,24.3,31,1.3
1959,6,229,33.1,24.9,133,1.5
1959,7,183,31.7,25.8,131,-1.2
1959,8,218,31.8,25.8,117,-2.1
1959,9,200,30.6,24,104,-1.7
1959,10,176,29.5,22.8,101,1.4
1959,11,0,28.2,14.2,52,1.2
1959,12,0,25.8,10.7,34,1.2
1960,1,0,23.7,9.1,30,0.9
1960,2,0,29,13,29,0.7
1960,3,43,31,15.3,55,1.6
1960,4,1,36.9,20.8,9,0.6
1960,5,37,36,24.3,41,-1.1
1960,6,174,33.6,25.2,152,-1.6
1960,7,303,31.2,25.7,118,-1.9
1960,8,255,31.8,26.3,122,-2.2
1960,9,232,30.6,24.9,99,-1.2
1960,10,54,30.4,21.4,88,-1.7
1960,11,0,28,12.9,45,-1.9
1960,12,0,26.7,10.5,29,-2
1961,1,7,24.4,10.9,27,-2
1961,2,16,25.5,11.2,35,-1.6
1961,3,4,32.6,17.4,16,-1.9
