Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.6042 North,76.6458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,16,22.4,8.3,34,-1.4
1958,2,3,24.3,8.9,29,-1.8
1958,3,8,31.6,15.5,23,-1.9
1958,4,1,39,22.4,10,-2
1958,5,2,40.7,25.4,8,-2.2
1958,6,10,41.7,28.2,14,-2.8
1958,7,269,34.4,27.3,137,-1.2
1958,8,178,34.1,26,109,1.8
1958,9,244,32.6,24.8,124,3.8
1958,10,22,32.7,18.5,76,4.4
1958,11,4,28.5,11.4,39,4.7
1958,12,7,23.5,8.5,30,4.7
1959,1,23,20.7,6.3,38,5
1959,2,3,23.6,8.3,30,4.8
1959,3,3,32.4,14.7,20,4.2
1959,4,1,37,20.5,10,3.8
1959,5,19,39.8,25.3,24,3.8
1959,6,20,40.6,28.9,23,3.1
1959,7,161,34.4,26.9,153,2.6
1959,8,207,33.2,25.9,125,2.5
1959,9,143,33.4,25.3,124,2.9
1959,10,13,33.7,19.9,51,2.8
1959,11,6,28.5,10.7,25,2.7
1959,12,0,24,7.2,12,2.3
1960,1,10,20.5,5.8,17,2
1960,2,0,28.3,10.7,5,1.3
1960,3,22,29.4,13.9,25,1.5
1960,4,3,35.6,19.2,5,1.2
1960,5,3,41.2,25.4,5,0.7
1960,6,22,41.2,28.5,23,-0.3
1960,7,167,35.2,26.4,138,0.1
1960,8,270,33,26,114,1.2
1960,9,33,35.4,24.9,89,-0.6
1960,10,60,33.3,17.8,82,1.4
1960,11,0,29,9,28,1.5
1960,12,6,23.5,7.1,19,1.4
1961,1,25,21,6.8,32,1.8
1961,2,29,21.8,7.8,37,2.2
1961,3,1,31.1,15,7,1.6
1961,4,2,36.2,19.4,7,1.4
1961,5,8,40.1,25.2,11,1.1
1961,6,36,39.8,27.8,37,1.2
1961,7,147,34.7,26.8,140,0.8
1961,8,347,32.9,25.7,112,2.8
1961,9,110,33.6,25.4,118,3
1961,10,62,32.5,18,97,4.5
1961,11,3,25.9,10.4,39,4.9
1961,12,5,21.1,4.9,25,4.8
1962,1,24,20.2,4.8,40,5.2
1962,2,7,24.7,10,31,5.2
1962,3,13,30.1,14.4,33,5.3
1962,4,1,37.5,20.9,12,4.9
1962,5,2,40.4,25.3,9,4.1
1962,6,13,41.1,27.7,17,3.1
1962,7,187,35.7,27.3,144,3.1
1962,8,110,34.1,25.9,110,1.9
1962,9,217,32.8,24.1,127,3.1
1962,10,0,33.1,17.1,51,2.8
1962,11,4,28.4,10.5,31,2.6
1962,12,9,22.2,6.9,20,2.5
1963,1,3,21.3,4.5,12,1.9
1963,2,7,26.7,10.2,13,1.5
1963,3,8,30.4,14.1,12,1.1
1963,4,4,35.9,20.1,7,1
1963,5,7,39,24.2,9,0.7
1963,6,34,40.1,28.2,34,0.6
1963,7,94,37.2,27.9,91,-1.8
1963,8,227,32.9,25.7,120,-1.2
1963,9,184,33.7,23.7,129,1.5
1963,10,1,34.5,19,60,1.5
1963,11,3,28.6,13,31,1.7
1963,12,10,23.7,6.3,23,1.8
1964,1,2,19.2,4.2,16,1.3
1964,2,1,24,8.9,10,0.8
1964,3,2,32.5,15.5,7,-0.4
1964,4,2,37.5,20.9,6,-1
1964,5,16,39.1,23.2,18,-0.7
1964,6,11,40.3,28.1,13,-1.3
1964,7,338,33.8,25.9,141,2.2
1964,8,295,33.6,25.7,135,4.1
1964,9,149,33.1,24.3,123,4.7
1964,10,0,33.3,17.7,73,4.8
1964,11,0,28.3,8.8,33,4.7
1964,12,6,22.9,6.5,29,4.6
1965,1,6,23,7.8,29,4.1
1965,2,15,24.2,9,34,4
1965,3,6,30.1,13.6,16,3.4
