Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.3542 North,86.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,29,25.4,11.8,51,0.5
1958,2,3,26.9,13.1,40,0.4
1958,3,1,33.9,17.3,32,-0.1
1958,4,13,38.7,23.8,27,0
1958,5,19,39,26.8,28,-0.7
1958,6,137,37.6,27.7,136,-1.6
1958,7,191,33.4,26.6,131,-2.7
1958,8,510,31.5,26.2,109,-1.3
1958,9,166,32.5,25.7,104,-1.4
1958,10,118,32.2,23.1,111,-0.7
1958,11,0,29.4,15.3,55,-0.5
1958,12,1,25.9,12.1,40,1.3
1959,1,58,23.6,10.8,61,2.6
1959,2,0,26.3,12,40,2.6
1959,3,15,33.1,17.1,53,2.8
1959,4,15,37.9,23.4,32,2.8
1959,5,26,38.2,25.8,35,2.1
1959,6,173,35.3,26.3,145,1.9
1959,7,171,32.4,26.5,133,-1.6
1959,8,216,32.2,26.4,120,-2.6
1959,9,183,31.2,24.9,105,-3
1959,10,164,30,23.3,104,-1.3
1959,11,0,28.3,14.7,53,-1.1
1959,12,0,25.3,11.1,37,-0.8
1960,1,0,23.5,9.6,34,-1.1
1960,2,0,29.3,13.5,33,-1.1
1960,3,30,31.4,16.6,57,1.2
1960,4,0,39,22.6,15,0.6
1960,5,25,38.6,25.9,32,-0.4
1960,6,135,35.9,26.7,134,-1.6
1960,7,269,31.8,26.2,124,-1.9
1960,8,223,32.2,26.8,124,-2.6
1960,9,227,31.3,25.7,100,-1.6
1960,10,49,31,22.1,90,-2.1
1960,11,0,28.1,13.6,47,-2.1
1960,12,0,26.3,10.9,32,-2.1
1961,1,14,24,11.1,35,-2.1
1961,2,18,25.1,11.7,42,-1.5
1961,3,1,33.1,18.8,24,-1.8
1961,4,4,38.6,22.9,16,-2
1961,5,33,38.2,26,39,-2
1961,6,213,34.8,25.9,145,-1.2
1961,7,129,32.8,26.2,128,-2.6
1961,8,301,32.3,26.6,124,-3.1
1961,9,129,31.8,25.6,116,-3.7
1961,10,188,31,21.9,108,-1.6
1961,11,2,26.7,13.7,54,-1.3
1961,12,2,22.8,8.6,38,-0.9
1962,1,32,23.1,8.5,50,2.2
1962,2,9,26.6,12.1,40,2.5
1962,3,11,33.4,16,50,2.6
1962,4,14,37.3,22.4,31,2.6
1962,5,33,37.2,25.2,42,2.2
