Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.1042 North,85.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,24,24.1,11,44,-0.8
1958,2,1,25.6,12.2,35,-0.9
1958,3,2,32.2,15.7,28,-1.2
1958,4,9,36,23.1,22,-1.1
1958,5,8,37.2,25.4,16,-1.9
1958,6,125,37,27.2,125,-2.5
1958,7,189,33.4,26.4,143,-3.5
1958,8,418,31.4,26.3,105,-2.7
1958,9,156,32.5,25.6,107,-2.7
1958,10,89,32.1,22.5,101,-1.9
1958,11,1,29.3,14.2,50,-1.6
1958,12,1,25,10.8,36,-1.3
1959,1,76,22.4,9.9,64,2.7
1959,2,3,24.9,11.2,39,2.8
1959,3,18,31.7,15.6,59,3.4
1959,4,14,35.1,22.8,31,3.5
1959,5,35,36.2,24.5,44,3.2
1959,6,149,34.8,25.9,142,2.7
1959,7,144,32.5,26.4,138,0.9
1959,8,211,32.1,26.4,122,-2.7
1959,9,151,31.2,24.9,111,-3.3
1959,10,113,29.8,23.3,108,-2.4
1959,11,3,28,14.5,41,-2.4
1959,12,0,24.5,10.2,24,-2.5
1960,1,0,22.3,8.7,21,-2.9
1960,2,0,27.8,12.6,17,-3.2
1960,3,37,30.1,14.9,45,-2.3
1960,4,0,35.6,21.6,7,-2.6
1960,5,26,36.8,24.3,30,-2.6
1960,6,129,35.4,26.2,126,-3
1960,7,295,31.9,26.2,125,-2.9
1960,8,220,32.1,26.8,123,-3.2
1960,9,209,31.2,25.7,100,-2.3
1960,10,36,30.5,21.8,85,-2.5
1960,11,0,27.7,13,44,-2.6
1960,12,0,25,9.6,29,-2.5
1961,1,19,22.9,10.3,35,-2.2
1961,2,22,24.2,10.6,42,-1.6
1961,3,4,31.5,16.9,26,-1.7
1961,4,2,35.6,22.1,14,-1.8
1961,5,18,36.5,24.7,25,-2.1
1961,6,194,34.3,25.4,144,-1.5
1961,7,124,32.9,26.2,126,-2.8
1961,8,247,32.3,26.7,128,-3.5
1961,9,93,31.5,25.6,106,-4.6
1961,10,143,30.7,21.4,108,-3.2
1961,11,3,26,13.3,45,-3
1961,12,2,21.5,7.7,29,-2.8
1962,1,30,22.1,7.8,43,-2.1
