Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.2708 North,85.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,28,24.9,11.5,50,0.3
1958,2,3,26.5,13.4,40,-0.2
1958,3,4,33.7,17.4,36,-0.3
1958,4,7,38.5,25.7,23,0
1958,5,6,40.7,27.8,15,-1.1
1958,6,107,39.3,28.7,109,-2
1958,7,203,33.8,26.7,133,-2.7
1958,8,407,31.8,26.5,111,-1.9
1958,9,177,32.2,25.5,107,-1.7
1958,10,98,31.8,22.6,104,-0.9
1958,11,0,28.8,15.1,52,-0.6
1958,12,1,25.2,11.9,40,1.3
1959,1,72,23,10.6,68,3.1
1959,2,1,25.7,12.2,42,3.1
1959,3,10,32.9,17.3,55,3.5
1959,4,10,37.7,25.3,29,3.5
1959,5,21,39.8,26.8,32,3.1
1959,6,132,36.9,27.3,131,2.5
1959,7,165,32.9,26.7,140,0.9
1959,8,221,32.3,26.8,125,-2.6
1959,9,149,31.2,25.1,110,-3.2
1959,10,126,29.8,23.2,106,-1.9
1959,11,0,28,14.8,44,-1.9
1959,12,0,24.6,10.8,29,-1.8
1960,1,1,22.9,9.5,26,-2.1
1960,2,0,28.6,13.5,26,-2.3
1960,3,27,31.3,16.7,40,-1.7
1960,4,1,38.3,24.4,10,-2
1960,5,12,40.1,26.8,18,-2.2
1960,6,115,37.5,27.6,114,-2.8
1960,7,272,32.3,26.4,127,-2.6
1960,8,247,32.3,27.2,127,-2.9
1960,9,208,31.1,25.8,104,-2.1
1960,10,36,30.7,21.8,87,-2.4
1960,11,0,27.7,13.4,45,-2.4
1960,12,0,25.1,9.9,31,-2.3
1961,1,21,23.3,10.9,39,-2
1961,2,24,24.4,11.7,47,-1.3
1961,3,0,32.7,18.8,28,-1.5
1961,4,1,38.2,24.9,16,-1.6
1961,5,12,39.8,27,20,-1.8
1961,6,195,36.1,26.6,151,-0.9
1961,7,126,33.2,26.3,125,-2.3
1961,8,261,32.4,26.9,126,-3
1961,9,109,31.5,25.5,110,-3.9
1961,10,143,30.7,21.6,108,-2.3
1961,11,2,26.3,13.7,47,-2
