Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.6042 North,85.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,25,24.3,11.5,47,-0.6
1958,2,2,26.1,13.6,39,-0.8
1958,3,4,33.1,17.2,41,-1.1
1958,4,9,36.8,26.3,26,-1
1958,5,5,39.4,26.8,16,-1.8
1958,6,91,38.8,28.3,93,-2.6
1958,7,220,33.6,26.9,138,-3.4
1958,8,385,31.7,26.8,109,-2.7
1958,9,184,32.4,26,108,-2.6
1958,10,92,32,22.9,103,-1.8
1958,11,0,29,15.3,50,-1.6
1958,12,1,24.9,11.8,38,-1.3
1959,1,73,22.6,10.5,64,2.6
1959,2,2,25.5,12.4,42,2.6
1959,3,15,32.5,17,60,3.1
1959,4,15,36,25.9,41,3.3
1959,5,33,38.5,25.8,46,3.1
1959,6,117,36.6,27,119,2.5
1959,7,180,32.7,26.9,144,0.9
1959,8,232,32.2,27.1,125,-2.6
1959,9,167,31.4,25.5,112,-3.2
1959,10,123,29.9,23.5,109,-2
1959,11,1,28.1,15.2,48,-1.9
1959,12,0,24.3,10.9,30,-1.7
1960,1,0,22.4,9.3,28,-2
1960,2,0,28.3,13.9,29,-2.2
1960,3,35,30.8,16.4,57,-1.3
1960,4,1,36.5,24.9,14,-1.6
1960,5,18,38.8,25.7,25,-1.8
1960,6,107,37.2,27.4,108,-2.4
1960,7,332,32.1,26.6,126,-2.2
1960,8,230,32.2,27.5,126,-2.4
1960,9,231,31.3,26.3,103,-1.7
1960,10,35,30.7,22,88,-2
1960,11,0,27.7,13.7,44,-2.2
1960,12,0,24.8,10.1,30,-2.2
1961,1,20,22.9,10.9,37,-1.9
1961,2,23,24.3,12.1,47,-1.3
1961,3,2,32.2,18.5,35,-1.5
1961,4,2,36.5,25.4,18,-1.7
1961,5,11,38.5,26,20,-2.1
1961,6,171,35.8,26.4,149,-1.3
1961,7,144,33,26.5,138,-2.7
1961,8,241,32.3,27.2,127,-3.5
1961,9,103,31.7,26,107,-4.6
1961,10,140,30.7,21.8,110,-3.2
1961,11,3,26.3,14.1,40,-3.2
1961,12,5,21.6,8.5,27,-3.1
1962,1,25,22.1,8.3,39,-2.6
1962,2,14,25.6,12.5,33,-2.3
1962,3,8,32.4,15.9,27,-2.5
1962,4,13,35.2,24.9,23,-2.1
1962,5,17,37.6,25.3,23,-2.3
1962,6,151,36.5,27.4,144,-1.8
1962,7,238,33.6,26.8,138,-2.4
1962,8,353,31.6,26.6,116,-2.1
1962,9,180,31.7,25.7,112,-2.1
1962,10,33,30.5,20.8,82,-2.4
1962,11,0,28.4,13.9,45,-2.5
1962,12,4,23.9,10.4,33,-2.3
1963,1,6,22.5,7.8,32,-2.4
1963,2,2,28.1,12.3,32,-2.5
1963,3,16,31,16.8,43,-2.3
1963,4,8,34.1,24.6,22,-2.1
1963,5,36,36.6,24.6,43,-1.7
1963,6,192,35.7,26.3,152,-0.8
1963,7,276,32.5,26.5,119,-0.9
1963,8,382,32.1,27.1,128,1.4
1963,9,195,32.3,25.5,118,1.2
1963,10,98,30.8,22.5,108,1.6
1963,11,25,27.6,16.3,62,2.3
1963,12,0,24.7,11,38,2.3
1964,1,9,22.7,9.4,39,2
1964,2,3,26.1,13.1,39,1.8
1964,3,3,33.3,18.2,44,1.6
1964,4,10,35.3,26.2,28,1.4
1964,5,36,37.1,24.3,46,1.5
1964,6,153,37,26.6,153,1.1
1964,7,392,31.4,25.6,129,1.4
1964,8,159,32.1,27,131,-0.8
1964,9,173,31.7,26.2,114,-1
1964,10,113,32,22.6,113,0.9
1964,11,3,27.9,15,53,0.9
1964,12,0,24.4,10.3,37,1.1
1965,1,0,23.9,9.5,36,0.6
1965,2,0,26.3,12.3,37,-0.2
1965,3,14,30.6,15.6,50,0.2
1965,4,4,34.7,24.3,22,-0.2
1965,5,5,38.8,25.6,15,-1.1
1965,6,82,37.8,27.4,85,-2
1965,7,407,32.4,26.2,138,-1.3
1965,8,380,32,26.3,115,1.8
1965,9,181,32,25.1,111,1.4
1965,10,38,30.7,21.4,84,0.8
1965,11,19,28,15.2,57,1
1965,12,0,23.6,9.2,33,0.8
1966,1,35,22.4,10.1,47,1.3
1966,2,8,27.6,14.3,40,1.3
1966,3,0,32.8,17.4,36,0.7
1966,4,0,36.5,25.4,18,-0.3
1966,5,23,39.6,26,33,-0.9
1966,6,91,36.8,27.1,94,-1.7
1966,7,319,33.5,26.5,150,-1.8
1966,8,342,31.8,26.8,116,-1.3
1966,9,64,31.9,25.2,99,-2.8
1966,10,19,30.7,20.8,75,-3.5
1966,11,33,28.9,15.4,58,-2.8
1966,12,3,23.5,10.3,31,-2.9
1967,1,1,22.5,9.8,26,-3.3
1967,2,2,28.1,13.1,29,-3.7
1967,3,30,30.2,16.3,45,-3.1
1967,4,17,34.2,23.4,27,-2.7
1967,5,13,38.3,25.1,19,-3.1
1967,6,79,37.5,27.3,80,-3.9
1967,7,229,33.3,26.4,143,-4.5
1967,8,289,31.8,26.5,129,-4.7
1967,9,275,31.7,25.3,114,-3.4
1967,10,8,30.6,20.7,75,-4
1967,11,1,26.6,13.8,43,-4.1
1967,12,2,24.6,11.3,30,-4
1968,1,44,21.2,9.9,51,-2.8
1968,2,2,25.1,11.8,33,-2.8
1968,3,7,31.4,17.3,35,-2.8
1968,4,1,34.7,24.7,16,-2.9
1968,5,11,38.5,25.4,20,-3.2
1968,6,247,34.5,26.2,147,-1.2
1968,7,200,32,26.3,125,-1.6
1968,8,247,32.5,26.5,129,-1.9
1968,9,172,32.8,26.3,116,-2.1
1968,10,82,29.6,21.4,98,-1.5
1968,11,0,27.6,15.4,48,-1.4
1968,12,3,24,11.2,36,-1
1969,1,6,22.6,9.2,35,-1.1
1969,2,6,27.4,12.8,40,-1
1969,3,21,33.7,18.5,57,-0.6
1969,4,9,35.8,25.4,26,0.1
1969,5,34,37.8,24.8,42,0.8
1969,6,159,37.1,27.2,153,0.9
1969,7,333,32.5,26.5,135,0.7
1969,8,286,31.8,26.1,113,0.8
1969,9,233,31.6,25.8,115,1.1
1969,10,8,31.3,21.9,76,-1
1969,11,33,29.1,16,59,0.6
1969,12,0,24.4,10.8,30,-0.2
1970,1,23,22.3,10.3,40,0.2
1970,2,10,25.3,12.6,35,0
1970,3,18,31.6,17.4,51,0.6
1970,4,2,36.4,25.5,18,-0.3
1970,5,48,39.2,26.1,56,0.8
1970,6,137,35.6,25.9,133,0.8
1970,7,376,32.6,26.3,124,1
1970,8,231,32.4,27.1,133,0.8
1970,9,249,31.5,25.8,104,1.4
1970,10,30,31.5,22.3,81,0.7
1970,11,1,27.7,14.6,48,-0.4
1970,12,0,24.8,9.5,29,-1
1971,1,18,22.2,9.6,37,-0.9
1971,2,9,25,11.1,34,-0.9
1971,3,7,31.8,16.4,37,-1
1971,4,34,33.1,23.8,48,1
1971,5,68,35.7,23.8,74,2.3
1971,6,291,33.8,25.8,133,4.5
1971,7,329,31.4,25.2,122,5
1971,8,434,30.9,25.6,107,6.3
1971,9,138,32.6,25.3,108,4.9
1971,10,139,30.3,22.2,108,5.8
1971,11,4,26.8,14.4,52,5.4
1971,12,0,24.6,10,36,5.1
1972,1,15,23.1,9.4,38,4.8
1972,2,28,24.1,11.1,52,5.3
1972,3,4,32.5,17.3,51,5.4
1972,4,5,35.8,24,32,4.9
1972,5,5,40.2,25.9,19,3.7
1972,6,51,38.2,26.9,57,1.5
1972,7,206,34.1,26.4,138,-3.3
1972,8,170,32.4,26.1,135,-4.3
1972,9,232,32.1,24.9,117,-4.3
1972,10,42,30.9,20.8,80,-4.3
1972,11,18,27.2,14.5,49,-3.8
1972,12,0,24.2,10.5,29,-3.6
1973,1,45,22.9,10.5,53,-2.5
1973,2,7,26.7,13.9,33,-2.3
1973,3,8,31.4,15.8,33,-2.1
1973,4,3,37.1,25.5,17,-2.2
1973,5,34,37.7,25,42,-1.8
1973,6,199,35.4,26.7,144,-0.7
1973,7,168,33.6,26.4,146,-1.8
1973,8,298,32,26.6,130,-2.2
1973,9,270,31.4,26.2,105,-1.1
1973,10,152,29.5,22.8,110,2.5
1973,11,9,26.3,15.6,56,2.6
1973,12,0,23,10.6,36,2.6
1974,1,4,21.7,9.4,37,2.1
1974,2,1,25.8,11.8,36,1.9
1974,3,17,31.7,17.9,54,2.2
1974,4,3,35.7,25.7,26,1.8
1974,5,13,37.9,25.4,25,1.2
1974,6,138,36.8,26.9,134,1.1
1974,7,430,31.9,26.1,144,1.7
1974,8,351,31.8,26.7,128,2.5
1974,9,226,31.8,25.2,105,2.6
1974,10,41,32.6,23.4,88,1.9
1974,11,0,28.4,14.4,47,1.4
1974,12,3,23,9.3,29,1.2
1975,1,30,21.8,9.5,45,1.5
1975,2,8,25.4,12.9,38,1.3
1975,3,8,32.2,16.9,41,0.9
1975,4,3,36.8,24.9,20,-0.3
1975,5,17,39.2,25.2,26,-1.1
1975,6,144,36.5,26.5,144,-1.1
1975,7,346,31.8,25.5,121,-0.9
1975,8,138,32.2,26.1,118,-1.8
1975,9,390,30.9,26.1,113,2.3
1975,10,84,32.1,23.6,104,2.4
1975,11,0,28,14.1,52,2.1
1975,12,0,23.7,9.5,35,1.9
1976,1,9,23,9.6,34,1.5
1976,2,9,26.3,14.2,39,1.4
1976,3,1,32.3,17.9,36,1
1976,4,8,35.5,24.6,25,0.8
1976,5,39,37.4,24.8,48,1.1
1976,6,169,36.2,26.7,163,1.1
1976,7,229,33,26,128,-0.8
1976,8,331,31.6,26.2,131,-1
1976,9,282,31.5,25.4,113,1
1976,10,50,31.6,21.4,86,0.7
1976,11,0,30.3,16.5,51,-0.2
1976,12,0,24.4,9.6,32,-0.5
1977,1,4,22.3,9.4,30,-0.9
1977,2,2,27,12.7,37,-1.2
1977,3,1,33.7,18.7,27,-1.8
1977,4,15,34.6,25.3,29,-1.5
1977,5,47,35.9,23.6,54,-0.7
1977,6,63,35.4,26,66,-1.7
1977,7,378,32.3,26.3,132,-1.3
1977,8,316,32.4,27,119,0.6
1977,9,157,32.2,25.7,113,-0.6
1977,10,159,30.3,21.9,116,1.9
1977,11,19,28.9,17,61,2.4
1977,12,7,23,11.1,40,2.7
1978,1,25,21.1,8.5,47,3
1978,2,20,24.7,12.5,48,3.6
1978,3,31,30.1,15.4,69,4.9
1978,4,13,34.6,24.2,48,5.2
1978,5,33,38.1,25.8,49,5.1
1978,6,245,35.7,26.6,171,5.9
1978,7,326,32.5,25.9,122,5.8
1978,8,295,32.1,26.9,120,5.7
1978,9,181,30.9,25.8,119,4.8
1978,10,109,30.6,22.6,110,5.1
1978,11,5,28.7,16.9,55,4.8
1978,12,3,24,11.1,39,4.7
1979,1,21,23.5,10.5,42,4.5
1979,2,15,24.2,12.4,44,4.6
1979,3,3,31.3,17,52,4.3
1979,4,11,35.7,25.7,31,4.1
1979,5,5,40.5,25.3,17,2.8
1979,6,111,37.1,26.9,113,1.9
1979,7,376,33.3,26.5,140,1.9
1979,8,191,32.9,27.3,142,1
1979,9,110,32.3,25.3,123,-2.8
1979,10,105,31.5,22.9,110,-1.9
1979,11,30,30.6,18.2,62,-0.7
1979,12,9,23.2,13.2,40,1.9
1980,1,5,22.4,9.9,36,1.6
1980,2,3,26.1,13.6,38,1.4
1980,3,10,31.2,17.7,48,1.4
