Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.0625 North,84.0208 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,29,24.8,11.8,52,-0.9
1958,2,3,26.9,13.5,40,-1.1
1958,3,16,34.6,18.1,42,-1
1958,4,4,40.3,24.9,18,-1
1958,5,1,42.1,28.3,10,-1.4
1958,6,65,41.3,29.7,68,-2.4
1958,7,325,33.9,26.8,130,-2.2
1958,8,382,32.1,26.3,113,-1.5
1958,9,194,31.9,25,108,-1.4
1958,10,69,31.6,21.4,94,1.1
1958,11,0,28.6,14,51,1.1
1958,12,1,25.3,11.7,40,1
1959,1,86,22.9,10.7,70,3
1959,2,2,26,12.2,44,3.1
1959,3,6,33.9,18,52,3.2
1959,4,4,39.2,24.4,24,3.1
1959,5,14,41.1,27.3,24,3
1959,6,66,39,28.3,70,1.8
1959,7,236,33.1,26.9,142,0.6
1959,8,319,32.3,26.4,124,-2.3
1959,9,152,31.1,25,112,-2.6
1959,10,101,30,22.3,103,-0.8
1959,11,1,27.9,13.7,56,1.6
1959,12,0,24.7,10.7,40,1.8
1960,1,4,22.7,9.7,37,1.2
1960,2,0,28.9,13.6,38,1
1960,3,29,32.1,17.4,58,1.6
1960,4,1,39.7,23.4,17,1.3
1960,5,4,41.5,27.3,14,0.9
1960,6,82,39.6,28.8,84,-1.3
1960,7,357,32.5,26.6,127,-0.8
1960,8,375,32.2,26.8,124,0.6
1960,9,175,31.1,25.6,106,-0.2
1960,10,30,30.8,20.9,87,-0.5
1960,11,0,27.4,12.2,45,-0.8
1960,12,0,24.8,9.4,32,-0.9
1961,1,36,23.1,11.1,49,0.4
1961,2,19,24.7,11.8,47,0.7
1961,3,3,33.5,19.4,30,-0.3
1961,4,0,39.7,23.9,15,-0.2
1961,5,3,41.2,27.6,12,-0.8
1961,6,153,37.9,27.4,147,0.6
1961,7,194,33.3,26.4,136,-1.4
1961,8,346,32.3,26.5,120,-1.9
1961,9,150,31.3,25.2,113,-2.3
1961,10,78,30.6,20.5,97,-1.1
1961,11,1,26.3,12.6,51,-0.8
