Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.8542 North,84.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,26,24.3,11.5,47,-0.9
1958,2,2,25.7,12.8,38,-1.1
1958,3,3,32.8,16.6,38,-1.4
1958,4,8,36.7,24.5,25,-1.4
1958,5,6,38.9,26.4,16,-2.1
1958,6,93,38.1,27.7,95,-2.9
1958,7,208,33.2,26.3,138,-3.7
1958,8,442,31.3,26.4,106,-3
1958,9,179,32.3,25.7,110,-3
1958,10,82,32.1,22.4,98,-2.3
1958,11,1,28.9,14.5,49,-2
1958,12,1,24.9,11.1,38,-1.8
1959,1,85,22.5,10.4,66,2.5
1959,2,4,25.1,11.7,43,2.7
1959,3,15,32.3,16.5,62,3.3
1959,4,15,35.8,24.1,43,3.5
1959,5,36,38.1,25.4,49,3.4
1959,6,119,36,26.5,120,2.6
1959,7,164,32.4,26.4,145,0.8
1959,8,278,31.9,26.6,124,-2.7
1959,9,184,31.2,25.2,115,-3.2
1959,10,108,29.9,23.1,106,-2
1959,11,3,27.9,14.6,54,-1.6
1959,12,0,24.3,10.5,34,-1.3
1960,1,0,22.4,9.2,32,-1.6
1960,2,0,28,13.1,33,-1.7
1960,3,33,30.7,15.8,62,-0.7
1960,4,0,36.2,23,18,-1
1960,5,23,38.5,25.3,32,-1.1
1960,6,114,36.5,26.8,115,-1.7
1960,7,314,31.8,26.1,124,-1.6
1960,8,255,31.9,27,124,-2
1960,9,229,31.1,26,105,-1.4
1960,10,35,30.7,21.6,87,-1.8
1960,11,0,27.4,13,44,-2
1960,12,0,24.6,9.5,30,-2
1961,1,25,22.9,10.8,41,-1.6
1961,2,24,24.2,11.3,47,-1
1961,3,5,32.1,17.9,38,-1.2
1961,4,2,36.2,23.5,18,-1.3
1961,5,11,38.2,25.6,20,-1.8
1961,6,170,35.3,25.9,144,-1.2
1961,7,135,32.7,26,131,-2.7
1961,8,278,32,26.7,128,-3.5
1961,9,113,31.4,25.8,115,-4.5
1961,10,125,30.8,21.4,109,-3.2
1961,11,3,26,13.4,43,-3.1
1961,12,4,21.4,8,29,-2.8
1962,1,33,22.1,8.2,46,-2.1
1962,2,15,25.2,11.8,37,-1.7
1962,3,10,32.1,15.3,36,-1.7
1962,4,15,35,23.1,28,-1.2
1962,5,20,37.2,25,28,-1.4
1962,6,170,35.9,27.1,140,-0.9
1962,7,227,33.2,26.3,138,-1.5
1962,8,415,31.2,26.1,115,-1
1962,9,184,31.4,25.4,114,-1.2
1962,10,28,30.6,20.4,80,-1.6
1962,11,0,28.2,13.3,44,-1.9
1962,12,4,23.7,10,32,-1.8
1963,1,8,22.5,7.7,33,-2
1963,2,3,27.7,11.6,32,-2.1
