Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 25.1458 North,85.8542 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,29,25.4,11.7,53,0.3
1958,2,3,27.2,13.5,42,-0.1
1958,3,4,34.4,17.9,37,-0.3
1958,4,7,39.7,25.5,23,0
1958,5,8,41.1,28.2,18,-1
1958,6,116,39.3,28.8,117,-1.8
1958,7,197,33.8,26.8,132,-2.6
1958,8,427,31.8,26.2,112,-1.4
1958,9,180,32.3,25.5,105,-1.3
1958,10,114,32,22.7,110,1.4
1958,11,0,29.1,15.1,54,1.5
1958,12,0,25.8,12.1,42,1.7
1959,1,66,23.6,10.8,66,3.2
1959,2,0,26.4,12.3,43,3.2
1959,3,11,33.5,17.8,56,3.5
1959,4,9,38.8,25.2,28,3.5
1959,5,19,40.2,27.2,29,3
1959,6,143,36.9,27.3,139,2.5
1959,7,163,32.8,26.7,137,0.9
1959,8,212,32.2,26.5,123,-2.6
1959,9,161,31.2,25.1,107,-3.3
1959,10,146,30,23.1,105,-2
1959,11,0,28.2,14.6,48,-1.7
1959,12,0,25.1,10.9,34,-1.4
1960,1,1,23.4,9.7,30,-1.8
1960,2,0,29.3,13.7,30,-1.8
1960,3,26,31.9,17.2,45,-1.1
1960,4,1,39.7,24.3,12,-1.4
1960,5,12,40.5,27.2,19,-1.7
1960,6,119,37.6,27.7,119,-2.3
1960,7,254,32.2,26.4,127,-2.3
1960,8,229,32.3,26.9,126,-2.7
1960,9,218,31.2,25.7,102,-1.9
1960,10,43,30.9,21.8,90,-2.3
1960,11,0,27.9,13.3,46,-2.3
1960,12,0,25.8,10.3,33,-2.2
1961,1,21,23.8,11.1,40,-1.9
1961,2,21,25,11.9,46,-1.2
1961,3,0,33.4,19.4,28,-1.5
1961,4,1,39.5,24.8,16,-1.6
1961,5,15,40.2,27.4,24,-1.7
1961,6,199,36.2,26.7,148,-0.9
1961,7,121,33.2,26.4,121,-2.3
1961,8,264,32.4,26.6,124,-2.9
1961,9,127,31.6,25.5,114,-3.8
1961,10,166,30.9,21.6,108,-2
1961,11,1,26.7,13.5,53,-1.5
1961,12,1,22.7,8.4,39,-1
1962,1,27,23,8.5,49,2
1962,2,9,26.8,12.6,41,2.3
1962,3,7,33.7,16.7,47,2.4
1962,4,8,38.2,24.1,25,2.4
1962,5,16,39.3,26.6,26,1.9
1962,6,163,36.8,27.6,141,2
1962,7,187,33.7,26.6,135,0.9
1962,8,372,31.7,26,116,1.3
1962,9,161,31.8,25.3,111,0.8
1962,10,46,30.5,20.7,85,-1
1962,11,0,28.7,13.5,48,-1
1962,12,1,24.9,10.4,34,-1
1963,1,5,23.5,8.3,34,-1.3
1963,2,1,29.2,12.4,32,-1.4
1963,3,16,32.5,17.6,38,-1.2
1963,4,9,37.1,23.7,21,-1.1
1963,5,31,38.3,25.8,38,-0.7
