Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 26.5208 North,85.3125 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,27,24.2,10.9,42,-0.6
1958,2,2,25.6,11.7,29,-0.8
1958,3,2,32.2,15.2,14,-1.3
1958,4,13,36.2,22.1,20,-1.2
1958,5,15,36.9,25.3,19,-2
1958,6,167,36.2,26.6,159,-2.5
1958,7,250,33,25.8,141,-3.3
1958,8,473,31.2,25.8,105,-1.6
1958,9,134,32.3,24.9,106,-1.9
1958,10,92,32.1,22.1,100,-1.1
1958,11,1,29.2,13.4,48,-0.8
1958,12,1,25,10.3,33,-0.6
1959,1,89,22.6,9.9,61,3.3
1959,2,4,24.9,10.7,38,3.7
1959,3,25,31.9,15.2,53,4.1
1959,4,16,35.3,21.8,29,4
1959,5,40,35.9,24.5,45,3.5
1959,6,198,34.2,25.4,140,3.1
1959,7,164,32.2,25.7,144,1.6
1959,8,236,31.9,25.9,124,-2.7
1959,9,146,31,24.2,109,-2.7
1959,10,99,29.7,22.9,100,-1.7
1959,11,4,27.8,13.8,52,-1.2
1959,12,0,24.6,9.9,32,-0.8
1960,1,0,22.5,8.5,27,-1.2
1960,2,0,27.8,12,24,-1.2
1960,3,49,30.3,14.4,58,1.4
1960,4,1,35.6,20.6,8,0.8
1960,5,42,36.6,24.2,45,0.7
1960,6,172,34.7,25.7,160,-0.5
1960,7,359,31.6,25.6,123,-1.2
1960,8,244,31.9,26.3,124,-1.6
1960,9,177,30.9,25,101,-1.2
1960,10,36,30.5,21.4,83,-1.5
1960,11,0,27.5,12.3,41,-1.7
1960,12,0,25,9.2,25,-1.7
1961,1,24,23.1,10.2,34,-1.5
1961,2,25,24.5,10.1,39,-0.9
1961,3,9,31.6,16.2,18,-1.2
1961,4,5,35.6,21,10,-1.4
1961,5,25,36.2,24.7,28,-1.8
1961,6,248,33.8,24.9,138,-1.2
1961,7,163,32.6,25.6,146,-2.1
1961,8,307,32.1,26.2,129,-2.4
1961,9,100,31.2,25,111,-3.2
1961,10,124,30.7,21,106,-1.7
1961,11,4,25.5,12.6,51,-1.3
1961,12,2,21.4,7.4,32,-0.8
1962,1,49,22.4,7.8,54,2.4
1962,2,15,24.8,10.7,39,2.9
1962,3,18,31.3,14,41,3.1
1962,4,23,34.5,20.6,33,3.3
1962,5,43,35,23.9,48,3
1962,6,279,33.9,25.9,129,3.5
1962,7,263,32.9,25.7,139,3
1962,8,433,31,25.4,113,4.2
1962,9,146,31.1,24.6,110,3.4
1962,10,25,30.5,20,77,2.5
