Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 19.1875 North,81.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,4,29.7,12.3,43,0.6
1958,2,2,31.8,15.2,23,-0.2
1958,3,12,35.6,18.5,23,-0.2
1958,4,69,37.9,23.1,72,0.6
1958,5,39,39,25.8,41,0
1958,6,81,36.2,26.1,80,-1.4
1958,7,507,28.1,22.2,115,-0.8
1958,8,406,28.7,22.5,111,0.2
1958,9,333,29.1,21.9,113,1.2
1958,10,155,29.2,19.9,112,2
1958,11,23,29,15.7,71,2.3
1958,12,0,27.9,11.7,48,2.2
1959,1,9,29.3,12.2,46,2.4
1959,2,11,31.9,15,33,2.3
1959,3,0,35.4,18.8,11,1.6
1959,4,28,37.6,22.8,34,1.1
1959,5,30,39,25.7,33,0.7
1959,6,274,33.3,24,164,1.5
1959,7,499,27.9,22.1,116,2.6
1959,8,423,27.7,21.8,106,2.7
1959,9,335,28.8,21.9,107,3.1
1959,10,108,29.4,20.4,105,3.1
1959,11,1,28,14.5,60,2.7
1959,12,4,27.4,11.3,43,2.5
1960,1,0,29,11.6,40,2.4
1960,2,0,31.7,14.1,19,2
1960,3,34,34.1,17.9,42,2.2
1960,4,20,37.6,22.3,26,1.4
1960,5,49,38.7,25.3,51,1.6
1960,6,212,33.7,24.2,160,1.7
1960,7,396,28.3,22.5,109,1.6
1960,8,282,28.8,22.7,112,0.7
1960,9,279,29.5,22.5,108,0.7
1960,10,106,29.2,19.5,108,0.9
1960,11,2,28.2,14.3,59,0.8
1960,12,5,28.7,11.9,47,0.8
1961,1,1,29.6,12.3,38,0.8
1961,2,28,30.3,13.8,43,1.3
1961,3,29,35.7,19.9,37,1.5
1961,4,24,37.9,23,29,0.9
1961,5,42,38.5,25.1,45,1
