Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.0625 North,82.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,29.2,14.3,48,-0.2
1958,2,5,31.2,16.5,47,-0.7
1958,3,33,36.7,19.1,71,-0.6
1958,4,16,40.5,25.2,37,-0.6
1958,5,3,43.2,29.8,16,-1.1
1958,6,93,40.9,29.1,97,-2.3
1958,7,462,31.2,24.7,112,-1.7
1958,8,399,30.9,25,108,-1
1958,9,308,30.7,23.3,105,1.9
1958,10,84,30.8,21.6,101,2.8
1958,11,4,29.4,16.4,60,3.1
1958,12,0,28,13.4,42,2.5
1959,1,19,27.9,14,51,2.8
1959,2,4,30.9,15.4,49,2.4
1959,3,1,36.1,19.9,47,1.5
1959,4,24,39.7,24.7,44,1.8
1959,5,17,42.9,29.2,29,1.7
1959,6,165,37.8,27.9,160,1.5
1959,7,461,30.6,24.7,115,1.7
1959,8,351,30,24.5,103,1.7
1959,9,295,30.1,23.8,99,2.5
1959,10,80,30.4,22.5,91,3.3
1959,11,0,28.9,15.2,54,3.4
1959,12,1,27.5,13.1,42,2.9
1960,1,20,27.8,12.8,50,3.3
1960,2,0,32.8,15.5,45,2.9
1960,3,59,34.1,19.1,90,3.7
1960,4,19,40.2,23.8,52,3.8
1960,5,6,42.5,29.2,24,3.3
1960,6,144,38.5,28,146,2.6
1960,7,520,30.6,24.8,104,3.4
1960,8,371,30.2,24.7,103,3.4
1960,9,136,30.6,24.5,103,1.9
1960,10,59,31,20.9,91,2.2
1960,11,0,28.8,14.3,55,2.2
1960,12,0,28.8,12.4,39,1.6
1961,1,10,28.4,14.2,44,1.6
1961,2,18,28.8,15,51,1.6
1961,3,16,35.3,21.7,61,1.2
1961,4,9,40.1,24.6,31,1.1
1961,5,16,42.5,28.9,28,1.1
1961,6,190,36.8,26.6,181,1.3
1961,7,470,30.4,24.1,103,1.9
1961,8,459,30.4,24.7,103,2.8
1961,9,425,29.8,23.3,97,5.3
1961,10,72,30.3,20.4,94,5.6
1961,11,1,28.2,14.1,52,5.3
1961,12,15,26.5,10.6,48,5.1
1962,1,4,26.9,11,44,4.6
1962,2,17,30.5,14.8,52,4.5
1962,3,32,35.8,18,71,4.5
1962,4,27,38.7,23.8,55,4.8
1962,5,14,41.9,28.4,30,4.5
1962,6,91,38,27.8,96,3
1962,7,380,31.7,24.9,122,2.2
1962,8,369,30.3,24.2,107,1.8
1962,9,322,30.3,23.2,108,2.9
1962,10,6,30,20.5,74,1.8
1962,11,1,29.4,14.4,48,1.4
1962,12,53,27.9,12.6,63,2.4
1963,1,1,27.1,11.3,40,2
1963,2,13,32.2,15,48,1.8
1963,3,29,35,18.4,70,1.7
1963,4,31,38.1,22.5,51,2.3
1963,5,15,41.3,27.5,27,2.1
1963,6,190,36.7,26.5,181,2.1
1963,7,390,30.6,24.5,120,1.6
1963,8,448,30.4,24.4,101,2.3
1963,9,252,30.7,23.6,112,2.4
1963,10,86,31.1,21.8,101,3.2
1963,11,0,30.1,16.7,57,3.3
1963,12,0,27.5,13.4,43,2.8
1964,1,0,27.7,13.8,45,2.3
1964,2,12,30.9,16.7,50,2.1
1964,3,9,36.5,20.7,52,1.3
1964,4,6,39.8,25.7,26,0.8
1964,5,3,42.3,28.6,15,-1.5
1964,6,168,37.8,27.3,163,-1.3
1964,7,344,30.3,24.2,118,-1.8
1964,8,551,30.2,24.4,98,1.4
1964,9,206,30.5,23.7,104,1.1
1964,10,36,30.9,22.4,84,0.9
1964,11,2,28.3,15.3,58,0.8
1964,12,0,27.6,12.9,42,-0.5
1965,1,10,28,14,43,-0.7
1965,2,3,31.3,15.5,44,-1.1
1965,3,35,35.1,18.5,65,-1.1
1965,4,20,38.3,23.8,36,-0.8
1965,5,5,42.8,29.1,16,-1.1
1965,6,133,39.4,28.3,134,-1.7
1965,7,303,31.4,25,120,-2.7
1965,8,185,31.2,25.2,122,-4.8
1965,9,227,30.5,23.6,112,-5.1
