Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.1875 North,81.2708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,3,28.8,14.2,40,-0.1
1958,2,3,31.3,16.4,34,-0.5
1958,3,21,35.6,20.4,35,-0.6
1958,4,17,39.5,25.1,26,0.1
1958,5,6,42.5,29,12,-0.5
1958,6,109,39.3,28.6,108,-1.7
1958,7,388,29.9,23.8,111,-1.7
1958,8,393,30.2,24.3,102,1
1958,9,379,30.4,23.5,109,1.9
1958,10,90,30.7,20.8,104,2.6
1958,11,2,29.9,16.2,60,2.9
1958,12,0,27.8,13,37,2.6
1959,1,12,28.3,13.7,45,2.8
1959,2,7,30.9,16,41,2.6
1959,3,1,35.8,20.6,18,1.7
1959,4,32,38.9,24.6,40,2.2
1959,5,18,42.2,28.7,24,1.9
1959,6,225,37,26.4,173,2.4
1959,7,464,29.7,23.6,114,3.2
1959,8,305,29.3,23.4,100,2.8
1959,9,428,30.3,23.4,102,4
1959,10,72,31.2,21.3,90,4.1
1959,11,0,29,15.3,54,4.1
1959,12,1,27.5,12.8,36,3.7
1960,1,17,27.6,13,45,4
1960,2,0,31.3,16.3,37,3.7
1960,3,60,34.4,19.3,76,4.2
1960,4,23,38.6,24.2,32,4.2
1960,5,11,42.1,28.5,18,3.6
1960,6,176,37.2,26.6,169,3.1
1960,7,495,30.1,24,106,3.7
1960,8,251,30.1,24.2,111,2.5
1960,9,163,31,24.1,106,1.4
1960,10,71,30.6,20.7,94,1.8
1960,11,0,28.6,14.9,55,2
1960,12,0,28.1,13.3,37,1.7
1961,1,4,28.6,14,37,1.7
1961,2,10,29.5,14.6,40,1.6
1961,3,19,36.2,21.1,33,1.2
1961,4,13,39,24.7,22,1.1
1961,5,27,41.8,28.2,32,1.4
1961,6,185,36,25.4,176,1.3
1961,7,481,29.4,23.3,102,2.1
1961,8,415,29.7,23.8,102,3.1
1961,9,541,29.8,22.9,103,5.2
1961,10,90,30.1,20.2,101,5.6
1961,11,0,28.3,14.6,53,5.5
1961,12,7,26.1,11.3,40,5.2
1962,1,2,26.2,11.5,38,5
1962,2,14,30.1,15.2,45,5.1
1962,3,35,34.6,19.4,54,4.9
1962,4,37,38,23.7,47,5.4
1962,5,23,41.3,27.8,29,5.1
1962,6,82,37.1,26.5,84,3.2
1962,7,377,30.2,24.1,116,2.6
1962,8,324,29.6,23.7,106,2.4
1962,9,371,30.1,23.2,107,3.1
1962,10,5,30.1,20.2,75,1.9
1962,11,1,28.8,15,44,1.4
1962,12,47,27.5,12.7,56,2.6
1963,1,0,26.5,11.8,33,2.2
1963,2,11,30.8,15.8,38,2.1
1963,3,18,34.5,19.3,31,1.6
1963,4,41,36.9,22.6,47,2.5
1963,5,12,41,27.4,17,2
1963,6,221,35.9,25.3,185,2.2
1963,7,344,29.8,23.7,122,1.7
1963,8,395,29.5,23.6,99,2.6
1963,9,263,31.6,24.7,121,2.2
1963,10,84,31.2,21.3,103,2.7
1963,11,0,30.2,16.5,54,2.9
1963,12,0,27.6,12.9,39,2.5
1964,1,0,28.2,13.6,39,2.3
1964,2,10,31.3,16.4,38,2.1
1964,3,9,36.3,21.1,23,1.4
1964,4,6,39.6,25.4,15,0.9
1964,5,2,42,28.5,8,-1.3
1964,6,159,36.8,26.2,155,-1.6
1964,7,280,29.8,23.7,114,-2.5
1964,8,492,29.3,23.4,94,-0.8
1964,9,241,30.4,23.5,101,-0.8
1964,10,43,31.3,21.4,86,-0.7
1964,11,0,28.7,15,59,-0.6
1964,12,0,27.3,12.6,36,-0.9
1965,1,9,28.2,13.6,38,-0.8
1965,2,4,30.8,15.9,25,-1.1
1965,3,28,34.7,19.5,39,-1
1965,4,17,37.8,23.5,24,-0.8
1965,5,7,42.1,28.5,12,-1.2
1965,6,174,37.9,27.2,170,-1.4
1965,7,277,30.3,24.2,116,-2.3
1965,8,161,30.5,24.6,114,-4.7
1965,9,289,30.5,23.6,114,-4.3
1965,10,7,31.6,21.7,79,-4.7
1965,11,0,29.7,16,47,-4.6
1965,12,0,28.1,13.5,35,-4.7
1966,1,12,27.9,13.3,37,-4.4
1966,2,0,32,17.1,17,-4.6
1966,3,14,35.4,20.2,23,-4.7
1966,4,18,39,24.7,23,-4.1
1966,5,56,42.1,28.4,58,-2.5
1966,6,119,37.2,26.7,117,-3.2
1966,7,453,31.6,25.5,117,-2.5
1966,8,249,30.2,24.3,106,-3.1
1966,9,259,31.1,24.2,121,-2.9
1966,10,8,31.8,21.9,79,-3.4
1966,11,3,30.8,17.1,55,-3.3
1966,12,20,27.1,12.4,43,-2.9
1967,1,1,28,13.4,30,-2.9
1967,2,0,31.8,16.8,18,-3.2
1967,3,133,33.9,18.9,129,2.7
1967,4,14,38.1,23.8,23,2.5
1967,5,5,42.4,28.8,12,1.7
1967,6,203,37.8,27.1,178,1.8
1967,7,468,30.5,24.4,119,2.4
1967,8,250,29.5,23.6,102,1.4
1967,9,138,30.4,23.5,111,-1.7
1967,10,7,31.2,21.3,75,-2.3
1967,11,0,29.4,15.6,45,-2.4
1967,12,58,28.7,14.1,64,1.6
1968,1,9,27.1,12.5,37,1.7
1968,2,22,30.4,15.5,43,2.2
1968,3,65,34.6,19.4,80,3
1968,4,41,37.2,22.9,50,3.8
1968,5,3,41.2,27.6,10,3
1968,6,140,36.9,26.3,139,2.1
1968,7,404,30.3,24.2,116,1.8
1968,8,183,29.9,24,112,-2.5
1968,9,441,31,24.1,108,-0.7
1968,10,18,30.6,20.7,77,-1.2
1968,11,0,29.4,15.7,46,-1.2
1968,12,3,27.8,13.1,33,-1.3
1969,1,1,27.9,13.3,31,-1.4
1969,2,0,32.1,17.2,23,-1.7
1969,3,5,36.7,21.6,18,-2
1969,4,3,39.2,24.9,11,-2.2
1969,5,37,40.8,27.3,41,-1.1
1969,6,92,37.2,26.7,92,-2.2
1969,7,590,29.8,23.7,109,1.7
1969,8,242,29.5,23.6,105,0.7
1969,9,396,30.2,23.3,103,1.8
1969,10,8,31.2,21.3,73,0.8
1969,11,0,30.6,16.9,48,-0.3
1969,12,15,27.4,12.7,37,0.1
1970,1,7,28.2,13.6,33,0
1970,2,5,31.5,16.6,30,-0.8
1970,3,61,35.2,20.2,71,0.9
1970,4,9,39,24.8,17,-0.1
1970,5,22,42.3,28.7,27,0.8
1970,6,333,34.9,24.4,157,2.9
1970,7,367,30.1,24,115,3.8
1970,8,529,29.5,23.6,101,6.1
1970,9,323,30.3,23.5,106,6
1970,10,4,31.1,21.2,75,4.5
1970,11,0,28.3,14.6,44,3.7
1970,12,0,26.3,11.6,28,3
1971,1,6,27.7,13.1,31,2.6
1971,2,10,30.8,15.9,31,2.2
1971,3,29,34.1,18.9,40,2.1
1971,4,18,37.9,23.7,25,2.1
1971,5,47,39.9,26.4,50,3.1
1971,6,306,34.1,23.6,158,4.6
1971,7,192,29.6,23.5,120,3.4
1971,8,324,29.8,23.9,105,3
1971,9,228,30.6,23.7,115,2.4
1971,10,109,30.6,20.7,107,3.5
1971,11,0,27.9,14.2,55,3.7
1971,12,0,26.3,11.6,42,3.5
1972,1,0,27,12.4,36,3.3
1972,2,5,30.4,15.5,38,3.4
1972,3,0,35.3,20.2,22,2.6
1972,4,6,38.5,24.2,18,2.2
1972,5,4,42.4,28.7,12,1.5
1972,6,114,38.8,28.1,113,-1.7
1972,7,272,30.8,24.7,129,-2.6
1972,8,243,29.9,24,114,-4.4
1972,9,130,30.8,23.9,115,-5.1
1972,10,17,30.7,20.8,74,-5.1
1972,11,2,29.2,15.5,45,-4.6
1972,12,1,29.4,14.7,36,-4.4
1973,1,0,29,14.4,32,-4.2
1973,2,11,32.1,17.2,33,-3.9
1973,3,3,35.9,20.8,15,-4.1
1973,4,7,40.8,26.5,14,-4
1973,5,1,43.5,30,6,-4.3
1973,6,91,37.7,27.1,91,-5.1
1973,7,566,30,23.9,119,-3.2
1973,8,318,29.8,23.9,101,-2.8
1973,9,257,30.5,23.7,113,-2.5
1973,10,160,30.8,20.9,106,3.4
1973,11,0,28.3,14.7,53,3.6
1973,12,0,27.3,12.6,45,3.4
1974,1,0,26.9,12.3,39,3.3
1974,2,4,30.8,15.8,40,3.2
1974,3,3,36.3,21.2,23,2.4
1974,4,1,39.6,25.4,12,1.8
1974,5,12,41.4,27.9,19,1.4
1974,6,157,37.2,26.5,154,0.8
1974,7,312,30.7,24.6,121,-1.9
1974,8,287,29.7,23.8,102,-2.5
1974,9,93,31.5,24.6,104,-3.6
1974,10,189,31.2,21.3,108,2.8
1974,11,1,28.4,14.7,59,3.1
1974,12,0,26.7,12,41,2.9
1975,1,4,26.6,12,39,3
1975,2,22,30.7,15.8,51,3.6
1975,3,31,35.4,20.3,54,3.5
1975,4,2,39.5,25.2,15,2.9
1975,5,7,43.6,30,15,2.2
1975,6,316,36.4,25.8,180,3.7
1975,7,353,29.7,23.6,121,4
1975,8,314,29.9,24,107,3.5
1975,9,420,30.1,23.2,115,4.5
1975,10,124,31.5,21.6,110,5.6
1975,11,0,27.8,14.1,60,5.6
1975,12,0,26.1,11.4,37,5.2
1976,1,3,26.8,12.2,40,5
1976,2,0,30.8,15.9,38,4.7
1976,3,17,35.4,20.4,36,4.1
1976,4,18,38.2,23.9,29,3.9
1976,5,18,41.7,28,25,3.5
1976,6,89,36.9,26.2,90,2
1976,7,444,30,23.9,116,2.1
1976,8,351,29.6,23.7,104,2.3
1976,9,298,30.3,23.4,103,2.5
1976,10,0,31.7,21.8,67,1.3
1976,11,2,31.3,17.6,51,0.9
1976,12,1,28.6,13.8,29,-1.3
1977,1,0,27.7,13.1,29,-1.5
1977,2,0,31.3,16.4,20,-1.9
1977,3,10,36.7,21.5,21,-2.2
1977,4,10,38.6,24.3,17,-2.1
1977,5,21,40.7,27.1,25,-1.8
1977,6,204,37.1,26.4,195,-1.6
1977,7,335,30.2,24.1,112,-2
1977,8,374,29.7,23.8,106,-1.2
1977,9,204,30.3,23.4,119,-1.6
1977,10,36,31,21.1,89,-1.7
1977,11,5,30.9,17.3,51,-1.5
1977,12,9,27.3,12.6,38,-1.3
1978,1,10,27,12.4,37,-1
1978,2,29,30,15.1,49,0.7
1978,3,53,34.3,19.2,67,1.5
1978,4,28,38.5,24.2,36,1.9
1978,5,6,43,29.4,12,1.3
1978,6,187,36.9,26.3,178,1.3
1978,7,392,29.7,23.6,119,1.1
1978,8,376,29.1,23.2,106,1.7
1978,9,124,30.7,23.8,112,-1.2
1978,10,16,31.3,21.4,80,-1.7
1978,11,2,30.8,17.1,50,-1.7
1978,12,20,27.2,12.5,42,-1.2
1979,1,19,28.5,13.9,44,-0.6
1979,2,44,30.2,15.3,61,1.8
1979,3,0,34.6,19.5,16,0.9
1979,4,1,39,24.7,11,-1
1979,5,15,40.7,27,21,-1
1979,6,222,37.8,27.1,186,0.4
1979,7,323,31.1,25,135,-0.6
1979,8,402,30.2,24.3,131,0.7
1979,9,210,31.5,24.5,118,-0.5
1979,10,24,32.1,22.2,87,-1
1979,11,1,31.4,17.7,53,-1.1
1979,12,5,28.1,13.5,39,-1.3
1980,1,4,28.7,14.1,32,-1.5
1980,2,2,31.9,17,19,-2
1980,3,5,35.9,20.8,15,-2.4
1980,4,10,40,25.7,16,-2.3
1980,5,2,43,29.4,7,-2.8
1980,6,257,35.7,25.1,158,-1.3
1980,7,337,29.9,23.8,112,-0.9
1980,8,384,29.5,23.6,103,2
1980,9,189,31,24.1,111,1.2
1980,10,4,31.7,21.8,83,-1.5
1980,11,0,30.2,16.5,51,-1.9
1980,12,12,27.9,13.2,38,-1.9
1981,1,10,27.1,12.5,35,-2
1981,2,0,31.5,16.6,16,-2.5
1981,3,46,34.7,19.7,54,-1.8
1981,4,11,39.2,25,17,-1.7
1981,5,22,41.6,28.1,25,-1.4
1981,6,208,37.6,27.1,182,-1
1981,7,422,30,23.9,125,-0.6
1981,8,332,29.8,23.9,114,0.1
1981,9,444,30.9,24,109,2.3
1981,10,27,31.2,21.3,88,1.6
1981,11,0,28.7,14.9,55,1.2
1981,12,7,27.2,12.6,40,0.8
1982,1,23,28.8,14.2,42,1.2
1982,2,9,30.9,16.1,30,0.8
1982,3,11,34.6,19.6,22,-0.4
1982,4,17,38.3,24,24,0.1
1982,5,17,40.7,27,21,0.1
1982,6,171,37.3,26.7,165,-0.8
1982,7,344,31.6,25.5,136,-1.4
1982,8,255,29.7,23.8,100,-2.3
1982,9,263,30.8,23.8,121,-2.1
1982,10,41,31.4,21.4,88,-2
1982,11,1,29.7,16,53,-1.8
1982,12,0,28.5,13.7,37,-2
1983,1,1,27.6,13,35,-2.1
1983,2,11,30.9,16.1,30,-2
1983,3,10,35.6,20.6,21,-2.3
1983,4,5,38.4,24.1,12,-2.5
1983,5,13,41.5,27.9,18,-2.4
1983,6,155,38.4,27.8,151,-2.6
1983,7,426,31,24.9,132,-2.4
1983,8,344,30.4,24.5,113,-1.9
1983,9,399,30.6,23.7,98,1.5
