Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.9792 North,82.4792 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,7,29.3,14.4,49,-0.1
1958,2,6,31.4,16.5,47,-0.3
1958,3,32,36.5,19,71,0
1958,4,12,40.1,24.8,32,-0.1
1958,5,3,42.4,28.9,15,-0.9
1958,6,100,41.3,29.3,103,-2.2
1958,7,478,31,24.6,110,-1.5
1958,8,422,30.7,24.9,107,-1.1
1958,9,316,30.6,23.4,105,1.9
1958,10,84,30.7,21.6,100,2.8
1958,11,4,29,16.2,61,3.1
1958,12,0,27.9,13.7,43,2.7
1959,1,17,27.9,14.1,50,2.9
1959,2,3,30.9,15.4,48,2.5
1959,3,1,35.9,19.7,44,1.5
1959,4,17,39.3,24.4,37,1.8
1959,5,15,42.1,28.3,27,1.7
1959,6,166,38.2,28,162,1.3
1959,7,446,30.4,24.6,113,1.3
1959,8,390,30,24.5,103,1.2
1959,9,281,30,23.8,99,1.9
1959,10,81,30.3,22.6,91,2.9
1959,11,0,28.5,15.1,55,3
1959,12,2,27.3,13.3,43,2.7
1960,1,15,27.8,13,49,3
1960,2,0,32.8,15.6,45,2.6
1960,3,57,33.9,18.9,88,3.5
1960,4,14,39.8,23.6,44,3.5
1960,5,6,41.6,28.4,23,3
1960,6,162,39,28.2,159,2.4
1960,7,504,30.4,24.6,104,3
1960,8,425,30.1,24.7,102,3
1960,9,144,30.4,24.6,102,1.5
1960,10,55,30.8,21,89,1.8
1960,11,0,28.4,14.2,55,1.7
1960,12,1,28.7,12.7,40,1.3
1961,1,11,28.3,14.3,45,1.4
1961,2,19,28.8,15.1,51,1.6
1961,3,16,35.2,21.6,60,1.3
1961,4,6,39.7,24.2,27,1.1
1961,5,14,41.7,28.1,26,1
1961,6,216,37.2,26.8,182,1.3
1961,7,462,30.3,24,103,2
1961,8,504,30.4,24.7,101,2.8
1961,9,420,29.8,23.3,97,5.4
1961,10,69,30.3,20.5,91,5.6
1961,11,1,27.8,14,53,5.3
1961,12,11,26.4,10.8,47,5.1
1962,1,4,26.9,11.2,44,4.6
1962,2,14,30.5,14.9,50,4.5
1962,3,33,35.7,17.8,71,4.4
1962,4,20,38.4,23.5,45,4.6
1962,5,10,41.1,27.5,25,4.1
1962,6,114,38.4,27.9,118,2.8
1962,7,382,31.5,24.6,123,2
1962,8,379,30.3,24.2,106,1.3
1962,9,312,30.2,23.3,109,2.3
1962,10,12,29.9,20.7,76,1.3
1962,11,1,28.9,14.2,50,1
1962,12,34,27.9,12.8,55,1.7
1963,1,1,27.2,11.5,40,1.3
1963,2,9,32.3,15.1,45,1.1
1963,3,31,34.9,18.2,68,1
