Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.8958 North,84.1458 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,32,25.4,10.1,55,0.3
1958,2,25,26.8,12.1,53,0.1
1958,3,26,33.1,15.5,49,0.2
1958,4,19,37.3,21.5,31,-0.1
1958,5,4,38.9,24.6,12,-1
1958,6,123,36,24.7,122,-1.8
1958,7,586,28.8,22.3,98,-1.4
1958,8,382,28.2,22,101,-1.4
1958,9,275,28.6,21.3,96,-0.8
1958,10,151,28.1,18.4,107,1.7
1958,11,5,25.3,12.2,58,1.8
1958,12,0,24.1,9.4,42,1.7
1959,1,44,23.7,9.6,58,2.3
1959,2,5,26,10.8,43,1.8
1959,3,2,32.1,15.8,27,1.3
1959,4,15,36.3,21.3,27,1
1959,5,42,38.3,23.8,47,0.9
1959,6,129,33.3,23.4,128,-1.3
1959,7,424,28.2,22.4,99,-1.6
1959,8,378,28.1,22.1,99,-1.7
1959,9,192,27.8,21.4,89,-1.9
1959,10,181,27.1,18.8,96,1.9
1959,11,0,24.7,11,52,1.9
1959,12,1,23.4,8.6,39,1.8
1960,1,5,23.7,8.4,36,1.4
1960,2,0,28.7,11.8,37,0.7
1960,3,40,30.4,15,57,1.3
1960,4,9,37.4,20.3,19,0.7
1960,5,10,38,23.8,16,-1.1
1960,6,173,34.1,23.7,158,-1.5
1960,7,527,27.7,22.1,97,-1.2
1960,8,492,28.1,22.3,96,0.7
1960,9,182,28.1,22,95,-0.6
1960,10,61,27.7,17.5,90,-0.9
1960,11,0,24.4,10,47,-0.9
1960,12,1,24.1,7.8,34,-1
1961,1,48,24,9.7,57,0.8
1961,2,65,24.1,10.6,74,2
1961,3,0,32,17.6,33,1.7
1961,4,1,37,21,16,1
1961,5,26,38,23.8,34,0.6
1961,6,318,32.2,22.4,143,1
1961,7,358,28.2,21.9,95,0.9
1961,8,490,28.2,22.3,96,1.6
1961,9,288,27.8,21.2,88,2.1
1961,10,118,27.4,17.3,102,2.6
1961,11,0,23.9,10.1,52,2.5
1961,12,6,22.1,6.1,43,2.6
1962,1,17,22.8,6.9,45,2.4
1962,2,16,26.2,10.9,45,2.1
1962,3,14,32.6,14.4,39,2
1962,4,18,35.8,20.3,30,1.8
1962,5,8,37.5,23.1,15,0.8
1962,6,204,33.2,23.3,141,0.6
1962,7,405,29.2,22.6,112,-1.1
1962,8,311,27.8,21.7,95,-1.7
1962,9,289,28.2,21.2,100,-1
1962,10,55,27,17.1,88,-1.3
1962,11,0,25.2,10.2,47,-1.3
1962,12,3,23.9,8.1,38,-1.3
1963,1,4,23.2,7,33,-1.7
1963,2,6,28.4,11.2,32,-2.1
1963,3,32,31.8,14.7,44,-1.6
1963,4,16,35.3,19.3,24,-1.6
1963,5,88,36.6,22.3,89,1.2
1963,6,206,32.4,22.4,153,0.8
1963,7,409,28,22.1,105,-0.3
1963,8,504,28.3,22.1,98,1.2
1963,9,264,28.8,21.4,101,1.3
1963,10,207,28.1,18.1,104,3.5
1963,11,2,26,12.2,57,3.4
1963,12,0,24.1,8.9,41,3.1
1964,1,2,23.8,9.1,39,2.3
1964,2,18,27,11.9,45,1.9
1964,3,2,33.1,17,21,1.1
1964,4,25,36,21.5,35,1.1
1964,5,52,37.4,23,56,1.2
1964,6,266,33.4,22.9,151,1.2
1964,7,522,27,21.1,109,1.5
1964,8,503,28,22.1,95,2.2
1964,9,244,28.3,21.5,97,2
1964,10,71,27.5,18.9,92,1.7
1964,11,11,24.4,11.5,56,1.9
1964,12,0,24,8.6,41,1.6
1965,1,5,24.3,9.6,35,1
1965,2,6,26.7,11.1,35,-1.1
1965,3,20,31.3,14.1,33,-1.1
1965,4,39,35.1,19.9,46,0.5
1965,5,12,38.3,23.9,18,-0.6
1965,6,79,34.6,24.2,79,-1.7
1965,7,445,28.4,22.2,109,-1.9
1965,8,297,28.2,22.1,111,-2.7
1965,9,224,28.3,21.4,101,-2.6
1965,10,45,28.1,17.9,85,-2.9
1965,11,0,26,11.6,49,-3
1965,12,3,22.8,8.7,37,-3
1966,1,60,23.2,9.3,64,-1.6
1966,2,12,28.3,12.4,42,-1.8
1966,3,1,32.5,15.8,18,-2.3
1966,4,3,37.4,21.2,13,-2.6
1966,5,8,39.1,24.2,14,-3.1
1966,6,327,33.4,23.3,161,-2.4
1966,7,185,29.5,22.7,116,-3
1966,8,244,28.2,21.9,106,-4
1966,9,113,28.7,21.6,107,-5.2
1966,10,18,28.1,17.6,77,-5.7
1966,11,12,25.7,12.6,51,-5.3
1966,12,11,22.9,8,39,-4.8
1967,1,24,23,9.4,44,-4.3
1967,2,0,28.1,11.9,25,-4.8
1967,3,58,29.7,15.1,68,-3.2
1967,4,25,35.5,18.7,32,-2.8
1967,5,13,38.3,23.6,18,-3.3
1967,6,181,34.7,23.7,162,-3.3
1967,7,421,28.9,22.5,115,-3.4
1967,8,665,27.7,21.7,95,-0.9
1967,9,301,28.1,21.3,98,2.7
1967,10,22,28,17.3,77,1.4
1967,11,0,25.3,10.1,46,0.7
1967,12,10,24.7,9.5,38,-1.4
1968,1,38,23,8.6,52,-1
1968,2,19,25.7,10.4,41,-1.1
1968,3,8,31.3,15.3,22,-1.4
1968,4,2,35.1,19.7,11,-1.9
1968,5,4,38.3,23.4,10,-2.7
1968,6,257,31.6,22.4,146,-2.2
1968,7,358,27.8,22.2,109,-2.3
1968,8,358,28.2,21.9,106,-2.5
1968,9,124,29.2,22,106,-3.7
1968,10,89,27.3,17.4,102,-3.2
1968,11,3,25,11.8,53,-2.7
1968,12,3,24.3,8.8,43,-2.4
1969,1,12,23.9,8,40,-2.4
