Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.0208 North,81.2292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,6,28.8,13.3,48,-0.2
1958,2,3,31.3,15.3,48,-0.6
1958,3,19,36.6,18.6,60,-0.9
1958,4,16,40.4,24.4,35,-0.8
1958,5,2,43,28.8,14,-1.3
1958,6,88,40.9,28.3,92,-2.2
1958,7,354,30.2,24.2,112,-1.8
1958,8,365,30.4,24.2,104,-0.8
1958,9,306,29.8,23.3,108,1.9
1958,10,96,30.2,20.3,105,2.7
1958,11,9,29.5,15.2,60,3.2
1958,12,0,27.7,12.2,40,2.8
1959,1,27,27.8,13,56,3.2
1959,2,7,31,14.3,52,3
1959,3,2,36.7,19,50,2.3
1959,4,32,39.9,23.7,52,2.8
1959,5,18,42.6,28.5,30,2.6
1959,6,162,37.4,27.4,157,2.7
1959,7,398,29.9,24.1,115,3
1959,8,287,29.1,23.7,99,3.2
1959,9,354,29.5,23.4,101,4.5
1959,10,71,30.3,21.3,88,4.6
1959,11,0,29.1,14.1,52,4.5
1959,12,0,27.9,11.7,38,3.9
1960,1,45,27.5,11.8,61,4.7
1960,2,0,33,14,45,4.2
1960,3,57,34.3,18.5,89,4.8
1960,4,22,40,22.7,54,4.9
1960,5,6,42.6,28.1,23,4.3
1960,6,127,38.1,27.4,131,3.6
1960,7,448,30.3,24.2,105,4.5
1960,8,259,29.2,23.8,103,4.3
1960,9,116,31,23.4,108,2.8
1960,10,79,30.7,19.5,97,3.3
1960,11,0,29.3,13,55,3.3
1960,12,0,28.8,11.5,39,2.8
1961,1,11,28.2,13.1,45,2.6
1961,2,7,29,13.6,46,2.3
1961,3,11,35.9,20.4,54,1.7
1961,4,13,39.9,23.5,33,1.6
1961,5,21,42.4,28,32,1.8
1961,6,142,36.6,26.1,142,1.6
1961,7,445,29.6,23.7,101,2.7
1961,8,394,29.6,23.9,101,4.1
