Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 23.3958 North,82.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,15,24.8,10.1,47,-0.8
1958,2,9,26.7,12,44,-1.1
1958,3,43,33.1,15.6,75,0.4
1958,4,13,37.7,22.3,36,-0.2
1958,5,0,39.8,25.8,14,-0.6
1958,6,79,37.7,26.9,84,-1.6
1958,7,519,29.2,22.9,105,-1.1
1958,8,410,28.7,22.8,106,-1
1958,9,234,28.6,21.6,100,0.4
1958,10,68,28.2,18.1,91,1.6
1958,11,7,25.5,11.9,52,1.8
1958,12,1,23.7,9,39,1.6
1959,1,37,23.2,9.5,54,2.3
1959,2,5,25.9,10.7,43,1.9
1959,3,2,32.5,16.4,51,1.3
1959,4,16,36.5,21.8,37,1.4
1959,5,10,39.1,25.2,22,1.4
1959,6,89,34.8,25.6,93,-0.8
1959,7,411,28.6,23,111,-1.1
1959,8,444,28.2,22.8,100,-0.8
1959,9,196,28.2,22,97,-0.7
1959,10,86,27.8,19.2,90,1.7
1959,11,0,25.2,11.1,49,1.8
1959,12,0,23.3,8.6,39,1.7
1960,1,24,22.9,8.2,47,2.1
1960,2,0,28.5,11.8,41,1.6
1960,3,44,30.5,15.5,77,2.5
1960,4,13,36.8,20.6,45,2.5
1960,5,1,39.1,25.1,18,2.2
1960,6,111,35.7,25.9,116,1.4
1960,7,537,28.5,22.8,101,1.6
1960,8,579,28.1,22.7,94,2.4
1960,9,117,28.6,22.5,101,1.1
1960,10,45,28.1,17.4,85,1.3
1960,11,0,24.8,9.8,47,1.1
1960,12,0,24,7.6,33,0.7
1961,1,24,23.5,9.8,45,1.1
1961,2,27,23.9,10.6,51,1.3
1961,3,3,31.8,17.6,50,0.8
1961,4,7,36.9,21.2,28,-0.2
1961,5,4,39,25.2,16,-0.5
1961,6,195,33.6,24.4,161,-0.2
1961,7,428,28.6,22.5,99,0.1
1961,8,530,28.4,22.8,97,0.7
1961,9,297,28,21.6,92,1.9
1961,10,58,27.7,17,86,2.5
1961,11,2,24.3,10,48,2.4
1961,12,11,21.8,6,41,2.4
1962,1,11,22.2,6.8,41,2.2
1962,2,19,25.9,10.8,46,2.2
1962,3,20,32.1,14.4,60,2.3
1962,4,26,35.9,20.8,50,2.7
1962,5,3,38.4,24.6,17,2.4
1962,6,95,35.2,25.8,100,1.4
1962,7,399,29.7,23.1,116,0.9
1962,8,430,28.2,22.4,101,0.9
1962,9,310,28.2,21.4,102,2.1
1962,10,6,27.5,16.8,69,1.2
1962,11,2,25.7,10.2,44,0.8
1962,12,17,23.7,8,43,1
1963,1,7,22.6,6.8,35,0.6
1963,2,16,28,10.9,43,-0.1
1963,3,29,31.2,14.8,62,0.1
1963,4,22,35,19.6,40,0.4
