Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.1042 North,82.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,2,29.5,13.8,46,0
1958,2,3,31.6,16.7,46,-0.3
1958,3,26,37.1,19.4,61,-0.5
1958,4,17,40.1,25.2,35,-0.4
1958,5,6,42.1,29.3,17,-0.7
1958,6,110,40.1,28.1,112,-2.3
1958,7,487,30.1,24,110,-2
1958,8,421,30.2,24.4,103,-1.1
1958,9,358,30.5,23.1,106,1.8
1958,10,96,30.3,21.3,104,2.6
1958,11,6,29.5,16.7,63,3
1958,12,0,28,13.2,43,2.7
1959,1,7,28.5,13.9,47,2.9
1959,2,7,31.5,15.8,50,2.6
1959,3,2,36.5,20.2,39,1.7
1959,4,23,39.5,24.8,41,2
1959,5,11,42,28.8,22,1.7
1959,6,249,36.7,26.9,171,2.3
1959,7,534,29.7,24,113,3.4
1959,8,363,29.2,23.7,101,3.1
1959,9,379,29.9,23.6,98,4.2
1959,10,78,30.3,22.5,91,4.5
1959,11,0,29,15.4,54,4.3
1959,12,1,27.6,12.9,41,4
1960,1,7,28.5,12.8,45,4
1960,2,0,32.7,15.3,44,3.5
1960,3,64,34.6,19.7,92,4.1
1960,4,18,39.8,23.7,41,4
1960,5,9,41.6,28.8,22,3.6
1960,6,200,37.5,27,180,3.2
1960,7,547,29.9,24.3,104,3.8
1960,8,308,29.7,24.2,106,2.8
1960,9,175,30.3,24.3,100,1.7
1960,10,73,30.7,20.6,95,2
1960,11,0,29.2,14.7,55,2.1
1960,12,0,29.1,12.4,42,1.8
1961,1,2,28.9,13.9,42,1.7
1961,2,17,29.3,15.4,50,1.9
1961,3,31,35.8,22.2,68,1.8
1961,4,11,39.9,24.7,30,1.6
1961,5,16,41.7,28.5,27,1.7
