Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.8958 North,83.3958 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,15,30.2,14.4,54,0.1
1958,2,13,32.3,16.3,53,-0.1
1958,3,24,37.5,19.5,69,0
1958,4,12,41.5,25.8,36,0
1958,5,3,43.8,30,18,-0.7
1958,6,91,41.6,29.5,97,-2
1958,7,547,31.6,25,109,-1
1958,8,334,31.3,25.1,110,-1
1958,9,367,30.2,22.7,100,1.7
1958,10,107,31.5,22.2,109,2.9
1958,11,6,29.7,16.8,66,3.2
1958,12,0,28.6,13.9,47,3
1959,1,20,28.8,14.1,54,3.3
1959,2,4,31.8,15.1,51,2.7
1959,3,1,36.7,20,51,1.9
1959,4,13,40.5,25.5,35,2
1959,5,13,43.3,29.4,26,1.8
1959,6,139,38.6,28,140,1.1
1959,7,439,31,25,110,0.8
1959,8,339,30.7,24.7,107,0.6
1959,9,258,29.4,22.8,91,-1
1959,10,100,30.9,23,99,1.3
1959,11,0,29.1,15.4,57,1.5
1959,12,2,27.9,13.1,47,1.6
1960,1,9,28.6,12.9,48,1.8
1960,2,0,33.6,15.4,47,1.3
1960,3,46,35,19.2,82,2.2
1960,4,8,41.5,24.8,39,2.1
1960,5,6,43,29.5,23,1.7
1960,6,160,39.4,28.4,157,1.3
1960,7,522,30.8,25,105,1.9
1960,8,410,30.8,25.2,105,2.2
1960,9,190,29.8,23.6,96,0.7
1960,10,56,31.3,21.5,90,0.8
1960,11,0,29,14.8,55,0.7
1960,12,2,29.1,12.7,43,-0.1
1961,1,23,29,14.3,51,0.5
1961,2,38,29.7,14.9,63,1.4
1961,3,10,36.4,21.8,62,1.2
1961,4,3,41.2,25.3,28,0.9
1961,5,15,43,29.3,28,0.9
1961,6,227,37.5,27,181,1.5
