Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.1875 North,88.2708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/25/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,9,27,12.3,39,-0.1
1958,2,20,28.3,13.7,46,0.7
1958,3,4,35.3,17.4,37,-0.4
1958,4,25,38.4,23.5,39,-0.2
1958,5,68,38,26,73,-0.9
1958,6,103,36.4,26.9,105,-2.5
1958,7,283,33.1,26.3,118,-3.3
1958,8,345,32,26.1,112,-2.3
1958,9,174,32.6,25.7,96,-2.3
1958,10,128,32.1,23.8,102,-2
1958,11,6,28.8,17.1,51,-1.9
1958,12,0,26.4,13.6,38,-1.5
1959,1,39,25,11.5,51,1.2
1959,2,3,27.6,12.6,39,1.1
1959,3,13,33.6,17.2,49,1.1
1959,4,28,37.3,23.4,43,1
1959,5,104,37.1,25.1,108,1.4
1959,6,235,33.8,25.7,134,1
1959,7,246,32.2,26.2,117,-0.7
1959,8,370,32.1,26.1,111,1.7
1959,9,282,31.3,25.1,95,2.8
1959,10,407,30.2,23.3,94,6.3
1959,11,0,27.9,15.7,50,5.4
1959,12,0,25.4,12.4,35,4.9
1960,1,0,25,10.3,31,4.1
1960,2,0,30.6,14,33,3.4
1960,3,21,32.2,16.8,48,3.1
1960,4,1,39.6,23,15,1.9
1960,5,73,37.5,25.5,78,1.5
1960,6,127,34.6,25.9,124,-2.7
1960,7,427,31.7,25.8,120,-2.3
1960,8,198,32.3,26.5,121,-2.7
1960,9,236,31.8,25.7,93,-1.7
1960,10,82,31.6,22.7,98,-2.1
1960,11,3,28,15.1,48,-2.1
1960,12,0,26.5,12.1,31,-2
1961,1,26,25.4,11.6,41,-1.4
1961,2,31,25.5,12.2,51,1.2
1961,3,5,34.4,19.5,41,0.9
1961,4,11,38.5,23.1,27,-0.5
1961,5,90,36.9,25.1,95,0.2
1961,6,277,33.3,25.3,131,0.7
1961,7,173,32.5,25.9,123,-1.1
1961,8,279,32.3,26.3,118,-0.8
1961,9,160,32,25.4,106,-1.3
1961,10,161,31.3,22.6,102,-0.6
1961,11,2,27.4,15.1,50,-0.8
1961,12,0,24.1,9.9,35,-0.6
1962,1,14,24.3,9,37,0.1
1962,2,9,28.6,13.5,37,0.1
1962,3,2,35.1,16.7,37,-0.3
1962,4,24,37.6,22.7,39,-0.1
1962,5,85,36.3,24.3,91,0.1
1962,6,220,33.7,25.6,121,-0.2
1962,7,244,33.3,26.4,128,-1.3
1962,8,284,31.9,26,115,-0.6
1962,9,137,32.6,25.7,111,-1.5
1962,10,110,30.9,22.1,104,-1.5
1962,11,0,28.7,15.2,50,-1.6
1962,12,0,25.9,11.8,35,-1.4
1963,1,2,25,9.3,33,-1.5
1963,2,1,30.8,13.5,35,-1.6
1963,3,17,34.2,17.1,43,-1.7
1963,4,47,36.6,21.4,58,-1.1
1963,5,71,35.5,23.4,76,-1.2
1963,6,337,33.6,25.5,133,0.8
1963,7,323,32.4,26.2,110,1.6
1963,8,146,32.4,26.3,123,-1.2
1963,9,216,33,25.8,114,-1
1963,10,213,31.5,22.6,109,1.4
1963,11,20,28.9,16.7,60,1.6
1963,12,0,26.5,12.9,40,1.7
1964,1,3,25,10.6,37,1.2
1964,2,5,29.1,13.8,42,0.9
1964,3,9,35.3,19,35,-0.5
1964,4,56,36.5,22.7,66,0.5
