Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.5208 North,70.4375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,29.3,14.9,24,2.4
1958,2,0,29.4,16.3,12,2.2
1958,3,0,34.6,20.6,7,1.8
1958,4,0,36.2,25.2,5,1.7
1958,5,0,36.4,28.6,4,1.4
1958,6,63,34.9,28.9,63,-0.7
1958,7,464,30.8,27.1,138,0.2
1958,8,190,30.7,26.5,119,-0.7
1958,9,362,30,24.8,119,2.4
1958,10,87,32.8,22.8,113,4.4
1958,11,8,32.1,18.6,64,5.8
1958,12,3,29.2,15.7,35,6.5
1959,1,0,26.7,14,24,6.8
1959,2,0,29.1,15.9,12,6.6
1959,3,0,34.7,20.8,7,5.9
1959,4,0,36.8,25.8,5,5.4
1959,5,2,37,29,6,5
1959,6,88,34.6,28.4,86,4.1
1959,7,783,30.4,25.9,132,5
1959,8,124,29.6,25.6,118,3.9
1959,9,257,29.8,24.3,112,4.8
1959,10,49,32.3,23,96,5.7
1959,11,2,31.3,17.8,51,6.2
1959,12,0,29.3,15,36,6.6
1960,1,0,27.2,13.1,15,6.3
1960,2,0,32.1,16.1,8,5.8
1960,3,0,32.1,19.7,6,5.1
1960,4,0,35.9,24.1,4,4.7
1960,5,0,36.4,28.1,3,4.1
1960,6,153,34.2,28.2,145,4.5
1960,7,407,31.2,27.1,139,4.1
1960,8,48,29.7,25.3,91,2.8
1960,9,65,30.9,25,97,2.1
1960,10,0,32.9,22.3,49,0.8
1960,11,0,32.4,18.1,17,-2.6
1960,12,0,29.3,15.4,9,-2.6
1961,1,0,28.1,13.8,6,-2.5
1961,2,0,28.3,14.5,4,-2.3
1961,3,0,34.4,20.9,3,-2.3
1961,4,0,35.7,24,2,-2.1
1961,5,1,35.9,27.7,3,-1.9
1961,6,146,33.9,27.2,140,-1.2
1961,7,649,30,26.2,118,1.4
1961,8,257,30.5,25.9,122,1.6
1961,9,317,30.1,24.3,105,3.4
1961,10,35,32.3,22.2,92,4.2
1961,11,0,31.6,18,51,4.6
1961,12,0,28.5,14,29,4.7
1962,1,0,27.3,11.3,13,4.6
1962,2,0,31.2,15.5,8,4.3
1962,3,40,33.2,19.5,43,6.2
1962,4,0,35.5,24.6,4,5.7
1962,5,0,36.7,27.9,3,5
1962,6,30,34.4,28.3,30,3.1
1962,7,481,31,26.7,131,3.1
1962,8,227,30,25.4,115,3
1962,9,265,30.7,24.4,120,4
1962,10,0,33.6,20.9,83,4
1962,11,6,32.3,18.1,45,4.1
1962,12,3,28.4,15.8,24,4
1963,1,0,28.9,13.8,11,3.7
1963,2,0,32,16.5,7,3.4
1963,3,4,34.3,20.3,8,3.1
1963,4,0,35.9,24.3,3,2.8
1963,5,0,36.2,27.5,3,2.4
1963,6,41,34.8,27.8,41,1
1963,7,275,31.5,26.7,132,0.6
1963,8,269,30.2,25.4,121,0.8
1963,9,84,30.7,24,113,-1.2
1963,10,67,33.3,22.9,110,1.5
1963,11,16,32.2,19,60,2.5
1963,12,0,29.8,15.4,20,2.3
1964,1,0,26.2,11.4,10,2.1
1964,2,0,29.6,14.3,7,2
1964,3,0,34.5,20.1,5,1.6
1964,4,0,36.3,24.9,3,1.4
1964,5,3,36.3,28.1,5,1.3
1964,6,200,34.4,27.3,154,2.7
1964,7,406,31.4,26.2,126,2.6
1964,8,358,30.5,25.5,111,3.6
1964,9,200,30.6,24.3,114,4
1964,10,0,32.3,21.6,84,3.9
1964,11,0,31.2,17.1,46,3.6
1964,12,0,28.9,13.4,17,3.1
1965,1,0,29.2,14.8,9,2.8
1965,2,0,30.4,16.2,6,2.6
1965,3,0,33.5,19.8,5,2.1
1965,4,0,35.4,23.6,3,1.9
1965,5,0,35.8,26.9,3,1.6
1965,6,0,34.8,27.8,2,-2
1965,7,465,30.8,26.5,130,-1.5
1965,8,210,30.6,25.5,122,-1.4
1965,9,96,31.1,24.6,116,-1.4
1965,10,1,34.6,21.8,82,-1.1
1965,11,3,33.4,17.6,34,-1.6
1965,12,0,29.3,15,14,-1.8
1966,1,0,28.9,14.4,8,-1.7
1966,2,0,32.1,17.2,5,-1.6
1966,3,0,33.6,19.5,4,-1.7
1966,4,0,35.3,23.8,3,-1.5
1966,5,2,36.1,27.7,4,-1.4
1966,6,114,34.1,27.9,110,-1.2
1966,7,297,31.6,27.2,136,-1.3
1966,8,13,30.6,25.9,76,-2.3
1966,9,126,31.6,24.5,125,-2.1
1966,10,1,35.2,23,37,-3.2
1966,11,0,31.9,19.2,15,-3.8
1966,12,0,28.4,14.6,9,-3.8
1967,1,0,26.9,12,6,-3.6
1967,2,0,31.5,15.8,4,-3.2
1967,3,14,33,20.8,16,-2.3
1967,4,0,36,24,3,-2.1
