Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 28.6875 North,77.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,21,22.4,9,35,0.7
1958,2,3,24,9.7,22,-0.4
1958,3,12,31.4,16.2,22,-0.5
1958,4,1,38.5,22.9,8,-0.7
1958,5,3,40.4,26,7,-1
1958,6,9,41.4,28.6,12,-1.8
1958,7,343,34.3,27.8,143,1.6
1958,8,245,34.2,26.6,110,2.4
1958,9,261,32.5,25.3,128,4.2
1958,10,34,32.5,19.1,82,4.5
1958,11,3,28.6,12.2,41,4.6
1958,12,6,23.2,8.9,27,4.5
1959,1,35,20.8,7.1,42,4.8
1959,2,4,23.3,9.1,26,4.4
1959,3,5,32.1,15.4,16,3.7
1959,4,1,36.6,21.1,8,3.2
1959,5,15,39.4,25.9,19,3.1
1959,6,18,40.4,29.3,21,2.4
1959,7,184,34.4,27.4,160,1.9
1959,8,234,33.6,26.8,129,1.4
1959,9,131,33.2,25.8,125,1.5
1959,10,18,33.3,20.3,64,1.5
1959,11,7,28.5,11.4,32,1.5
1959,12,0,23.8,7.8,15,1.2
1960,1,16,20.5,6.6,24,1.1
1960,2,0,28,11.6,6,-0.5
1960,3,26,29.2,14.7,29,0.4
1960,4,4,35.3,19.8,6,-0.1
1960,5,2,40.8,26.1,4,-0.8
1960,6,20,41.1,28.9,21,-1.1
1960,7,216,35.2,27.1,140,-0.8
1960,8,330,33.4,26.9,119,1.3
1960,9,41,35,25.3,99,-0.8
1960,10,98,33,18.4,104,1.9
1960,11,0,28.9,9.7,39,1.9
1960,12,4,23.4,7.8,21,1.8
1961,1,27,21.1,7.6,34,2.1
1961,2,29,21.7,8.6,41,2.5
1961,3,1,30.9,15.7,9,1.8
1961,4,3,36,20.2,8,1.5
1961,5,8,39.8,25.8,12,1.3
1961,6,37,39.8,28.3,38,1.4
1961,7,184,34.9,27.5,149,1
1961,8,451,33.2,26.5,117,3.1
1961,9,96,33.5,25.8,115,2.7
1961,10,96,32.4,18.8,108,4.3
1961,11,2,25.9,11.3,41,4.6
1961,12,6,20.7,5.4,25,4.5
1962,1,36,20.2,5.7,44,5
1962,2,9,24.4,10.7,31,5.1
1962,3,14,29.9,15.1,28,4.9
1962,4,1,37.2,21.4,10,4.5
1962,5,2,39.9,25.8,8,3.8
1962,6,18,40.8,28.2,21,2.9
1962,7,214,35.9,28,149,2.7
1962,8,139,34.4,26.7,125,1.6
1962,9,229,32.7,24.7,130,2.7
1962,10,0,32.9,18,67,2.4
1962,11,5,28.5,11.5,44,2.6
1962,12,10,22,7.5,24,2.5
1963,1,4,21.3,5.4,17,1.9
1963,2,8,26.4,11,16,1.5
1963,3,12,30.1,14.7,17,1.3
1963,4,5,35.4,20.6,8,1.1
1963,5,8,38.6,24.7,10,0.9
1963,6,40,39.8,28.5,41,1
1963,7,106,37.1,28.4,102,-1.5
1963,8,292,33.1,26.4,124,-1.2
1963,9,222,33.4,24.2,130,1.6
1963,10,2,34.3,19.7,74,1.5
1963,11,5,28.7,13.8,40,1.7
1963,12,12,23.4,6.9,27,1.8
1964,1,3,19.4,5.4,21,1.3
