Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 15.1042 North,74.1042 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,31.1,19.7,71,0.9
1958,2,0,30.8,20.8,64,0.9
1958,3,1,32.5,22.6,66,1
1958,4,20,32.9,24.8,67,1
1958,5,129,32.3,25.5,131,1.4
1958,6,438,29.9,24.5,116,1.3
1958,7,2485,26.8,22.6,85,1.1
1958,8,752,27.3,23.1,97,1
1958,9,249,27.7,22.5,101,0.6
1958,10,115,29.4,22.5,117,-0.5
1958,11,40,31,21.3,88,-0.7
1958,12,0,30.5,19.6,79,-1.3
1959,1,0,30.6,20.2,73,-1.2
1959,2,0,31.2,20.8,62,-1.2
1959,3,0,32.7,22.3,68,-1.3
1959,4,14,32.8,24.6,62,-1.3
1959,5,206,32.9,25.7,157,1.4
1959,6,1182,28.5,23.2,108,1.3
1959,7,1822,26.5,21.8,82,1.2
1959,8,662,27.2,22.7,86,1
1959,9,397,27.6,22.4,93,1.6
1959,10,54,29.1,22.7,94,-1.4
1959,11,50,30.4,20.7,91,-1.2
1959,12,6,30.9,19.5,74,-1.8
1960,1,0,30.7,19.6,70,-2
1960,2,0,32.1,19.9,61,-2.1
1960,3,2,31.5,22.5,66,-2.2
1960,4,24,32.9,24.1,66,-1.9
1960,5,123,32.2,24.6,123,-1.3
1960,6,386,28.6,23.1,99,-1.1
1960,7,1629,27.3,22.9,92,-1
1960,8,670,27.6,23,91,-0.9
1960,9,395,27.7,22.5,92,1
1960,10,65,29.7,22.2,93,-1.1
1960,11,31,30.7,20.1,82,-1.4
1960,12,0,30.8,19.5,72,-2.1
1961,1,0,30.8,19.7,69,-2.3
1961,2,0,30,19.6,60,-2.4
1961,3,0,32.4,22.5,62,-2.5
1961,4,21,33,24.2,66,-2.3
1961,5,508,31.4,24.3,148,5.3
1961,6,628,28,22.2,102,4.8
1961,7,2392,26.2,21.9,81,4.3
1961,8,851,27.4,22.8,89,3.9
1961,9,418,27.6,22.1,84,4.3
1961,10,211,29,21.7,107,5.1
1961,11,11,30.3,20.5,79,3.7
1961,12,0,30.3,18.8,73,2.6
1962,1,0,30,17.5,69,2.1
1962,2,0,31.5,19.7,62,1.7
1962,3,0,31.5,21.6,65,1.3
1962,4,11,32.1,24,60,0.8
1962,5,72,32,24.3,90,-1.9
1962,6,485,29.2,23.4,115,-1.7
1962,7,1714,27.1,22.4,85,-1.5
1962,8,1077,27.1,22.5,90,-1.4
1962,9,317,27.7,22,96,-1.1
1962,10,188,30.4,21.7,121,0.6
1962,11,33,30.2,19.7,85,-0.2
1962,12,188,29.3,19.1,118,5.8
