Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 21.6042 North,71.2292 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,29.6,13.9,11,0.1
1958,2,0,30.5,16.1,6,0.1
1958,3,0,36.1,20.5,4,-0.2
1958,4,0,38.6,25.4,3,0
1958,5,0,39.5,28.4,2,-0.2
1958,6,58,36.9,28.3,57,-1
1958,7,186,31.4,26.3,139,-0.7
1958,8,184,31.4,25.6,121,0.5
1958,9,255,30.9,24.2,119,2.5
1958,10,55,33.3,22.3,100,4.2
1958,11,9,31.9,18,58,5.3
1958,12,0,29.3,15.2,24,5.6
1959,1,0,27.1,13,11,5.4
1959,2,0,30.1,15.7,6,5.1
1959,3,0,36.2,20.6,4,4.5
1959,4,0,39,25.7,3,4.2
1959,5,3,40,28.9,5,3.7
1959,6,80,36.4,27.8,78,3.1
1959,7,364,31,25.1,137,5.1
1959,8,103,30.2,24.6,115,4.5
1959,9,187,30.8,23.8,115,5.3
1959,10,48,32.7,22.5,96,6.7
1959,11,3,31.3,17.4,50,7.1
1959,12,0,29.5,14.5,23,7.2
1960,1,0,27.4,12.1,11,6.8
1960,2,0,33.2,15.9,6,6.3
1960,3,0,33.6,19.6,4,5.6
1960,4,0,38.2,24.2,3,5.1
1960,5,2,39.4,27.7,4,4.5
1960,6,126,36,27.5,121,4.8
1960,7,174,31.9,26.3,147,4.3
1960,8,40,30.2,24.4,45,2.5
1960,9,88,32,24.4,88,1.9
1960,10,2,33.5,21.9,5,0.6
1960,11,0,32.3,17.4,2,-3.1
1960,12,0,29.6,15,2,-3.1
1961,1,0,28.4,12.9,2,-2.9
1961,2,0,29.2,14.4,1,-2.7
1961,3,0,36,20.8,1,-2.7
1961,4,0,38,24.1,1,-2.5
1961,5,2,38.9,27.6,3,-2.4
1961,6,62,35.8,26.7,59,-2.8
1961,7,252,30.7,25.5,125,-1.4
1961,8,121,31.1,25.1,119,-1.3
1961,9,182,31,23.7,108,2
1961,10,24,32.7,21.7,88,3.2
1961,11,0,31.5,17.6,45,3.6
1961,12,0,28.7,13.4,15,3.5
1962,1,0,27.6,10.3,8,3.3
1962,2,0,32.1,15.4,5,3.1
1962,3,40,34.7,19.4,42,4.9
1962,4,0,37.8,24.7,3,4.5
1962,5,3,39.9,27.8,5,4
1962,6,24,36.4,27.7,25,2.3
1962,7,183,31.7,25.9,136,2.2
1962,8,107,30.8,24.7,107,1.6
1962,9,156,31.7,23.8,122,2
1962,10,0,34.1,20.5,27,1.5
1962,11,15,32.2,17.5,26,1.4
1962,12,2,28.6,15.2,9,1.3
1963,1,0,29.2,12.7,5,1.2
1963,2,0,32.9,16.2,3,1.1
1963,3,17,35.7,20.1,19,1.7
1963,4,0,38.1,24.4,2,1.5
1963,5,1,39.2,27.3,2,1.1
1963,6,35,36.7,27.3,35,-1.3
1963,7,177,32.2,25.9,137,-1.1
1963,8,205,30.8,24.5,131,0.6
1963,9,86,31.6,23.3,107,0
1963,10,34,33.9,22.4,66,0.8
1963,11,35,32.1,18.6,47,1.4
1963,12,0,29.9,14.7,8,1.2
1964,1,0,26.5,10.5,5,1.1
1964,2,0,30.5,14.2,4,1
1964,3,0,36,20,3,0.7
1964,4,0,38.7,25.1,2,0.6
1964,5,7,39.3,27.8,8,0.7
1964,6,148,36.3,26.8,142,1.8
1964,7,212,32,25.5,135,2.1
1964,8,208,31,24.5,117,2.8
1964,9,165,31.7,23.7,112,3.5
1964,10,0,33,21.3,82,4.1
1964,11,0,31.2,16.6,33,3.7
1964,12,0,29,12.8,13,3.5
1965,1,0,29.5,13.9,7,3.3
1965,2,0,31.2,15.8,5,3
1965,3,1,34.9,19.5,5,2.6
1965,4,0,37.6,23.9,3,2.4
1965,5,1,38.8,26.9,3,2
1965,6,0,36.8,27.3,2,-1.8
1965,7,256,31.6,25.8,135,-0.6
1965,8,150,31.5,24.8,123,1.3
1965,9,137,32.2,24,129,1.7
1965,10,1,35.1,21.6,84,2.5
1965,11,4,33.2,17.2,23,2
1965,12,0,29.5,14.4,10,1.8
1966,1,0,29.2,13.3,6,1.7
1966,2,0,32.9,16.9,4,1.6
1966,3,0,35.1,19.2,3,1.2
1966,4,0,37.5,23.9,2,1.1
1966,5,2,39.2,27.5,4,0.9
1966,6,91,36.1,27.5,88,0.9
1966,7,169,32.5,26.4,137,0.7
1966,8,16,31.3,25.1,23,-1.8
1966,9,121,32.6,23.9,118,-1.6
1966,10,0,35.7,22.6,4,-2.6
1966,11,0,31.8,18.8,3,-3.2
1966,12,0,28.7,14,2,-3.2
1967,1,0,27.2,11,2,-3
1967,2,0,32.5,15.6,2,-2.8
