Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 22.5625 North,72.9375 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,0,30.6,13.4,44,2.9
1958,2,0,31.6,14.2,41,2.9
1958,3,0,36.6,18.5,25,2.6
1958,4,0,39.3,22.9,15,2.4
1958,5,0,40.4,26.4,10,2
1958,6,73,38.1,27.5,77,1.6
1958,7,292,31.8,25.7,131,1.4
1958,8,215,32.2,25.5,117,1
1958,9,573,31,24,115,3.1
1958,10,80,33.8,20.9,116,4.8
1958,11,1,33.2,16.5,73,5.3
1958,12,0,30.5,14,46,5.4
1959,1,0,28.5,12.5,45,5.5
1959,2,0,31.3,13.9,38,5.7
1959,3,0,37,18.4,26,5.3
1959,4,1,39.2,22.5,16,5
1959,5,0,40.6,26.6,10,4.4
1959,6,69,37.1,27.2,73,3.6
1959,7,685,31.2,24.5,128,5.3
1959,8,202,30.5,24.3,115,5
1959,9,514,31.1,23.6,111,6.5
1959,10,74,33.4,21.2,112,7.7
1959,11,2,32.7,16,72,8
1959,12,0,30.9,13.2,51,7.8
1960,1,1,28.5,11.4,47,7.7
1960,2,0,34.4,14,41,7.4
1960,3,0,34.1,17.5,22,6.8
1960,4,0,38.4,21.3,13,6.2
1960,5,2,39.9,25.3,11,5.6
1960,6,136,36.4,26.4,135,6.1
1960,7,212,32.6,25.7,142,4.9
1960,8,137,30.5,24.2,115,3.4
1960,9,128,33,24.3,124,2.7
1960,10,6,34.4,20.7,39,1.3
1960,11,0,33.4,15.4,18,-3.9
1960,12,0,31.4,14,11,-4.3
1961,1,0,29.4,12.4,8,-4.6
1961,2,5,29.9,12.6,11,-4.4
1961,3,0,36.8,18.9,4,-4.4
1961,4,0,38.5,21.4,4,-4.2
1961,5,1,39.7,25.6,4,-4
1961,6,80,36.3,26,79,-3.7
1961,7,438,31.3,25,121,-2.6
1961,8,207,31.6,25,121,-2.1
1961,9,355,31.1,23.5,107,-0.8
1961,10,17,33.2,20.2,96,2.4
1961,11,0,32.6,16.3,64,2.6
1961,12,0,29.7,11.9,51,2.7
