Product: Historical Climate - TerraClimate(http://www.climatologylab.org/terraclimate.html) 
Location (Lat/Lon of 4-km Grid Cell Center): 24.3542 North,71.7708 East 
Data Source: NW Climate Toolbox(https://climatetoolbox.org/tool/point-data-download)
Download Date: 07/24/2020
Variable List: 
ppt: ppt (Precipitation)
tmax: tmax (Maximum Temperature)
tmin: tmin (Minimum Temperature)
aet: aet (Actual Evapotranspiration)
PDSI: pdsi (Palmer Drought Severity Index (PDSI))
********************************************************
Year,Month,ppt(mm),tmax(degC),tmin(degC),aet(mm),PDSI(unitless)
1958,1,1,28.6,11.4,6,0
1958,2,0,31.5,12.2,3,0.1
1958,3,0,36.4,18,2,-0.4
1958,4,0,40.7,23.3,2,0
1958,5,0,42.4,26.5,1,-0.1
1958,6,19,40.9,27.4,19,-0.9
1958,7,179,33.6,26.3,131,-0.6
1958,8,92,34.1,25.9,99,-1
1958,9,343,32.6,25.1,119,2.2
1958,10,35,35.1,20.2,87,4.2
1958,11,3,32.4,14.2,22,5
1958,12,1,28.5,11.7,9,5
1959,1,0,26.2,9.7,5,4.6
1959,2,0,30.9,11.5,3,4.3
1959,3,0,37.5,17.6,2,3.5
1959,4,0,40.3,22.5,2,3.2
1959,5,0,42.5,26.6,1,2.8
1959,6,25,39.3,27.6,25,2.2
1959,7,394,33.2,25.2,132,5.2
1959,8,122,31.8,24.4,117,5.2
1959,9,420,32.4,24.2,109,8.3
1959,10,17,35.2,20.9,82,9.3
1959,11,2,32,13.4,14,8.7
1959,12,0,28.6,10,6,8
1960,1,1,26.5,9,5,7.3
1960,2,0,34.4,11.9,3,6.7
1960,3,0,33.6,16.4,2,5.6
1960,4,0,38.9,21,1,5.1
1960,5,0,42,25.3,1,4.6
1960,6,36,39.2,26.9,35,4.3
1960,7,118,34.5,25.6,113,3.1
1960,8,72,32.2,24.8,69,1.5
1960,9,33,35.2,24.8,32,-2.7
1960,10,1,36.2,20,2,-3.6
1960,11,0,33.3,13,0,-3.7
1960,12,1,28.9,10.6,1,-3.5
1961,1,0,26.9,10,0,-3.3
1961,2,0,29.2,10.7,0,-3.1
1961,3,0,36.6,18.1,0,-3.3
1961,4,0,39,21,0,-3
1961,5,0,41.8,25.9,0,-2.8
1961,6,63,38.4,26.2,60,-1.3
1961,7,247,33.2,25.4,117,2.2
1961,8,79,33,25.4,101,1.8
1961,9,448,32.6,24.5,106,5.5
1961,10,8,34.7,19.6,73,6.6
1961,11,0,31.2,13.9,12,5.9
1961,12,0,27.6,9,6,5.4
1962,1,0,26.5,7.5,4,4.9
1962,2,0,32.1,12.4,3,4.5
1962,3,77,35.1,17,75,7.4
1962,4,0,39.7,22,1,6.7
1962,5,0,42.6,26.1,1,6
1962,6,11,40,26.6,11,4.7
1962,7,146,34.3,25.8,139,4
1962,8,92,33,24.7,88,2.7
1962,9,128,33.3,24.5,122,2.6
1962,10,0,35.6,17.8,1,1.4
1962,11,2,32.8,13.4,2,0.9
1962,12,1,27.7,10.8,1,0.7
1963,1,1,28.3,8.9,1,-2
1963,2,0,33.8,12.7,0,-1.9
1963,3,12,35.8,17.1,12,-1.7
1963,4,0,39,21.9,0,-1.6
1963,5,0,41.5,25.5,0,-1.6
1963,6,12,39.5,27.2,12,-2.3
1963,7,114,35.4,25.9,108,-3
1963,8,140,33,25.3,126,-2.8
1963,9,330,34,23.8,137,-0.6
1963,10,14,36.4,20.3,80,3.5
1963,11,15,32.7,15.7,26,3.6
1963,12,1,29.5,10.6,7,3.2
1964,1,0,25.3,7.1,4,2.7
1964,2,0,31.2,11.1,3,2.4
1964,3,0,37.4,18,2,1.7
1964,4,0,40.5,22.7,1,1.5
1964,5,1,42.1,25.7,2,1.3
1964,6,26,39,26.4,26,0.9
1964,7,249,34,25.6,134,1.8
1964,8,169,32.9,24.9,122,2.9
1964,9,92,34.1,24,114,2.6
1964,10,0,35.5,18.9,41,2.8
1964,11,0,32.2,12.1,11,2.1
1964,12,0,28.1,9.2,6,1.8
1965,1,10,29,11.5,13,2.2
1965,2,0,31.8,12.2,3,2
1965,3,14,35.1,16.7,15,2
1965,4,0,37.9,21.1,1,1.8
1965,5,0,41.1,25.3,1,1.5
1965,6,1,39.6,26.9,2,-1.5
1965,7,314,34.1,25.7,147,1.8
1965,8,91,33.5,24.4,121,1.4
1965,9,20,34.5,24,54,-1.2
